rn,seq,eid,rev,nodea,nodeb
0,1,13793,False,11800,9793
0,2,21814,True,15286,11800
0,3,31479,True,21620,15286
0,4,21777,True,15261,21620
0,5,21779,True,15262,15261
0,6,21781,True,15263,15262
0,7,16667,True,11799,15263
0,8,16665,False,9805,11799
0,9,13809,False,9793,9805
1,1,16669,True,11801,11802
1,2,22687,True,15851,11801
1,3,21774,True,15259,15851
1,4,21776,True,15260,15259
1,5,16670,True,11802,15260
2,1,21774,False,15851,15259
2,2,22688,False,15983,15851
2,3,22889,True,15982,15983
2,4,32869,True,22513,15982
2,5,35438,True,24182,22513
2,6,30493,True,20982,24182
2,7,22887,True,15258,20982
2,8,21775,False,15259,15258
3,1,16668,False,12350,11802
3,2,17449,False,15853,12350
3,3,22690,True,15852,15853
3,4,22888,True,15983,15852
3,5,22688,True,15851,15983
3,6,22687,False,11801,15851
3,7,16669,False,11802,11801
4,1,17446,True,12348,12349
4,2,17451,True,12352,12348
4,3,17450,False,12351,12352
4,4,22689,True,15853,12351
4,5,17449,True,12350,15853
4,6,17447,False,12349,12350
5,1,17448,False,22514,12351
5,2,32871,True,22513,22514
5,3,32869,False,15982,22513
5,4,22889,False,15983,15982
5,5,22888,False,15852,15983
5,6,22690,False,15853,15852
5,7,22689,False,12351,15853
6,1,13769,True,9774,12997
6,2,26146,True,18141,9774
6,3,26148,True,18142,18141
6,4,35436,True,24181,18142
6,5,32870,True,22514,24181
6,6,17448,True,12351,22514
6,7,17450,True,12352,12351
6,8,18394,True,12996,12352
6,9,18395,True,12997,12996
7,1,26146,False,9774,18141
7,2,35514,True,24229,9774
7,3,35432,True,24178,24229
7,4,35431,False,24177,24178
7,5,35430,True,18140,24177
7,6,26147,False,18141,18140
8,1,26147,True,18140,18141
8,2,35522,True,24235,18140
8,3,26149,True,18142,24235
8,4,26148,False,18141,18142
9,1,32870,False,24181,22514
9,2,35437,True,24180,24181
9,3,35434,False,24179,24180
9,4,35439,True,24183,24179
9,5,35435,True,22513,24183
9,6,32871,False,22514,22513
10,1,35435,False,24183,22513
10,2,35442,True,24185,24183
10,3,35443,True,24186,24185
10,4,35440,True,24182,24186
10,5,35438,False,22513,24182
11,1,30493,False,24182,20982
11,2,35440,False,24186,24182
11,3,35446,False,24188,24186
11,4,35445,False,24628,24188
11,5,36132,True,24637,24628
11,6,36119,True,24627,24637
11,7,36117,False,20981,24627
11,8,30494,False,20982,20981
12,1,14348,False,24188,10192
12,2,35446,True,24186,24188
12,3,35443,False,24185,24186
12,4,35447,True,24187,24185
12,5,35444,True,24184,24187
12,6,35441,False,10192,24184
13,1,28991,False,24189,20000
13,2,35449,True,24187,24189
13,3,35447,False,24185,24187
13,4,35442,False,24183,24185
13,5,35439,False,24179,24183
13,6,35433,False,20000,24179
14,1,19491,True,13738,24241
14,2,28992,True,20001,13738
14,3,28990,True,20000,20001
14,4,35433,True,24179,20000
14,5,35434,True,24180,24179
14,6,35531,True,24241,24180
15,1,12235,False,19998,8599
15,2,35448,True,24189,19998
15,3,28991,True,20000,24189
15,4,28990,False,20001,20000
15,5,28993,True,19999,20001
15,6,36120,True,24629,19999
15,7,28989,True,8599,24629
16,1,14345,False,15254,10190
16,2,21769,False,15252,15254
16,3,21767,False,15253,15252
16,4,21766,False,24630,15253
16,5,36122,True,24629,24630
16,6,36120,False,19999,24629
16,7,28993,False,20001,19999
16,8,28992,False,13738,20001
16,9,19491,False,24241,13738
16,10,35533,False,24242,24241
16,11,35532,False,24234,24242
16,12,35520,False,24631,24234
16,13,36124,True,24632,24631
16,14,36126,True,24633,24632
16,15,36125,False,18619,24633
16,16,26871,False,10190,18619
17,1,21767,True,15252,15253
17,2,21769,True,15254,15252
17,3,21768,False,15253,15254
18,1,14345,True,10190,15254
18,2,26871,True,18619,10190
18,3,26873,True,18620,18619
18,4,36156,True,24653,18620
18,5,36121,True,24630,24653
18,6,21766,True,15253,24630
18,7,21768,True,15254,15253
19,1,12235,True,8599,19998
19,2,21772,True,15257,8599
19,3,12693,True,8969,15257
19,4,28988,True,19998,8969
20,1,12693,False,15257,8969
20,2,21773,True,15256,15257
20,3,26874,True,18621,15256
20,4,21771,True,15255,18621
20,5,21770,False,8968,15255
20,6,12694,False,8969,8968
21,1,12694,True,8968,8969
21,2,21770,True,15255,8968
21,3,14416,True,10243,15255
21,4,14418,True,10244,10243
21,5,18096,True,12798,10244
21,6,12695,True,8969,12798
22,1,12695,False,12798,8969
22,2,18098,False,24184,12798
22,3,35444,False,24187,24184
22,4,35449,False,24189,24187
22,5,35448,False,19998,24189
22,6,28988,False,8969,19998
23,1,18097,True,10192,19663
23,2,35441,True,24184,10192
23,3,18098,True,12798,24184
23,4,28464,True,19663,12798
24,1,14347,False,10192,10191
24,2,18097,False,19663,10192
24,3,35453,True,24191,19663
24,4,35450,True,10191,24191
25,1,28463,False,24190,19662
25,2,35452,False,24192,24190
25,3,35455,False,24191,24192
25,4,35453,False,19663,24191
25,5,28465,False,19662,19663
26,1,14419,False,19662,10244
26,2,28465,True,19663,19662
26,3,28464,False,12798,19663
26,4,18096,False,10244,12798
27,1,13777,False,10197,9780
27,2,14354,False,10195,10197
27,3,35454,True,24192,10195
27,4,35452,True,24190,24192
27,5,35451,False,13758,24190
27,6,19522,False,13759,13758
27,7,19521,False,9780,13759
28,1,13771,False,10191,9776
28,2,35450,False,24191,10191
28,3,35455,True,24192,24191
28,4,35454,False,10195,24192
28,5,14352,False,20993,10195
28,6,30512,False,20990,20993
28,7,30507,False,15265,20990
28,8,21785,False,15266,15265
28,9,21784,False,9776,15266
29,1,14346,False,8372,10191
29,2,16332,True,11575,8372
29,3,22165,True,15516,11575
29,4,36118,True,24628,15516
29,5,35445,True,24188,24628
29,6,14348,True,10192,24188
