nid,x,y,nseq,eid
4561,525034.203165525,-413067.841262365,1,6273
4561,525034.203165525,-413067.841262365,2,7396
4561,525034.203165525,-413067.841262365,3,14926
4986,515423.747061606,-375887.369467458,1,6931
4986,515423.747061606,-375887.369467458,2,9595
5273,531556.423344204,-409192.043082214,1,7367
5273,531556.423344204,-409192.043082214,2,7369
5273,531556.423344204,-409192.043082214,3,7397
5273,531556.423344204,-409192.043082214,4,14928
5283,490790.561981474,-509692.387223003,1,7381
5283,490790.561981474,-509692.387223003,2,8979
5293,507845.701779273,-471550.620663574,1,7398
5293,507845.701779273,-471550.620663574,2,7395
5293,507845.701779273,-471550.620663574,3,14498
5294,525301.513723582,-412653.92964949,1,7397
5294,525301.513723582,-412653.92964949,2,7396
5294,525301.513723582,-412653.92964949,3,6273
5295,504976.772030293,-438858.560013424,1,7399
5295,504976.772030293,-438858.560013424,2,21042
5432,504340.205745239,-572700.924259393,1,7607
5432,504340.205745239,-572700.924259393,2,7601
5432,504340.205745239,-572700.924259393,3,8988
5838,536880.365307137,-401949.736702254,1,8241
5838,536880.365307137,-401949.736702254,2,8239
5838,536880.365307137,-401949.736702254,3,7367
6300,512542.590240921,-539142.124866833,1,8980
6300,512542.590240921,-539142.124866833,2,13598
6300,512542.590240921,-539142.124866833,3,8979
6303,505162.530525725,-572753.740268773,1,8983
6303,505162.530525725,-572753.740268773,2,8982
6303,505162.530525725,-572753.740268773,3,7607
6304,505150.349244844,-572644.945176883,1,8985
6304,505150.349244844,-572644.945176883,2,8983
6307,500458.010456008,-572388.351565317,1,8988
6307,500458.010456008,-572388.351565317,2,7609
6307,500458.010456008,-572388.351565317,3,23869
6363,504660.70898423,-351870.742542904,1,9040
6363,504660.70898423,-351870.742542904,2,9113
6363,504660.70898423,-351870.742542904,3,9073
6387,515617.247505275,-375022.925873624,1,9114
6387,515617.247505275,-375022.925873624,2,9112
6387,515617.247505275,-375022.925873624,3,6931
6388,515403.299578104,-372398.080844529,1,9109
6388,515403.299578104,-372398.080844529,2,9114
6388,515403.299578104,-372398.080844529,3,9113
6408,496755.514861393,-344719.776287436,1,9143
