rn,seq,eid,rev,nodea,nodeb
0,1,36824,False,27401,25148
0,2,40193,True,26427,27401
0,3,38703,False,26290,26427
0,4,38496,False,25148,26290
1,1,37407,False,25566,25565
1,2,38704,False,26427,25566
1,3,40193,False,27401,26427
1,4,40192,False,25565,27401
2,1,37335,True,25515,26428
2,2,38494,True,26290,25515
2,3,38703,True,26427,26290
2,4,38705,True,26428,26427
3,1,37408,False,25569,25566
3,2,38706,True,26428,25569
3,3,38705,False,26427,26428
3,4,38704,True,25566,26427
4,1,36778,False,25140,25113
4,2,37409,True,25568,25140
4,3,37411,True,25569,25568
4,4,37408,True,25566,25569
4,5,37407,True,25565,25566
4,6,37406,False,25113,25565
5,1,37410,True,25567,26429
5,2,37412,True,25569,25567
5,3,37411,False,25568,25569
5,4,38707,True,26429,25568
6,1,36814,False,26425,25140
6,2,38701,False,26426,26425
6,3,38702,False,26424,26426
6,4,39711,True,27091,26424
6,5,38708,True,26429,27091
6,6,38707,False,25568,26429
6,7,37409,False,25140,25568
7,1,36840,False,26421,25158
7,2,38695,True,26420,26421
7,3,38693,False,25546,26420
7,4,38351,False,26197,25546
7,5,38355,False,26423,26197
7,6,38698,True,26422,26423
7,7,38696,False,26424,26422
7,8,38702,True,26426,26424
7,9,38701,True,26425,26426
7,10,38700,False,25158,26425
8,1,37380,False,26199,25547
8,2,40263,True,27447,26199
8,3,39619,True,27034,27447
8,4,38356,True,26198,27034
8,5,38352,False,25944,26198
8,6,37970,False,26200,25944
8,7,38697,True,26423,26200
8,8,38355,True,26197,26423
8,9,38351,True,25546,26197
8,10,37381,False,25547,25546
9,1,37374,False,27185,25542
9,2,39859,False,27186,27185
9,3,39861,False,27187,27186
9,4,39860,False,27022,27187
9,5,39602,False,27032,27022
9,6,39620,False,27034,27032
9,7,39619,False,27447,27034
9,8,40263,False,26199,27447
9,9,38353,False,25542,26199
10,1,39406,False,27021,26888
10,2,39603,False,27187,27021
10,3,39861,True,27186,27187
10,4,39859,True,27185,27186
10,5,39858,False,26985,27185
10,6,39547,False,26982,26985
10,7,39543,False,26892,26982
10,8,39411,False,26888,26892
11,1,38559,False,27189,26332
11,2,39864,True,27188,27189
11,3,39862,False,26442,27188
11,4,38727,False,27190,26442
11,5,39867,True,27191,27190
11,6,39866,True,26332,27191
12,1,38722,False,27192,26400
12,2,39869,True,27191,27192
12,3,39867,False,27190,27191
12,4,39865,False,26400,27190
13,1,38665,True,26400,26401
13,2,39865,True,27190,26400
13,3,38727,True,26442,27190
13,4,38669,True,26403,26442
13,5,38666,True,26401,26403
14,1,38666,False,26403,26401
14,2,38725,True,26441,26403
14,3,38670,True,26402,26441
14,4,38668,True,26401,26402
15,1,37166,False,26430,25394
15,2,39616,True,27031,26430
15,3,39617,True,27032,27031
15,4,39602,True,27022,27032
15,5,39604,True,27023,27022
15,6,38713,True,26433,27023
15,7,38712,False,26434,26433
15,8,40026,True,27294,26434
15,9,40021,True,27291,27294
15,10,39612,True,27029,27291
15,11,38715,True,26432,27029
15,12,38711,True,26431,26432
15,13,38710,False,26404,26431
15,14,38673,False,26405,26404
