nid,x,y,nseq,eid
24910,956395.680536951,494498.951574974,1,36524
24910,956395.680536951,494498.951574974,2,38276
24911,976607.952140761,412159.722388693,1,36525
24911,976607.952140761,412159.722388693,2,36527
24911,976607.952140761,412159.722388693,3,36557
24912,977692.642769283,413693.953600163,1,36528
24912,977692.642769283,413693.953600163,2,36526
24912,977692.642769283,413693.953600163,3,36530
24913,977339.167374147,411992.789402595,1,36526
24913,977339.167374147,411992.789402595,2,39743
24913,977339.167374147,411992.789402595,3,36527
24914,978120.321969005,414047.298925452,1,36529
24914,978120.321969005,414047.298925452,2,36528
24914,978120.321969005,414047.298925452,3,37792
24915,976902.708539929,414077.966471576,1,36530
24915,976902.708539929,414077.966471576,2,36525
24915,976902.708539929,414077.966471576,3,36531
24916,976874.308866186,414297.318741476,1,36532
24916,976874.308866186,414297.318741476,2,36531
24917,968059.898375149,418594.764901355,1,36533
24917,968059.898375149,418594.764901355,2,37089
24918,977713.598947565,428847.167244107,1,36534
24918,977713.598947565,428847.167244107,2,38460
24918,977713.598947565,428847.167244107,3,39909
24919,980039.772244149,428730.778966083,1,36535
24919,980039.772244149,428730.778966083,2,37540
24920,969302.408408579,410021.883159207,1,37805
24920,969302.408408579,410021.883159207,2,36536
24920,969302.408408579,410021.883159207,3,37419
24921,954251.723375551,525055.208300849,1,36537
24921,954251.723375551,525055.208300849,2,38845
24922,975225.989277433,502807.801973296,1,36538
24922,975225.989277433,502807.801973296,2,36856
24923,946995.723950792,600306.204752925,1,36539
24923,946995.723950792,600306.204752925,2,39263
24924,977039.205670484,459781.064908261,1,36540
24924,977039.205670484,459781.064908261,2,37547
24925,949487.779794251,500469.372158845,1,36677
24925,949487.779794251,500469.372158845,2,36541
24925,949487.779794251,500469.372158845,3,36990
24926,960691.745095583,519725.280983479,1,36542
24926,960691.745095583,519725.280983479,2,37509
24927,960683.487967273,515001.056472983,1,36792
24927,960683.487967273,515001.056472983,2,36543
24927,960683.487967273,515001.056472983,3,38212
24928,965497.194819194,520921.746034495,1,36544
24928,965497.194819194,520921.746034495,2,38632
24929,975207.51319557,433500.663736786,1,36546
24929,975207.51319557,433500.663736786,2,39764
24930,977815.267511158,448959.846933119,1,36547
24930,977815.267511158,448959.846933119,2,37545
24930,977815.267511158,448959.846933119,3,36545
24931,986779.085387694,449021.012066926,1,38891
24931,986779.085387694,449021.012066926,2,36548
24931,986779.085387694,449021.012066926,3,36547
24932,965567.352737425,511006.531161476,1,37382
24932,965567.352737425,511006.531161476,2,36549
24932,965567.352737425,511006.531161476,3,38172
24933,965928.736078942,510385.258465779,1,36550
24933,965928.736078942,510385.258465779,2,37394
24934,969994.811412097,419972.032012019,1,36551
24934,969994.811412097,419972.032012019,2,37788
24934,969994.811412097,419972.032012019,3,37791
24935,974245.816635085,543288.571910019,1,36552
24935,974245.816635085,543288.571910019,2,38714
24936,962390.308207563,522384.486617138,1,36554
24936,962390.308207563,522384.486617138,2,39983
24937,965483.66771569,523112.576882925,1,39136
24937,965483.66771569,523112.576882925,2,36553
24937,965483.66771569,523112.576882925,3,36555
24938,965504.411225555,521518.820721685,1,36555
24938,965504.411225555,521518.820721685,2,36544
24938,965504.411225555,521518.820721685,3,36556
24939,973242.616827794,414732.971325499,1,36559
24939,973242.616827794,414732.971325499,2,36561
24940,976878.974022329,415166.673091341,1,37793
24940,976878.974022329,415166.673091341,2,36558
24940,976878.974022329,415166.673091341,3,36532
24940,976878.974022329,415166.673091341,4,37590
24941,975427.378624673,411902.509505758,1,36557
24941,975427.378624673,411902.509505758,2,39742
24941,975427.378624673,411902.509505758,3,36562
24941,975427.378624673,411902.509505758,4,36560
24942,973253.532006021,413979.854414561,1,36561
24942,973253.532006021,413979.854414561,2,36560
24942,973253.532006021,413979.854414561,3,36563
24942,973253.532006021,413979.854414561,4,39912
24943,973277.377220381,412937.433354227,1,36563
24943,973277.377220381,412937.433354227,2,37803
24943,973277.377220381,412937.433354227,3,36564
24944,971519.212948916,414450.774770934,1,36565
24944,971519.212948916,414450.774770934,2,37802
24945,959794.197793434,529954.484327981,1,36566
24945,959794.197793434,529954.484327981,2,36567
24946,959989.220615281,529501.042567171,1,40034
24946,959989.220615281,529501.042567171,2,36568
24946,959989.220615281,529501.042567171,3,36567
24947,959087.027629206,530358.335180381,1,36570
24947,959087.027629206,530358.335180381,2,38555
24948,960446.871950166,531106.109914012,1,36569
24948,960446.871950166,531106.109914012,2,36566
24948,960446.871950166,531106.109914012,3,38554
24949,960685.168717191,532712.236972275,1,36571
24949,960685.168717191,532712.236972275,2,37660
24949,960685.168717191,532712.236972275,3,38728
24950,956697.815061967,531967.103029836,1,36572
24950,956697.815061967,531967.103029836,2,36754
24951,956683.030478556,523054.111442266,1,36573
24951,956683.030478556,523054.111442266,2,38821
24952,976286.543115179,492246.653735176,1,40055
24952,976286.543115179,492246.653735176,2,36574
24952,976286.543115179,492246.653735176,3,40065
24952,976286.543115179,492246.653735176,4,39851
24953,952728.753681195,502777.407480821,1,36575
24953,952728.753681195,502777.407480821,2,36993
24954,956031.152018032,506005.33627605,1,36576
24954,956031.152018032,506005.33627605,2,37670
24955,955690.045620992,503897.675525446,1,36577
24955,955690.045620992,503897.675525446,2,37695
24956,965578.161842961,504064.539428968,1,36578
24956,965578.161842961,504064.539428968,2,36621
24957,963964.61722707,502381.497444565,1,36579
24957,963964.61722707,502381.497444565,2,37702
24958,967945.90840941,498936.230503127,1,36580
24958,967945.90840941,498936.230503127,2,36707
24958,967945.90840941,498936.230503127,3,39657
24958,967945.90840941,498936.230503127,4,39735
24959,973476.981470522,490890.388968415,1,36581
24959,973476.981470522,490890.388968415,2,40116
24960,972004.050409388,494067.898753655,1,36583
24960,972004.050409388,494067.898753655,2,40110
24961,975161.738310914,491714.564796557,1,39850
24961,975161.738310914,491714.564796557,2,36582
24961,975161.738310914,491714.564796557,3,36584
24962,973455.027679058,492065.192190639,1,36584
24962,973455.027679058,492065.192190639,2,36581
24962,973455.027679058,492065.192190639,3,36585
24963,948629.518278922,610816.584874455,1,36586
24963,948629.518278922,610816.584874455,2,37156
24964,950194.590910058,528441.4642302,1,36587
24964,950194.590910058,528441.4642302,2,36699
24965,970387.050965626,512591.541732485,1,36591
24965,970387.050965626,512591.541732485,2,36588
24965,970387.050965626,512591.541732485,3,37533
24965,970387.050965626,512591.541732485,4,38689
24966,971934.245258673,512368.871279099,1,36828
24966,971934.245258673,512368.871279099,2,36589
24966,971934.245258673,512368.871279099,3,36588
24967,970377.017455761,513462.729662852,1,36829
24967,970377.017455761,513462.729662852,2,36590
24967,970377.017455761,513462.729662852,3,36591
24967,970377.017455761,513462.729662852,4,36773
24968,639103.71483406,448554.185922557,1,36592
24968,639103.71483406,448554.185922557,2,37272
24968,639103.71483406,448554.185922557,3,37271
24969,648919.362717277,471713.946107947,1,36593
24969,648919.362717277,471713.946107947,2,37285
24970,945898.34181343,547026.867402378,1,38612
24970,945898.34181343,547026.867402378,2,36594
24970,945898.34181343,547026.867402378,3,40166
24970,945898.34181343,547026.867402378,4,40149
24971,943809.179236822,566335.891973437,1,36595
24971,943809.179236822,566335.891973437,2,40190
24971,943809.179236822,566335.891973437,3,37079
24972,988710.633395036,360816.444523638,1,36596
24972,988710.633395036,360816.444523638,2,39457
24973,945862.375096809,560795.652883745,1,36597
24973,945862.375096809,560795.652883745,2,37073
24974,948266.692182059,563197.813909348,1,36599
24974,948266.692182059,563197.813909348,2,36600
24975,948268.434013936,562702.314051809,1,36600
24975,948268.434013936,562702.314051809,2,37369
24975,948268.434013936,562702.314051809,3,36598
24975,948268.434013936,562702.314051809,4,37080
24976,949059.872890613,566750.644850894,1,36601
24976,949059.872890613,566750.644850894,2,36945
24977,950662.056779413,567991.11949146,1,36604
24977,950662.056779413,567991.11949146,2,36602
24977,950662.056779413,567991.11949146,3,36947
24978,950666.592853887,566369.325519545,1,36602
24978,950666.592853887,566369.325519545,2,37366
24978,950666.592853887,566369.325519545,3,36603
24979,899275.086392821,567813.75960114,1,36605
24979,899275.086392821,567813.75960114,2,36606
24980,901357.920736436,547981.484786565,1,36607
24980,901357.920736436,547981.484786565,2,38309
24980,901357.920736436,547981.484786565,3,37233
24981,901724.693083626,552223.626700268,1,36608
24981,901724.693083626,552223.626700268,2,36607
24981,901724.693083626,552223.626700268,3,36606
24982,929718.394225244,557166.706872023,1,36609
24982,929718.394225244,557166.706872023,2,36608
24982,929718.394225244,557166.706872023,3,37058
24983,935082.502769194,545394.704864059,1,36610
24983,935082.502769194,545394.704864059,2,38916
24983,935082.502769194,545394.704864059,3,38919
24983,935082.502769194,545394.704864059,4,37871
24984,895203.353557097,525820.120073151,1,36611
24984,895203.353557097,525820.120073151,2,37414
24985,932991.715437613,552218.895409165,1,38640
24985,932991.715437613,552218.895409165,2,36614
24985,932991.715437613,552218.895409165,3,36612
24986,931763.816714331,550088.553669195,1,36612
24986,931763.816714331,550088.553669195,2,38641
24986,931763.816714331,550088.553669195,3,36613
24987,942996.548596561,540819.63382668,1,36615
24987,942996.548596561,540819.63382668,2,40157
24988,955072.234055564,520636.443473969,1,38818
24988,955072.234055564,520636.443473969,2,36616
24988,955072.234055564,520636.443473969,3,38826
24988,955072.234055564,520636.443473969,4,38800
24989,964767.787379725,505376.273113451,1,36618
24989,964767.787379725,505376.273113451,2,36620
24989,964767.787379725,505376.273113451,3,36783
24990,965774.376038172,503720.867315891,1,37333
24990,965774.376038172,503720.867315891,2,36617
24990,965774.376038172,503720.867315891,3,36619
24990,965774.376038172,503720.867315891,4,36622
24991,964765.383803809,503754.367774037,1,36620
24991,964765.383803809,503754.367774037,2,36619
24991,964765.383803809,503754.367774037,3,40086
24992,965570.264715015,503763.270383635,1,36621
24992,965570.264715015,503763.270383635,2,36578
24993,964785.526507587,506974.969585085,1,36623
24993,964785.526507587,506974.969585085,2,36782
24994,965028.772261537,505359.310440781,1,38520
24994,965028.772261537,505359.310440781,2,36622
24994,965028.772261537,505359.310440781,3,36624
24995,965020.241141008,505377.574646693,1,36624
24995,965020.241141008,505377.574646693,2,36618
24995,965020.241141008,505377.574646693,3,36625
24996,951846.214562359,609606.608616473,1,36626
24996,951846.214562359,609606.608616473,2,36638
24996,951846.214562359,609606.608616473,3,37601
24997,950247.229172603,612363.60662115,1,36627
