rn,seq,eid,rev,nodea,nodeb
0,1,41166,False,28110,28102
0,2,138538,True,94831,28110
0,3,41176,True,28109,94831
0,4,138536,True,94829,28109
0,5,42818,True,29203,94829
0,6,42546,True,29023,29203
0,7,41181,True,28114,29023
0,8,41174,True,28108,28114
0,9,41173,False,28102,28108
1,1,41166,True,28102,28110
1,2,41173,True,28108,28102
1,3,41168,True,28104,28108
1,4,41167,False,28103,28104
1,5,41189,True,28119,28103
1,6,41989,True,28652,28119
1,7,41175,True,28110,28652
2,1,40503,False,28104,27626
2,2,41168,False,28108,28104
2,3,41174,False,28114,28108
2,4,41182,True,28112,28114
2,5,41178,False,28111,28112
2,6,41180,True,28113,28111
2,7,41179,False,27626,28113
3,1,40503,True,27626,28104
3,2,41179,True,28113,27626
3,3,42713,True,29136,28113
3,4,41187,True,28118,29136
3,5,41165,True,28103,28118
3,6,41167,True,28104,28103
4,1,41181,False,29023,28114
4,2,42817,True,29202,29023
4,3,42547,True,29022,29202
4,4,42545,False,28635,29022
4,5,41965,False,28636,28635
4,6,41964,False,28112,28636
4,7,41182,False,28114,28112
5,1,42546,False,29203,29023
5,2,150439,True,102790,29203
5,3,147611,True,100932,102790
5,4,42836,True,29216,100932
5,5,42819,True,29202,29216
5,6,42817,False,29023,29202
6,1,41963,False,29022,28634
6,2,42547,False,29202,29022
6,3,42819,False,29216,29202
6,4,42837,True,29215,29216
6,5,42835,True,29214,29215
6,6,42834,False,29033,29214
6,7,42560,False,28634,29033
7,1,40994,False,28636,27984
7,2,41965,True,28635,28636
7,3,42545,True,29022,28635
7,4,41963,True,28634,29022
7,5,41962,False,28116,28634
7,6,41183,False,27984,28116
8,1,40994,True,27984,28636
8,2,41183,True,28116,27984
8,3,41185,True,28117,28116
8,4,41177,True,28111,28117
8,5,41178,True,28112,28111
8,6,41964,True,28636,28112
9,1,41177,False,28117,28111
9,2,41186,False,29135,28117
9,3,42714,True,29136,29135
9,4,42713,False,28113,29136
9,5,41180,False,28111,28113
10,1,41187,False,29136,28118
10,2,42798,True,29189,29136
10,3,42797,False,28323,29189
10,4,41497,False,28118,28323
11,1,40420,True,27557,29189
11,2,40422,True,27559,27557
11,3,40421,True,27558,27559
11,4,41496,True,28323,27558
11,5,42797,True,29189,28323
12,1,40420,False,29189,27557
12,2,42798,False,29136,29189
12,3,42714,False,29135,29136
12,4,42712,False,29217,29135
12,5,42839,True,27557,29217
13,1,41184,True,28115,29033
13,2,42558,True,29031,28115
13,3,42838,True,29217,29031
13,4,42712,True,29135,29217
13,5,41186,True,28117,29135
13,6,41185,False,28116,28117
13,7,41962,True,28634,28116
13,8,42560,True,29033,28634
14,1,42556,True,29029,29029
14,1,42555,True,29028,29028
14,1,42557,True,29030,29030
14,1,41184,False,29033,28115
14,2,42834,True,29214,29033
14,3,147610,True,100931,29214
14,4,42561,True,29032,100931
14,5,140583,True,96258,29032
14,6,140585,True,96259,96258
14,7,150741,True,102994,96259
14,8,42559,True,29031,102994
14,9,42558,False,28115,29031
15,1,40640,False,27731,27730
15,2,40665,False,27748,27731
15,3,42717,True,29138,27748
15,4,42715,True,29137,29138
15,5,41192,True,28120,29137
15,6,41191,False,27730,28120
16,1,41190,False,28070,28119
16,2,41922,False,28607,28070
16,3,41921,False,28165,28607
16,4,150804,True,103036,28165
16,5,41990,True,28652,103036
16,6,41989,False,28119,28652
17,1,41261,True,28165,29027
17,2,41921,True,28607,28165
17,3,41923,True,28608,28607
17,4,42551,True,29026,28608
17,5,42553,True,29027,29026
18,1,41120,False,28606,28070
18,2,42570,True,29040,28606
18,3,41924,True,28608,29040
18,4,41923,False,28607,28608
18,5,41922,True,28070,28607
19,1,40633,False,28068,27725
19,2,41119,False,28070,28068
19,3,41190,True,28119,28070
19,4,41189,False,28103,28119
19,5,41165,False,28118,28103
19,6,41188,True,27725,28118
20,1,40580,False,28069,27685
20,2,42927,True,29276,28069
20,3,41920,True,28606,29276
20,4,41120,True,28070,28606
20,5,41119,True,28068,28070
20,6,41117,False,27726,28068
20,7,40632,False,27685,27726
21,1,41920,False,29276,28606
21,2,42928,True,29275,29276
21,3,42926,False,28966,29275
21,4,42461,False,29039,28966
21,5,42571,False,29040,29039
21,6,42570,False,28606,29040
22,1,41118,False,29277,28069
22,2,42931,True,29278,29277
22,3,42930,False,28965,29278
22,4,42462,False,29275,28965
22,5,42928,False,29276,29275
22,6,42927,False,28069,29276
23,1,40526,False,28966,27645
23,2,42926,True,29275,28966
23,3,42462,True,28965,29275
23,4,42930,True,29278,28965
23,5,42460,True,28964,29278
23,6,42459,False,27754,28964
23,7,40673,False,27645,27754
24,1,40674,False,28964,27752
24,2,42460,False,29278,28964
24,3,42931,False,29277,29278
24,4,42929,False,27863,29277
24,5,40825,False,27864,27863
24,6,40824,False,27752,27864
25,1,40645,False,27737,27734
25,2,40649,False,27750,27737
25,3,40670,False,27864,27750
25,4,40825,True,27863,27864
25,5,40823,False,27734,27863
26,1,40580,True,27685,28069
26,2,40632,True,27726,27685
26,3,40634,True,27727,27726
26,4,40643,True,27734,27727
26,5,40823,True,27863,27734
26,6,42929,True,29277,27863
26,7,41118,True,28069,29277
27,1,40633,True,27725,28068
27,2,40636,True,27729,27725
27,3,40638,True,27730,27729
27,4,41191,True,28120,27730
27,5,40635,True,27727,28120
27,6,40634,False,27726,27727
27,7,41117,True,28068,27726
28,1,40423,False,27732,27558
28,2,40642,False,27728,27732
28,3,40637,False,27729,27728
28,4,40636,False,27725,27729
28,5,41188,False,28118,27725
28,6,41497,True,28323,28118
28,7,41496,False,27558,28323
29,1,40637,True,27728,27729
29,2,40642,True,27732,27728
29,3,40641,False,27731,27732
29,4,40640,True,27730,27731
29,5,40638,False,27729,27730
30,1,40635,False,28120,27727
30,2,41192,False,29137,28120
30,3,42716,True,27733,29137
30,4,40644,False,27734,27733
30,5,40643,False,27727,27734
31,1,40646,False,27733,27736
31,2,42716,False,29137,27733
31,3,42715,False,29138,29137
31,4,42717,False,27748,29138
31,5,40664,False,27745,27748
31,6,40659,False,27735,27745
31,7,40647,False,27736,27735
32,1,40644,True,27733,27734
32,2,40646,True,27736,27733
32,3,40648,True,27737,27736
32,4,40645,True,27734,27737
33,1,40647,True,27735,27736
33,2,40659,True,27745,27735
33,3,40656,True,27743,27745
33,4,40650,True,27739,27743
33,5,40652,True,27740,27739
33,6,40667,True,27750,27740
33,7,40649,True,27737,27750
33,8,40648,False,27736,27737
34,1,40651,True,27738,27744
34,2,40661,True,27747,27738
34,3,42718,True,29139,27747
34,4,40666,True,27749,29139
34,5,40653,True,27740,27749
34,6,40652,False,27739,27740
34,7,40657,True,27744,27739
35,1,40650,False,27743,27739
35,2,40658,False,27744,27743
35,3,40657,False,27739,27744
36,1,40651,False,27744,27738
36,2,40658,True,27743,27744
36,3,40656,False,27745,27743
36,4,40664,True,27748,27745
36,5,40663,True,27746,27748
36,6,40660,True,27742,27746
36,7,40655,False,27741,27742
36,8,43006,True,29330,27741
36,9,43005,True,29329,29330
36,10,40662,True,27747,29329
36,11,40661,False,27738,27747
37,1,40639,False,27742,27731
37,2,40660,False,27746,27742
37,3,40663,False,27748,27746
37,4,40665,True,27731,27748
38,1,40421,False,27559,27558
38,2,40654,True,27741,27559
38,3,40655,True,27742,27741
38,4,40639,True,27731,27742
38,5,40641,True,27732,27731
38,6,40423,True,27558,27732
39,1,43005,False,29330,29329
39,2,43007,True,29329,29330
40,1,40526,True,27645,28966
40,2,40673,True,27754,27645
40,3,40671,True,27753,27754
40,4,41499,True,28325,27753
40,5,41501,True,28326,28325
40,6,42569,True,29039,28326
40,7,42461,True,28966,29039
41,1,40669,False,29141,27751
41,2,42722,False,29140,29141
41,3,42719,False,28329,29140
41,4,41505,False,28325,28329
41,5,41499,False,27753,28325
41,6,40672,False,27751,27753
42,1,40666,False,29139,27749
42,2,42890,True,29251,29139
42,3,42720,True,29140,29251
42,4,42722,True,29141,29140
42,5,42721,False,27749,29141
43,1,40653,False,27749,27740
43,2,42721,True,29141,27749
43,3,40669,True,27751,29141
43,4,40668,True,27750,27751
43,5,40667,False,27740,27750
44,1,40668,False,27751,27750
44,2,40672,True,27753,27751
44,3,40671,False,27754,27753
44,4,42459,True,28964,27754
44,5,40674,True,27752,28964
44,6,40824,True,27864,27752
44,7,40670,True,27750,27864
45,1,42467,True,28969,28970
45,2,42550,True,29025,28969
45,3,42469,True,28971,29025
45,4,42468,False,28970,28971
46,1,42466,False,28125,28970
46,2,148477,True,101501,28125
46,3,42554,True,29027,101501
46,4,42553,False,29026,29027
46,5,42552,True,29025,29026
46,6,42550,False,28969,29025
46,7,42467,False,28970,28969
47,1,41503,False,28328,28326
47,2,41504,False,29042,28328
47,3,42574,True,29041,29042
47,4,42572,False,28971,29041
47,5,42469,False,29025,28971
47,6,42552,False,29026,29025
47,7,42551,False,28608,29026
47,8,41924,False,29040,28608
47,9,42571,True,29039,29040
47,10,42569,False,28326,29039
48,1,41198,False,27972,28124
48,2,41883,True,28582,27972
48,3,41200,True,28125,28582
48,4,42466,True,28970,28125
48,5,42468,True,28971,28970
48,6,42572,True,29041,28971
48,7,41199,True,28124,29041
49,1,41039,False,28016,28015
49,2,41210,True,28132,28016
49,3,41212,True,28133,28132
49,4,41933,True,28614,28133
49,5,41041,True,28015,28614
50,1,41209,False,27929,28131
50,2,41213,True,28133,27929
50,3,41212,False,28132,28133
50,4,41211,True,28131,28132
51,1,40826,True,27865,27975
51,2,41043,True,28018,27865
51,3,40847,True,27880,28018
51,4,40843,True,27877,27880
51,5,41040,True,28016,27877
51,6,41039,True,28015,28016
