nid,x,y,nseq,eid
27544,283323.774616021,232242.296886015,1,42464
27544,283323.774616021,232242.296886015,2,42428
27544,283323.774616021,232242.296886015,3,40406
27545,293700.920251883,203483.685668469,1,40407
27545,293700.920251883,203483.685668469,2,41401
27545,293700.920251883,203483.685668469,3,41405
27546,299194.48735914,211323.340809022,1,40544
27546,299194.48735914,211323.340809022,2,40546
27546,299194.48735914,211323.340809022,3,40408
27547,256627.270210116,225041.333279065,1,40429
27547,256627.270210116,225041.333279065,2,40409
27548,279546.381036393,234170.386664324,1,40410
27548,279546.381036393,234170.386664324,2,41692
27549,326688.228456994,226720.603789841,1,40828
27549,326688.228456994,226720.603789841,2,40411
27550,324556.125677168,209407.497757521,1,40412
27550,324556.125677168,209407.497757521,2,41340
27550,324556.125677168,209407.497757521,3,40415
27551,318562.546630999,205334.280318347,1,40413
27551,318562.546630999,205334.280318347,2,42040
27551,318562.546630999,205334.280318347,3,41343
27552,328010.750034795,208063.496478103,1,40959
27552,328010.750034795,208063.496478103,2,40414
27552,328010.750034795,208063.496478103,3,40412
27553,323841.621922534,212751.594329017,1,40416
27553,323841.621922534,212751.594329017,2,41345
27554,276247.017049824,234325.087015214,1,40417
27554,276247.017049824,234325.087015214,2,40475
27555,287526.022023589,202196.844045157,1,40418
27555,287526.022023589,202196.844045157,2,41449
27555,287526.022023589,202196.844045157,3,41196
27556,248630.4706281,236402.204667073,1,40419
27556,248630.4706281,236402.204667073,2,40621
27557,234332.671054438,172099.912842247,1,40422
27557,234332.671054438,172099.912842247,2,42839
27557,234332.671054438,172099.912842247,3,40420
27558,236323.444591782,176220.719390691,1,40423
27558,236323.444591782,176220.719390691,2,40421
27558,236323.444591782,176220.719390691,3,41496
27559,237274.241071431,173816.134757738,1,40654
27559,237274.241071431,173816.134757738,2,40422
27559,237274.241071431,173816.134757738,3,40421
27560,253473.976915126,191181.250493568,1,40424
27560,253473.976915126,191181.250493568,2,42297
27561,357345.815665392,212342.080584467,1,40425
27561,357345.815665392,212342.080584467,2,41149
27562,329637.925246005,267765.150224081,1,40426
27562,329637.925246005,267765.150224081,2,40433
27562,329637.925246005,267765.150224081,3,41415
27563,357208.356026641,218741.532589549,1,41233
27563,357208.356026641,218741.532589549,2,40427
27564,349630.658663796,210688.942209593,1,40428
27564,349630.658663796,210688.942209593,2,42000
27564,349630.658663796,210688.942209593,3,42730
27565,252222.621286302,217803.617807063,1,40430
27565,252222.621286302,217803.617807063,2,41832
27565,252222.621286302,217803.617807063,3,41535
27566,257981.906352026,223127.453386319,1,40431
27566,257981.906352026,223127.453386319,2,40691
27566,257981.906352026,223127.453386319,3,40429
27567,263183.323515457,219784.808816579,1,42400
27567,263183.323515457,219784.808816579,2,42684
27567,263183.323515457,219784.808816579,3,40432
27567,263183.323515457,219784.808816579,4,40431
27568,328288.217424222,263912.107826255,1,42777
27568,328288.217424222,263912.107826255,2,40434
27569,330327.690039135,266139.599129345,1,40435
27569,330327.690039135,266139.599129345,2,40575
27569,330327.690039135,266139.599129345,3,40433
27570,331422.464923333,265887.336419095,1,42780
27570,331422.464923333,265887.336419095,2,40436
27570,331422.464923333,265887.336419095,3,40435
27571,369265.527237332,207890.264150193,1,42771
27571,369265.527237332,207890.264150193,2,40987
27571,369265.527237332,207890.264150193,3,40437
27572,346228.535215267,251776.861496428,1,41809
27572,346228.535215267,251776.861496428,2,40438
27573,328965.27548559,285790.877275154,1,40439
27573,328965.27548559,285790.877275154,2,42789
27573,328965.27548559,285790.877275154,3,98811
27574,370401.792282996,212679.562619379,1,40443
27574,370401.792282996,212679.562619379,2,40441
27575,373387.29608801,212585.76838387,1,40812
27575,373387.29608801,212585.76838387,2,40440
27575,373387.29608801,212585.76838387,3,40442
27576,370385.330457227,212631.322419505,1,40442
27576,370385.330457227,212631.322419505,2,40437
27576,370385.330457227,212631.322419505,3,42358
27576,370385.330457227,212631.322419505,4,40443
27577,359450.430922029,215428.244478981,1,40446
27577,359450.430922029,215428.244478981,2,40445
27578,359758.175463567,214097.931374039,1,41131
27578,359758.175463567,214097.931374039,2,40444
27578,359758.175463567,214097.931374039,3,41232
