rn,seq,eid,rev,nodea,nodeb
0,1,46220,False,31647,31646
0,2,46237,True,31658,31647
0,3,46233,True,31655,31658
0,4,48093,True,32951,31655
0,5,46222,True,31646,32951
1,1,46219,False,38177,31645
1,2,56107,True,35260,38177
1,3,51632,False,35259,35260
1,4,51630,False,32951,35259
1,5,48093,False,31655,32951
1,6,46235,False,31656,31655
1,7,46234,False,31645,31656
2,1,56104,False,35260,38176
2,2,56107,False,38177,35260
2,3,56106,False,38174,38177
2,4,56105,False,38176,38174
3,1,46219,True,31645,38177
3,2,46234,True,31656,31645
3,3,46236,True,31657,31656
3,4,56101,True,38174,31657
3,5,56106,True,38177,38174
4,1,46233,False,31658,31655
4,2,48805,True,33418,31658
4,3,48766,True,33392,33418
4,4,46238,True,31657,33392
4,5,46236,False,31656,31657
4,6,46235,True,31655,31656
5,1,46238,False,33392,31657
5,2,48802,True,33416,33392
5,3,56100,True,38173,33416
5,4,48767,True,31657,38173
6,1,48085,False,33414,32946
6,2,48803,True,33416,33414
6,3,48802,False,33392,33416
6,4,48766,False,33418,33392
6,5,48806,True,33417,33418
6,6,48804,True,33415,33417
6,7,48801,False,32946,33415
7,1,46237,False,31647,31658
7,2,47257,False,32945,31647
7,3,48086,False,33415,32945
7,4,48804,False,33417,33415
7,5,48806,False,33418,33417
7,6,48805,False,31658,33418
8,1,48083,True,32943,32944
8,2,48088,True,32947,32943
8,3,48087,False,32946,32947
8,4,48801,True,33415,32946
8,5,48086,True,32945,33415
8,6,48084,False,32944,32945
9,1,46221,False,32379,31647
9,2,51109,True,34926,32379
9,3,48082,True,32944,34926
9,4,48084,True,32945,32944
9,5,47257,True,31647,32945
10,1,48092,False,33774,32949
10,2,49337,True,33773,33774
10,3,51111,True,34927,33773
10,4,49335,True,33772,34927
10,5,49334,False,32949,33772
11,1,44301,True,30211,33772
11,2,47256,True,32379,30211
11,3,46221,True,31647,32379
11,4,46220,True,31646,31647
11,5,48091,True,32949,31646
11,6,49334,True,33772,32949
12,1,46222,False,32951,31646
12,2,51630,True,35259,32951
12,3,51119,True,34932,35259
12,4,51121,True,34933,34932
12,5,48094,True,32950,34933
12,6,49336,True,33774,32950
12,7,48092,True,32949,33774
12,8,48091,False,31646,32949
13,1,48206,False,34931,32952
13,2,51120,False,34932,34931
13,3,51119,False,35259,34932
13,4,51632,True,35260,35259
13,5,51631,False,35262,35260
13,6,51635,True,35261,35262
13,7,51633,False,32952,35261
14,1,46623,False,32952,31927
14,2,51633,True,35261,32952
14,3,56129,True,38192,35261
14,4,48097,True,32953,38192
14,5,48096,False,31927,32953
15,1,48097,False,38192,32953
15,2,56129,False,35261,38192
15,3,51635,False,35262,35261
15,4,51634,False,33419,35262
15,5,48807,False,35722,33419
15,6,52352,False,35723,35722
15,7,52351,False,35716,35723
15,8,52341,False,32953,35716
16,1,48807,True,33419,35722
16,2,51634,True,35262,33419
16,3,51631,True,35260,35262
16,4,56104,True,38176,35260
16,5,52350,True,35722,38176
17,1,48803,False,33414,33416
17,2,52357,False,35726,33414
17,3,52359,False,35727,35726
17,4,52358,False,38175,35727
17,5,56103,False,38781,38175
17,6,57001,False,38173,38781
17,7,56100,False,33416,38173
18,1,44301,False,33772,30211
18,2,49335,False,34927,33772
18,3,51760,True,35342,34927
18,4,51112,True,34925,35342
18,5,51108,True,34924,34925
18,6,56159,True,38212,34924
18,7,51110,True,34926,38212
18,8,51109,False,32379,34926
18,9,47256,False,30211,32379
19,1,44308,False,33020,30218
19,2,48202,False,38211,33020
19,3,56160,True,38212,38211
19,4,56159,False,34924,38212
19,5,51107,False,30218,34924
20,1,48200,False,33021,33020
20,2,56158,True,38211,33021
20,3,48202,True,33020,38211
21,1,44308,True,30218,33020
21,2,44309,True,30219,30218
21,3,48201,True,33021,30219
21,4,48200,True,33020,33021
22,1,44309,False,30218,30219
22,2,51107,True,34924,30218
22,3,44311,True,30220,34924
22,4,45804,True,31360,30220
22,5,46612,True,31919,31360
22,6,44310,True,30219,31919
23,1,51111,False,33773,34927
23,2,51670,False,35343,33773
23,3,51762,True,35342,35343
23,4,51760,False,34927,35342
24,1,44311,False,34924,30220
24,2,51108,False,34925,34924
24,3,51112,False,35342,34925
24,4,51762,False,35343,35342
24,5,51761,False,35284,35343
24,6,51669,False,31360,35284
24,7,45804,False,30220,31360
25,1,48094,False,34933,32950
25,2,51123,False,35285,34933
25,3,51672,False,32950,35285
26,1,49336,False,32950,33774
26,2,51672,True,35285,32950
26,3,51671,False,34937,35285
26,4,51257,False,35018,34937
26,5,51256,False,35284,35018
26,6,51761,True,35343,35284
26,7,51670,True,33773,35343
26,8,49337,False,33774,33773
27,1,48095,False,33023,32952
27,2,51122,True,34934,33023
27,3,51118,True,34931,34934
27,4,48206,True,32952,34931
28,1,51118,False,34934,34931
28,2,51127,True,34937,34934
28,3,51671,True,35285,34937
28,4,51123,True,34933,35285
28,5,51121,False,34932,34933
28,6,51120,True,34931,34932
29,1,52335,True,35711,35927
29,2,52658,True,35924,35711
29,3,52339,True,35714,35924
29,4,52344,True,35718,35714
29,5,52338,True,35713,35718
29,6,52336,False,35712,35713
29,7,52662,True,35927,35712
30,1,52337,False,35715,35714
30,2,52343,True,35717,35715
30,3,52342,False,35716,35717
30,4,52351,True,35723,35716
30,5,52345,True,35718,35723
30,6,52344,False,35714,35718
31,1,46624,True,31926,38170
31,2,46625,True,31927,31926
31,3,48096,True,32953,31927
31,4,52341,True,35716,32953
31,5,52342,True,35717,35716
31,6,56095,True,38170,35717
32,1,44959,False,32528,30734
32,2,56094,True,38169,32528
32,3,52340,True,35715,38169
32,4,52337,True,35714,35715
32,5,47482,True,32529,35714
32,6,56092,True,38168,32529
32,7,51129,True,34938,38168
32,8,47481,True,30734,34938
33,1,47482,False,35714,32529
33,2,52339,False,35924,35714
33,3,52660,False,35925,35924
33,4,52659,False,36061,35925
33,5,52864,False,36060,36061
33,6,56162,True,38214,36060
33,7,56093,True,38168,38214
33,8,56092,False,32529,38168
34,1,44959,True,30734,32528
34,2,48205,True,33023,30734
34,3,48095,True,32952,33023
34,4,46623,True,31927,32952
34,5,47480,True,32528,31927
35,1,46624,False,38170,31926
35,2,56096,True,38169,38170
35,3,56094,False,32528,38169
35,4,47480,False,31927,32528
35,5,46625,False,31926,31927
36,1,52340,False,38169,35715
36,2,56096,False,38170,38169
36,3,56095,False,35717,38170
36,4,52343,False,35715,35717
37,1,48767,False,38173,31657
37,2,57001,True,38781,38173
37,3,56103,True,38175,38781
37,4,56102,False,35719,38175
37,5,52353,False,35722,35719
37,6,52350,False,38176,35722
37,7,56105,True,38174,38176
37,8,56101,False,31657,38174
38,1,52347,True,35719,35720
38,2,56102,True,38175,35719
38,3,52358,True,35727,38175
38,4,52355,True,35725,35727
38,5,52349,True,35721,35725
38,6,52348,False,35720,35721
39,1,52338,False,35718,35713
39,2,52345,False,35723,35718
39,3,52352,True,35722,35723
39,4,52353,True,35719,35722
39,5,52347,False,35720,35719
39,6,52346,False,35713,35720
40,1,48800,False,35724,33414
40,2,53611,True,36552,35724
40,3,53620,True,36558,36552
40,4,54662,True,37258,36558
40,5,52356,True,35725,37258
40,6,52355,False,35727,35725
40,7,52359,True,35726,35727
40,8,52357,True,33414,35726
41,1,44310,False,31919,30219
41,2,51134,True,34942,31919
41,3,46613,True,31918,34942
41,4,46611,True,31917,31918
41,5,46609,False,31916,31917
41,6,52354,True,35724,31916
41,7,48800,True,33414,35724
41,8,48085,True,32946,33414
41,9,48087,True,32947,32946
41,10,46610,True,30219,32947
42,1,44289,True,30201,31917
42,2,51132,True,34940,30201
42,3,50805,True,34731,34940
42,4,50806,True,34732,34731
42,5,46608,True,31916,34732
42,6,46609,True,31917,31916
43,1,51129,False,38168,34938
43,2,56093,False,38214,38168
43,3,56170,True,38220,38214
43,4,56163,True,38213,38220
43,5,56161,False,34939,38213
43,6,51131,False,34938,34939
44,1,45317,False,38221,31008
44,2,56173,True,38219,38221
44,3,56169,False,38213,38219
44,4,56163,False,38220,38213
44,5,56171,True,38218,38220
44,6,56168,False,31008,38218
45,1,47481,False,34938,30734
45,2,51131,True,34939,34938
45,3,56161,True,38213,34939
45,4,56169,True,38219,38213
45,5,51130,True,34936,38219
45,6,51126,False,34935,34936
45,7,51128,True,34937,34935
45,8,51127,False,34934,34937
45,9,51122,False,33023,34934
45,10,48205,False,30734,33023
46,1,45317,True,31008,38221
46,2,51135,True,34943,31008
46,3,45806,True,31361,34943
46,4,45803,True,31359,31361
46,5,45808,True,31362,31359
46,6,56172,True,38221,31362
47,1,45808,False,31359,31362
47,2,48417,True,33159,31359
47,3,51125,True,34935,33159
47,4,51126,True,34936,34935
47,5,45810,True,31363,34936
47,6,45809,True,31362,31363
48,1,45809,False,31363,31362
48,2,45810,False,34936,31363
48,3,51130,False,38219,34936
48,4,56173,False,38221,38219
48,5,56172,False,31362,38221
49,1,44289,False,31917,30201
49,2,46611,False,31918,31917
49,3,46613,False,34942,31918
49,4,51136,True,34943,34942
49,5,51135,False,31008,34943
49,6,56168,True,38218,31008
49,7,53571,True,36526,38218
49,8,51137,True,34941,36526
49,9,51920,True,35445,34941
49,10,51133,True,34940,35445
49,11,51132,False,30201,34940
50,1,52862,False,36527,36060
50,2,53573,False,36526,36527
50,3,53571,False,38218,36526
50,4,56171,False,38220,38218
50,5,56170,False,38214,38220
50,6,56162,False,36060,38214
51,1,48416,False,35018,33158
51,2,51257,True,34937,35018
51,3,51128,False,34935,34937
51,4,51125,False,33159,34935
51,5,48418,False,33158,33159
52,1,45805,False,33158,31359
52,2,48418,True,33159,33158
52,3,48417,False,31359,33159
53,1,45803,False,31361,31359
53,2,45807,True,31360,31361
53,3,51669,True,35284,31360
53,4,51256,True,35018,35284
53,5,48416,True,33158,35018
53,6,45805,True,31359,33158
54,1,45806,False,34943,31361
54,2,51136,False,34942,34943
54,3,51134,False,31919,34942
54,4,46612,False,31360,31919
54,5,45807,False,31361,31360
55,1,46610,False,32947,30219
55,2,48088,False,32943,32947
55,3,48083,False,32944,32943
55,4,48082,False,34926,32944
55,5,51110,False,38212,34926
55,6,56160,False,38211,38212
55,7,56158,False,33021,38211
55,8,48201,False,30219,33021
56,1,45191,False,30810,30912
56,2,52368,True,35734,30810
56,3,45193,True,30913,35734
56,4,52364,True,35731,30913
56,5,45192,True,30912,35731
57,1,45192,False,35731,30912
57,2,52366,False,35732,35731
57,3,52365,False,38268,35732
57,4,56242,False,37574,38268
57,5,55151,False,37575,37574
57,6,55150,False,35871,37575
57,7,52578,False,35869,35871
57,8,52573,False,35171,35869
57,9,51498,False,35172,35171
57,10,51497,False,30912,35172
58,1,52361,True,35728,40592
58,2,52363,True,35730,35728
58,3,52362,False,35729,35730
58,4,55149,True,37574,35729
58,5,56242,True,38268,37574
58,6,52365,True,35732,38268
58,7,52367,True,35733,35732
58,8,62428,True,42544,35733
58,9,59546,True,40591,42544
58,10,59547,True,40592,40591
59,1,45193,False,35734,30913
59,2,52369,True,35733,35734
59,3,52367,False,35732,35733
59,4,52366,True,35731,35732
59,5,52364,False,30913,35731
60,1,44752,True,30576,30903
60,2,52374,True,35739,30576
60,3,52377,True,35741,35739
60,4,47262,True,32383,35741
60,5,47261,True,32382,32383
60,6,45178,True,30902,32382
60,7,45180,True,30903,30902
61,1,44355,False,35740,30257
61,2,52384,True,35745,35740
61,3,52378,True,35741,35745
61,4,52377,False,35739,35741
61,5,55298,True,37673,35739
61,6,52375,True,35738,37673
61,7,55295,True,37671,35738
61,8,52382,True,35743,37671
61,9,52380,False,30291,35743
61,10,44399,False,30293,30291
61,11,44402,False,35057,30293
61,12,51320,False,35056,35057
61,13,51318,False,35737,35056
61,14,52381,True,35742,35737
61,15,52379,False,30260,35742
61,16,44359,False,30257,30260
62,1,47261,False,32383,32382
62,2,52383,True,35744,32383
62,3,52393,True,35750,35744
62,4,52509,True,35826,35750
62,5,53185,True,36275,35826
62,6,55311,True,37682,36275
62,7,47263,True,32382,37682
63,1,47262,False,35741,32383
63,2,52378,False,35745,35741
63,3,52389,True,35748,35745
63,4,52386,True,35746,35748
63,5,52385,True,35744,35746
63,6,52383,False,32383,35744
64,1,46629,False,35749,31931
64,2,52392,True,32532,35749
64,3,47486,False,33094,32532
64,4,48318,False,35751,33094
64,5,52401,True,35750,35751
64,6,52393,False,35744,35750
64,7,52385,False,35746,35744
64,8,52387,False,35755,35746
64,9,52400,True,35754,35755
64,10,52398,False,35753,35754
64,11,52408,True,35760,35753
64,12,52397,True,35752,35760
64,13,52395,False,31931,35752
65,1,47486,True,32532,33094
65,2,52402,True,35756,32532
65,3,52883,True,36074,35756
65,4,48316,True,33094,36074
66,1,46627,False,33817,31929
66,2,49403,False,33818,33817
66,3,49402,False,35759,33818
66,4,52407,True,35758,35759
66,5,52405,False,32387,35758
66,6,47269,False,32388,32387
66,7,47268,False,35757,32388
66,8,52404,True,35756,35757
66,9,52402,False,32532,35756
66,10,52392,False,35749,32532
66,11,52391,False,31929,35749
67,1,46630,False,35752,31930
67,2,52397,False,35760,35752
67,3,52410,True,35761,35760
67,4,52409,False,33820,35761
67,5,49405,False,35708,33820
67,6,52330,False,31930,35708
68,1,46630,True,31930,35752
68,2,46632,True,31932,31930
68,3,46631,False,31931,31932
68,4,52395,True,35752,31931
69,1,46628,False,31932,31928
69,2,46632,False,31930,31932
69,3,52330,True,35708,31930
69,4,52329,False,31928,35708
70,1,46626,False,31929,31928
70,2,52391,True,35749,31929
70,3,46629,True,31931,35749
70,4,46631,True,31932,31931
70,5,46628,True,31928,31932
71,1,44969,True,30742,33820
71,2,49401,True,33817,30742
71,3,46627,True,31929,33817
71,4,46626,True,31928,31929
