nid,x,y,nseq,eid
1000,98012.179842832,780617.401417825,1,1379
1000,98012.179842832,780617.401417825,2,45396
1000,98012.179842832,780617.401417825,3,1378
1244,52659.3071954795,767118.833664313,1,2475
1244,52659.3071954795,767118.833664313,2,1748
1244,52659.3071954795,767118.833664313,3,1742
1245,73006.1677795186,734097.656207217,1,1743
1245,73006.1677795186,734097.656207217,2,1630
1245,73006.1677795186,734097.656207217,3,46725
1292,63245.1773460891,705642.180892556,1,1811
1292,63245.1773460891,705642.180892556,2,1808
1292,63245.1773460891,705642.180892556,3,56014
1293,70586.0969222023,723952.639402408,1,46724
1293,70586.0969222023,723952.639402408,2,1813
1293,70586.0969222023,723952.639402408,3,1812
1570,143402.391988991,779050.296658864,1,2220
1570,143402.391988991,779050.296658864,2,2218
1570,143402.391988991,779050.296658864,3,1380
1571,157318.515077016,778718.963782909,1,2219
1571,157318.515077016,778718.963782909,2,53928
1571,157318.515077016,778718.963782909,3,48023
1571,157318.515077016,778718.963782909,4,2220
1742,96988.6703628525,780607.61651374,1,1378
1742,96988.6703628525,780607.61651374,2,2472
1742,96988.6703628525,780607.61651374,3,2470
1743,78946.0333777666,781034.293720419,1,52797
1743,78946.0333777666,781034.293720419,2,2471
1743,78946.0333777666,781034.293720419,3,2468
1744,66111.2655265632,781358.120587521,1,2474
1744,66111.2655265632,781358.120587521,2,52790
1744,66111.2655265632,781358.120587521,3,2476
1745,56515.5976048736,781582.934844493,1,2476
1745,56515.5976048736,781582.934844493,2,2475
1745,56515.5976048736,781582.934844493,3,1738
1778,191222.102513978,778044.13727494,1,53115
1778,191222.102513978,778044.13727494,2,2523
1778,191222.102513978,778044.13727494,3,2222
1783,212369.24215464,777577.984338123,1,53106
1783,212369.24215464,777577.984338123,2,2530
1783,212369.24215464,777577.984338123,3,2526
1784,225212.333868792,777491.766020636,1,2535
1784,225212.333868792,777491.766020636,2,2532
1784,225212.333868792,777491.766020636,3,2531
1786,242860.34640113,777453.965243198,1,2538
1786,242860.34640113,777453.965243198,2,2535
1786,242860.34640113,777453.965243198,3,2534
1788,248870.87478858,777420.722178528,1,2537
1788,248870.87478858,777420.722178528,2,53108
1788,248870.87478858,777420.722178528,3,2538
1845,281633.71126158,777545.682620877,1,2625
1845,281633.71126158,777545.682620877,2,53131
1845,281633.71126158,777545.682620877,3,2627
1848,273140.720252795,777487.145635576,1,53132
1848,273140.720252795,777487.145635576,2,2631
1848,273140.720252795,777487.145635576,3,2629
1849,257938.514875901,777386.365993415,1,53136
1849,257938.514875901,777386.365993415,2,2630
1849,257938.514875901,777386.365993415,3,2580
30193,782996.291303894,246130.200215734,1,51012
30193,782996.291303894,246130.200215734,2,44280
30193,782996.291303894,246130.200215734,3,44593
30193,782996.291303894,246130.200215734,4,56072
30193,782996.291303894,246130.200215734,5,51009
30194,767886.233042423,242989.317783051,1,44282
30194,767886.233042423,242989.317783051,2,44281
30195,766360.592716183,240457.200263637,1,44283
30195,766360.592716183,240457.200263637,2,51114
30196,767943.682207072,241806.128745159,1,44284
30196,767943.682207072,241806.128745159,2,44283
30196,767943.682207072,241806.128745159,3,44282
30197,768044.951358369,240039.583757896,1,51140
30197,768044.951358369,240039.583757896,2,44285
30197,768044.951358369,240039.583757896,3,44284
30198,775456.705859087,249788.655496843,1,44286
30198,775456.705859087,249788.655496843,2,47142
30198,775456.705859087,249788.655496843,3,47298
30199,776506.0706768,245804.375687312,1,44287
30199,776506.0706768,245804.375687312,2,51046
30199,776506.0706768,245804.375687312,3,51044
30199,776506.0706768,245804.375687312,4,52048
30200,731651.200603827,440340.662558858,1,49356
30200,731651.200603827,440340.662558858,2,44288
30201,554165.77534147,610594.624600936,1,44289
30201,554165.77534147,610594.624600936,2,51132
30202,785798.790877798,250664.954714148,1,44290
30202,785798.790877798,250664.954714148,2,44668
30202,785798.790877798,250664.954714148,3,46275
30202,785798.790877798,250664.954714148,4,44661
30203,785934.413931184,243614.021138812,1,44291
30203,785934.413931184,243614.021138812,2,49045
30203,785934.413931184,243614.021138812,3,51161
30203,785934.413931184,243614.021138812,4,45418
30204,520539.069105226,446967.74369103,1,44292
30204,520539.069105226,446967.74369103,2,56117
30204,520539.069105226,446967.74369103,3,49742
30204,520539.069105226,446967.74369103,4,49746
30205,769495.322712339,243931.439833451,1,44295
30205,769495.322712339,243931.439833451,2,44293
30205,769495.322712339,243931.439833451,3,55814
30206,769548.597332569,242330.427453052,1,51177
30206,769548.597332569,242330.427453052,2,44294
30206,769548.597332569,242330.427453052,3,44293
30207,773641.613118119,242467.576300775,1,44296
30207,773641.613118119,242467.576300775,2,51070
30207,773641.613118119,242467.576300775,3,51061
30207,773641.613118119,242467.576300775,4,51063
30208,770583.941814095,242084.322547915,1,44297
30208,770583.941814095,242084.322547915,2,44325
30208,770583.941814095,242084.322547915,3,51178
30209,775837.390057511,242518.014559628,1,44300
30209,775837.390057511,242518.014559628,2,44298
30209,775837.390057511,242518.014559628,3,51027
30210,775854.753297333,242207.878825981,1,51073
30210,775854.753297333,242207.878825981,2,44299
30210,775854.753297333,242207.878825981,3,44298
30211,558955.303364891,626402.026113246,1,44301
30211,558955.303364891,626402.026113246,2,47256
30212,724779.729312243,487849.927107206,1,44302
30212,724779.729312243,487849.927107206,2,49352
30212,724779.729312243,487849.927107206,3,51076
30213,527658.352199188,478041.456411324,1,44303
30213,527658.352199188,478041.456411324,2,49142
30214,601409.951900691,284094.849021171,1,44304
30214,601409.951900691,284094.849021171,2,53359
30214,601409.951900691,284094.849021171,3,46828
30215,785378.337068683,258304.978606114,1,44305
30215,785378.337068683,258304.978606114,2,44562
30215,785378.337068683,258304.978606114,3,48336
30215,785378.337068683,258304.978606114,4,46638
30216,540995.748027505,453350.947601529,1,44306
30216,540995.748027505,453350.947601529,2,48612
30216,540995.748027505,453350.947601529,3,46254
30216,540995.748027505,453350.947601529,4,48603
30217,773773.126862837,259286.910251144,1,44307
30217,773773.126862837,259286.910251144,2,48192
30217,773773.126862837,259286.910251144,3,51094
30217,773773.126862837,259286.910251144,4,51755
30218,557324.004383286,624926.256277727,1,44308
30218,557324.004383286,624926.256277727,2,44309
30218,557324.004383286,624926.256277727,3,51107
30219,557532.409844924,622934.119069717,1,48201
30219,557532.409844924,622934.119069717,2,46610
30219,557532.409844924,622934.119069717,3,44310
30219,557532.409844924,622934.119069717,4,44309
30220,556059.968316774,624428.522895649,1,44311
30220,556059.968316774,624428.522895649,2,45804
30221,763251.507606731,236778.239593693,1,50137
30221,763251.507606731,236778.239593693,2,44312
30222,521570.83079283,434300.161153173,1,44313
30222,521570.83079283,434300.161153173,2,48247
30222,521570.83079283,434300.161153173,3,45433
30223,757753.442017745,238473.666407424,1,44314
30223,757753.442017745,238473.666407424,2,50166
30224,768320.580064336,232152.918484441,1,44315
30224,768320.580064336,232152.918484441,2,51193
30224,768320.580064336,232152.918484441,3,51156
30225,788305.569785734,242511.874809834,1,44316
30225,788305.569785734,242511.874809834,2,46307
30226,787294.168219295,239978.077034355,1,44318
30226,787294.168219295,239978.077034355,2,44800
30227,788403.147097147,240372.661565153,1,44319
30227,788403.147097147,240372.661565153,2,46303
30227,788403.147097147,240372.661565153,3,44317
30228,788960.986092796,240118.909007839,1,44320
30228,788960.986092796,240118.909007839,2,44319
30228,788960.986092796,240118.909007839,3,44586
30229,773510.849123331,234609.236031378,1,44321
30229,773510.849123331,234609.236031378,2,51163
30229,773510.849123331,234609.236031378,3,51166
30229,773510.849123331,234609.236031378,4,56155
30230,551248.228692741,441421.233268628,1,44718
30230,551248.228692741,441421.233268628,2,44322
30231,527290.597312758,479924.977675881,1,46971
30231,527290.597312758,479924.977675881,2,44323
30232,769590.916725703,240685.133373117,1,44326
30232,769590.916725703,240685.133373117,2,44324
30232,769590.916725703,240685.133373117,3,44294
30233,770820.832583984,240726.017113087,1,44327
30233,770820.832583984,240726.017113087,2,44326
30233,770820.832583984,240726.017113087,3,44325
30234,772922.798447418,240796.416070427,1,44329
30234,772922.798447418,240796.416070427,2,44327
30234,772922.798447418,240796.416070427,3,51069
30235,769612.751873797,239668.657217166,1,51769
30235,769612.751873797,239668.657217166,2,44328
30235,769612.751873797,239668.657217166,3,44324
30236,782786.601159159,232429.079761147,1,48428
30236,782786.601159159,232429.079761147,2,44330
30237,770704.633089052,219000.866894112,1,44331
30237,770704.633089052,219000.866894112,2,48476
30237,770704.633089052,219000.866894112,3,48475
30238,776113.187227965,210397.561943665,1,44332
30238,776113.187227965,210397.561943665,2,50342
30238,776113.187227965,210397.561943665,3,55974
30238,776113.187227965,210397.561943665,4,52020
30239,775435.337481532,220912.401974903,1,44334
30239,775435.337481532,220912.401974903,2,44335
30239,775435.337481532,220912.401974903,3,55791
30239,775435.337481532,220912.401974903,4,55417
30240,775555.842037755,219305.00264289,1,44683
30240,775555.842037755,219305.00264289,2,44333
30240,775555.842037755,219305.00264289,3,55425
30240,775555.842037755,219305.00264289,4,44335
30241,632184.300246678,297704.732829164,1,44336
30241,632184.300246678,297704.732829164,2,56140
30241,632184.300246678,297704.732829164,3,51211
30242,778946.21479734,204817.281788723,1,44337
