rn,seq,eid,rev,nodea,nodeb
0,1,57486,True,39144,40714
0,2,62115,True,42335,39144
0,3,62117,True,42336,42335
0,4,62127,True,42343,42336
0,5,61040,True,41605,42343
0,6,59720,True,40715,41605
0,7,59719,True,40714,40715
1,1,62116,True,42334,42335
1,2,62119,True,42338,42334
1,3,62121,True,42339,42338
1,4,62118,True,42336,42339
1,5,62117,False,42335,42336
2,1,62120,True,42337,42338
2,2,62128,True,42344,42337
2,3,62122,True,42339,42344
2,4,62121,False,42338,42339
3,1,59564,False,42345,40603
3,2,63188,True,43052,42345
3,3,62131,True,42343,43052
3,4,62127,False,42336,42343
3,5,62118,False,42339,42336
3,6,62122,False,42344,42339
3,7,62143,True,42354,42344
3,8,62132,True,42346,42354
3,9,62130,False,41698,42346
3,10,61175,False,40765,41698
3,11,59793,False,40603,40765
4,1,62119,False,42334,42338
4,2,63296,True,43126,42334
4,3,63295,True,43125,43126
4,4,63294,False,42354,43125
4,5,62143,False,42344,42354
4,6,62128,False,42337,42344
4,7,62120,False,42338,42337
5,1,57299,True,38981,40859
5,2,62207,True,42398,38981
5,3,60346,True,41135,42398
5,4,60348,True,41136,41135
5,5,62134,True,42348,41136
5,6,61780,True,42106,42348
5,7,59933,True,40858,42106
5,8,59935,True,40859,40858
6,1,61780,False,42348,42106
6,2,62137,True,42350,42348
6,3,62135,True,42347,42350
6,4,62133,False,42107,42347
6,5,61782,False,42106,42107
7,1,61659,False,42352,42024
7,2,62141,True,42351,42352
7,3,62139,False,42347,42351
7,4,62135,False,42350,42347
7,5,62138,True,42349,42350
7,6,62136,False,42249,42349
7,7,61990,False,42250,42249
7,8,61989,False,42024,42250
8,1,61176,False,42346,41697
8,2,62132,False,42354,42346
8,3,63294,True,43125,42354
8,4,62150,True,42359,43125
8,5,62144,True,42353,42359
8,6,62147,True,42357,42353
8,7,62142,True,41697,42357
9,1,62144,False,42359,42353
9,2,62151,True,42358,42359
9,3,62149,False,42360,42358
9,4,62153,True,42356,42360
9,5,62146,False,42355,42356
9,6,62148,True,42357,42355
9,7,62147,False,42353,42357
10,1,59271,False,41697,40400
10,2,62142,False,42357,41697
10,3,62148,False,42355,42357
10,4,62145,False,42025,42355
10,5,61662,False,40400,42025
11,1,59065,False,41868,40256
11,2,63059,True,42963,41868
11,3,63319,True,43141,42963
11,4,61631,True,42006,43141
11,5,61429,True,41867,42006
11,6,61628,True,42003,41867
11,7,63062,True,42965,42003
11,8,61427,True,41866,42965
11,9,61426,False,40256,41866
12,1,61429,False,42006,41867
12,2,62347,True,42490,42006
12,3,61632,True,42005,42490
12,4,61634,True,42007,42005
12,5,61633,False,42004,42007
12,6,62871,True,42837,42004
12,7,62872,True,42838,42837
12,8,63064,True,42966,42838
12,9,61630,True,42003,42966
12,10,61628,False,41867,42003
13,1,59783,False,42015,40757
13,2,61646,False,42361,42015
13,3,62156,False,42362,42361
13,4,62155,False,41247,42362
13,5,60519,False,41251,41247
13,6,60518,False,41100,41251
13,7,60295,False,40757,41100
14,1,57806,False,40757,39382
14,2,60295,True,41100,40757
14,3,60297,True,41101,41100
14,4,59785,True,40759,41101
14,5,59786,True,40758,40759
14,6,59784,False,39382,40758
15,1,57807,False,40758,39381
15,2,59786,False,40759,40758
15,3,60899,True,41508,40759
15,4,61191,True,41708,41508
15,5,60898,True,41507,41708
15,6,60897,False,39381,41507
16,1,57807,True,39381,40758
16,2,60897,True,41507,39381
16,3,57809,True,39383,41507
16,4,57808,False,39382,39383
16,5,59784,True,40758,39382
17,1,57355,False,39031,39030
17,2,57358,False,39383,39031
17,3,57809,False,41507,39383
17,4,60898,False,41708,41507
17,5,61192,True,41709,41708
17,6,62996,True,42922,41709
17,7,61197,True,41711,42922
17,8,61194,False,41710,41711
17,9,61196,True,41712,41710
17,10,61195,False,39030,41712
18,1,57355,True,39030,39031
18,2,61195,True,41712,39030
18,3,61644,True,42014,41712
18,4,57357,True,39032,42014
18,5,57356,True,39031,39032
19,1,57356,False,39032,39031
19,2,61645,True,42015,39032
19,3,59783,True,40757,42015
19,4,57806,True,39382,40757
19,5,57808,True,39383,39382
19,6,57358,True,39031,39383
20,1,57357,False,42014,39032
20,2,62154,True,42361,42014
20,3,61646,True,42015,42361
20,4,61645,False,39032,42015
21,1,59629,False,42362,40650
21,2,62156,True,42361,42362
21,3,62154,False,42014,42361
21,4,61644,False,41712,42014
21,5,61196,False,41710,41712
21,6,61193,False,40651,41710
21,7,59631,False,40650,40651
22,1,61591,False,42367,41979
22,2,62166,True,42369,42367
22,3,62164,False,42365,42369
22,4,62160,True,42364,42365
22,5,62158,True,42363,42364
22,6,62157,False,42368,42363
22,7,62165,True,42366,42368
22,8,62161,False,41979,42366
23,1,58583,True,39926,42363
23,2,62167,True,42370,39926
23,3,62176,True,42376,42370
23,4,62163,True,42368,42376
23,5,62157,True,42363,42368
