nid,x,y,nseq,eid
234,-65916.8258674805,279462.65782273,1,295
234,-65916.8258674805,279462.65782273,2,292
234,-65916.8258674805,279462.65782273,3,59036
328,-86177.6416281931,348770.910995291,1,419
328,-86177.6416281931,348770.910995291,2,421
328,-86177.6416281931,348770.910995291,3,57774
332,-65897.8183602556,278175.479507687,1,426
332,-65897.8183602556,278175.479507687,2,425
332,-65897.8183602556,278175.479507687,3,295
335,-72861.4744181075,232362.361572622,1,428
335,-72861.4744181075,232362.361572622,2,430
335,-72861.4744181075,232362.361572622,3,63130
600,-66212.6237320672,276814.263203353,1,808
600,-66212.6237320672,276814.263203353,2,806
600,-66212.6237320672,276814.263203353,3,62052
601,-66214.5677279246,276467.655199784,1,807
601,-66214.5677279246,276467.655199784,2,427
601,-66214.5677279246,276467.655199784,3,808
713,-87687.1157801249,360232.649855256,1,962
713,-87687.1157801249,360232.649855256,2,420
713,-87687.1157801249,360232.649855256,3,966
715,-88488.2838290389,366332.565054633,1,966
715,-88488.2838290389,366332.565054633,2,965
715,-88488.2838290389,366332.565054633,3,57779
732,-63287.2781512898,249307.677769877,1,57857
732,-63287.2781512898,249307.677769877,2,990
732,-63287.2781512898,249307.677769877,3,675
733,-65391.8441091393,268184.594555053,1,58999
733,-65391.8441091393,268184.594555053,2,992
733,-65391.8441091393,268184.594555053,3,991
1149,-107335.046201887,506729.540889731,1,1595
1149,-107335.046201887,506729.540889731,2,1573
1149,-107335.046201887,506729.540889731,3,62500
1305,-80759.8478801294,205419.391850069,1,1831
1305,-80759.8478801294,205419.391850069,2,1826
1305,-80759.8478801294,205419.391850069,3,1833
1306,-80780.3008209167,213521.028645319,1,61564
1306,-80780.3008209167,213521.028645319,2,1833
1306,-80780.3008209167,213521.028645319,3,1832
1424,-83992.3469693217,333005.70216685,1,2003
1424,-83992.3469693217,333005.70216685,2,2002
1424,-83992.3469693217,333005.70216685,3,59488
1429,-82509.8293961787,322448.713076157,1,2011
1429,-82509.8293961787,322448.713076157,2,59
1429,-82509.8293961787,322448.713076157,3,2013
1430,-82563.8841385289,322817.720849551,1,2013
1430,-82563.8841385289,322817.720849551,2,2012
1430,-82563.8841385289,322817.720849551,3,60481
1432,-81940.5076695279,320507.56838282,1,2016
1432,-81940.5076695279,320507.56838282,2,2015
1432,-81940.5076695279,320507.56838282,3,59707
1434,-81092.7193584762,315722.024498493,1,2019
1434,-81092.7193584762,315722.024498493,2,2018
1434,-81092.7193584762,315722.024498493,3,2016
1437,-103866.413270443,483309.267449084,1,2023
1437,-103866.413270443,483309.267449084,2,2022
1437,-103866.413270443,483309.267449084,3,62497
1447,-102161.404849107,470539.730328774,1,2039
1447,-102161.404849107,470539.730328774,2,2037
1447,-102161.404849107,470539.730328774,3,62502
1494,-98758.9488253391,444236.028654286,1,2109
1494,-98758.9488253391,444236.028654286,2,2107
1494,-98758.9488253391,444236.028654286,3,59266
1501,-95503.1548170559,419153.428189204,1,2119
1501,-95503.1548170559,419153.428189204,2,2117
1501,-95503.1548170559,419153.428189204,3,61400
1502,-91655.4714157811,390560.630627474,1,2118
1502,-91655.4714157811,390560.630627474,2,960
1502,-91655.4714157811,390560.630627474,3,62383
1678,-112446.358717896,544263.482775372,1,2378
1678,-112446.358717896,544263.482775372,2,2376
1678,-112446.358717896,544263.482775372,3,62855
1679,-110624.73191349,530206.318133798,1,2377
1679,-110624.73191349,530206.318133798,2,2379
1679,-110624.73191349,530206.318133798,3,62851
1803,-80474.0159722423,199181.70726142,1,2562
1803,-80474.0159722423,199181.70726142,2,2561
1803,-80474.0159722423,199181.70726142,3,61562
1814,-73710.0760544618,171461.780392054,1,62564
1814,-73710.0760544618,171461.780392054,2,2579
1814,-73710.0760544618,171461.780392054,3,2578
1838,-78091.8233739208,148755.692353188,1,2617
1838,-78091.8233739208,148755.692353188,2,2615
1838,-78091.8233739208,148755.692353188,3,63348
1842,-80356.9164232376,135625.593754567,1,2621
1842,-80356.9164232376,135625.593754567,2,2620
1842,-80356.9164232376,135625.593754567,3,60043
2269,-66331.1521869538,281829.310267156,1,3251
2269,-66331.1521869538,281829.310267156,2,974
2269,-66331.1521869538,281829.310267156,3,59039
2272,-78194.8711224063,308423.138208366,1,3257
2272,-78194.8711224063,308423.138208366,2,3256
2272,-78194.8711224063,308423.138208366,3,2019
2277,-76554.9365671413,301774.025643384,1,3266
2277,-76554.9365671413,301774.025643384,2,3264
2277,-76554.9365671413,301774.025643384,3,59706
2278,-69420.1708800247,286562.835117835,1,3265
2278,-69420.1708800247,286562.835117835,2,3252
2278,-69420.1708800247,286562.835117835,3,59117
30810,211217.759600567,40173.8371979048,1,45191
30810,211217.759600567,40173.8371979048,2,52368
30810,211217.759600567,40173.8371979048,3,45059
32786,149859.755487481,66373.0935641519,1,47851
32786,149859.755487481,66373.0935641519,2,47850
32786,149859.755487481,66373.0935641519,3,61969
33897,90471.8076565286,70878.2384374772,1,49520
33897,90471.8076565286,70878.2384374772,2,49522
33897,90471.8076565286,70878.2384374772,3,61161
33898,114740.882659986,68979.1314047308,1,49519
33898,114740.882659986,68979.1314047308,2,45226
33898,114740.882659986,68979.1314047308,3,59032
35728,171911.108130138,64800.9167851794,1,52361
35728,171911.108130138,64800.9167851794,2,52363
35730,171887.345665362,64802.6250327961,1,52363
35730,171887.345665362,64802.6250327961,2,52362
35730,171887.345665362,64802.6250327961,3,61968
35733,199489.607980684,39942.8814238099,1,52369
35733,199489.607980684,39942.8814238099,2,52367
35733,199489.607980684,39942.8814238099,3,62428
35734,206395.71623398,40378.8667490109,1,52368
35734,206395.71623398,40378.8667490109,2,45193
35734,206395.71623398,40378.8667490109,3,52369
36042,-12138.5134429646,78573.8760891356,1,52835
36042,-12138.5134429646,78573.8760891356,2,52834
36042,-12138.5134429646,78573.8760891356,3,52838
36045,-26035.7287306905,79521.6911710754,1,52838
36045,-26035.7287306905,79521.6911710754,2,52830
36045,-26035.7287306905,79521.6911710754,3,62882
36048,-45108.56409263,81014.8869188984,1,52843
