rn,seq,eid,rev,nodea,nodeb
0,1,64299,False,44068,43825
0,2,64655,True,44067,44068
0,3,64653,False,43825,44067
1,1,63672,False,43822,43380
1,2,64296,True,43824,43822
1,3,64295,False,43529,43824
1,4,63871,False,43826,43529
1,5,64654,True,44068,43826
1,6,64299,True,43825,44068
1,7,64297,False,43823,43825
1,8,64493,True,43958,43823
1,9,64485,True,43952,43958
1,10,64294,True,43821,43952
1,11,64291,False,43380,43821
2,1,63794,False,43528,43474
2,2,64298,True,43826,43528
2,3,63871,True,43529,43826
2,4,64295,True,43824,43529
2,5,64453,True,43931,43824
2,6,63870,True,43474,43931
3,1,63794,True,43474,43528
3,2,64459,True,43935,43474
3,3,64455,True,43933,43935
3,4,64490,True,43956,43933
3,5,64488,True,43955,43956
3,6,63869,True,43528,43955
4,1,64281,False,43953,43813
4,2,64491,False,43956,43953
4,3,64490,False,43933,43956
4,4,64456,False,43813,43933
5,1,64280,False,43821,43814
5,2,64294,False,43952,43821
5,3,64495,True,43959,43952
5,4,64487,True,43954,43959
5,5,64489,True,43955,43954
5,6,64488,False,43956,43955
5,7,64491,True,43953,43956
5,8,64486,False,43814,43953
6,1,64281,True,43813,43953
6,2,64457,True,43934,43813
6,3,64283,True,43815,43934
6,4,64282,False,43814,43815
6,5,64486,True,43953,43814
7,1,64283,False,43934,43815
7,2,64458,False,43932,43934
7,3,64454,False,43815,43932
8,1,64292,False,43932,43822
8,2,64458,True,43934,43932
8,3,64457,False,43813,43934
8,4,64456,True,43933,43813
8,5,64455,False,43935,43933
8,6,64639,True,44058,43935
8,7,64460,True,43931,44058
8,8,64453,False,43824,43931
8,9,64296,False,43822,43824
9,1,63870,False,43931,43474
9,2,64460,False,44058,43931
9,3,64639,False,43935,44058
9,4,64459,False,43474,43935
10,1,63672,True,43380,43822
10,2,64291,True,43821,43380
10,3,64280,True,43814,43821
10,4,64282,True,43815,43814
10,5,64454,True,43932,43815
10,6,64292,True,43822,43932
11,1,64300,False,43391,43827
11,2,64304,True,43829,43391
11,3,64303,False,43828,43829
11,4,64302,True,43827,43828
12,1,63685,True,43391,43960
12,2,64300,True,43827,43391
12,3,64648,True,44064,43827
12,4,64496,True,43960,44064
13,1,64277,False,43812,43811
13,2,64301,True,43828,43812
13,3,64303,True,43829,43828
13,4,64492,True,43957,43829
13,5,64279,True,43811,43957
14,1,64223,False,43811,43774
14,2,64279,False,43957,43811
14,3,64494,True,43958,43957
14,4,64493,False,43823,43958
14,5,64293,False,43774,43823
15,1,63685,False,43960,43391
