nid,x,y,nseq,eid
43368,252894.402787,277690.084969125,1,63658
43368,252894.402787,277690.084969125,2,63755
43369,87266.4575612146,380293.201927593,1,63659
43369,87266.4575612146,380293.201927593,2,64693
43370,256996.79762056,274372.503258651,1,63793
43370,256996.79762056,274372.503258651,2,63660
43370,256996.79762056,274372.503258651,3,63821
43371,249682.154566924,280073.885404175,1,63661
43371,249682.154566924,280073.885404175,2,63701
43371,249682.154566924,280073.885404175,3,63663
43372,249753.542406339,280355.705348885,1,63662
43372,249753.542406339,280355.705348885,2,63661
43372,249753.542406339,280355.705348885,3,63664
43373,248758.820709815,280925.187544273,1,63987
43373,248758.820709815,280925.187544273,2,63664
43373,248758.820709815,280925.187544273,3,63996
43374,102620.243113235,349152.883190232,1,63665
43374,102620.243113235,349152.883190232,2,64624
43375,237740.44872398,283961.132316316,1,63666
43375,237740.44872398,283961.132316316,2,64315
43376,243896.50341123,285706.16798455,1,63667
43376,243896.50341123,285706.16798455,2,63668
43377,242418.315928717,285978.953662667,1,63669
43377,242418.315928717,285978.953662667,2,63766
43378,243797.555623074,285472.893133297,1,63668
43378,243797.555623074,285472.893133297,2,63670
43378,243797.555623074,285472.893133297,3,63669
43379,245649.499111978,284599.402933643,1,64010
43379,245649.499111978,284599.402933643,2,63671
43379,245649.499111978,284599.402933643,3,63670
43380,536690.047711336,89940.0770439032,1,63672
43380,536690.047711336,89940.0770439032,2,64291
43381,265663.774907502,289452.924588999,1,63673
43381,265663.774907502,289452.924588999,2,63707
43382,244177.128337831,286372.116344319,1,63676
43382,244177.128337831,286372.116344319,2,63674
43382,244177.128337831,286372.116344319,3,63667
43382,244177.128337831,286372.116344319,4,63760
43383,244543.397000009,285851.0427926,1,63747
43383,244543.397000009,285851.0427926,2,63675
43383,244543.397000009,285851.0427926,3,63674
43384,342712.294959435,260919.496894149,1,63677
43384,342712.294959435,260919.496894149,2,64734
43384,342712.294959435,260919.496894149,3,64740
43385,259810.763682125,272810.118431685,1,63678
43385,259810.763682125,272810.118431685,2,63872
43386,258376.122774335,272431.979710602,1,63679
43386,258376.122774335,272431.979710602,2,63689
43386,258376.122774335,272431.979710602,3,64284
43387,86934.764065835,364241.303871158,1,63681
43387,86934.764065835,364241.303871158,2,63713
43388,88239.885825575,364253.567305783,1,63680
43388,88239.885825575,364253.567305783,2,63682
43388,88239.885825575,364253.567305783,3,63681
43389,104290.43549357,378186.92357824,1,63683
43389,104290.43549357,378186.92357824,2,63682
43389,104290.43549357,378186.92357824,3,63659
43390,239313.793646617,284454.434282102,1,63684
43390,239313.793646617,284454.434282102,2,64046
43391,551554.387183142,83028.8026013221,1,63685
43391,551554.387183142,83028.8026013221,2,64300
43391,551554.387183142,83028.8026013221,3,64304
43392,250836.055415928,278847.45176462,1,63686
43392,250836.055415928,278847.45176462,2,63988
43393,261495.983370047,273321.015250864,1,63687
43393,261495.983370047,273321.015250864,2,64239
43394,258768.073464399,272332.347230558,1,63876
43394,258768.073464399,272332.347230558,2,63690
43394,258768.073464399,272332.347230558,3,63688
43395,258564.688731492,272245.921314671,1,63688
43395,258564.688731492,272245.921314671,2,64153
43395,258564.688731492,272245.921314671,3,63689
43396,449822.995769109,99376.4262490212,1,63691
43396,449822.995769109,99376.4262490212,2,63861
43397,447470.244634871,89241.9045871365,1,63693
43397,447470.244634871,89241.9045871365,2,63862
43398,450135.885006752,94691.7944855564,1,63692
43398,450135.885006752,94691.7944855564,2,63694
43398,450135.885006752,94691.7944855564,3,63693
43399,451420.761310853,87914.5151155203,1,63694
43399,451420.761310853,87914.5151155203,2,63826
43399,451420.761310853,87914.5151155203,3,63695
43400,257766.871800514,276766.100548671,1,63696
43400,257766.871800514,276766.100548671,2,63808
43400,257766.871800514,276766.100548671,3,63922
43401,255955.11108636,277184.768716344,1,63697
43401,255955.11108636,277184.768716344,2,63834
43402,253525.652030621,278348.20051076,1,63700
43402,253525.652030621,278348.20051076,2,63698
43402,253525.652030621,278348.20051076,3,63756
43402,253525.652030621,278348.20051076,4,64464
43403,253933.24517829,278070.784714569,1,63957
