rn,seq,eid,rev,nodea,nodeb
0,1,79930,False,55590,54400
0,2,81638,True,55409,55590
0,3,81373,False,55294,55409
0,4,81201,False,55591,55294
0,5,81641,True,55592,55591
0,6,81640,True,55587,55592
0,7,81633,True,55586,55587
0,8,81631,False,55588,55586
0,9,81636,True,55589,55588
0,10,81635,False,54400,55589
1,1,79932,False,55589,54402
1,2,81636,False,55588,55589
1,3,81634,False,54735,55588
1,4,80382,False,55586,54735
1,5,81633,False,55587,55586
1,6,81632,False,55465,55587
1,7,81456,False,55631,55465
1,8,81698,True,55632,55631
1,9,81697,False,54402,55632
2,1,80382,True,54735,55586
2,2,81634,True,55588,54735
2,3,81631,True,55586,55588
3,1,80151,False,55466,54571
3,2,81699,True,55633,55466
3,3,81910,True,55772,55633
3,4,81912,True,55773,55772
3,5,81696,True,55631,55773
3,6,81456,True,55465,55631
3,7,81454,False,54571,55465
4,1,80159,False,54579,54576
4,2,81700,True,55633,54579
4,3,81699,False,55466,55633
4,4,81455,False,54576,55466
5,1,81705,True,55637,55645
5,2,81720,True,55647,55637
5,3,81723,True,55649,55647
5,4,229248,True,157114,55649
5,5,229250,True,157115,157114
5,6,81717,True,55645,157115
6,1,80339,False,55639,54705
6,2,81708,False,55648,55639
6,3,81722,True,55647,55648
6,4,81720,False,55637,55647
6,5,81705,False,55645,55637
6,6,112900,True,77098,55645
6,7,82499,True,56171,77098
6,8,81719,True,55646,56171
6,9,81718,False,55638,55646
6,10,81710,False,55640,55638
6,11,81709,False,54705,55640
7,1,80339,True,54705,55639
7,2,81709,True,55640,54705
7,3,81707,True,55639,55640
8,1,81721,False,55650,55648
8,2,82056,True,55869,55650
8,3,82057,True,55870,55869
8,4,227918,True,156217,55870
8,5,81725,True,55649,156217
8,6,81723,False,55647,55649
8,7,81722,False,55648,55647
9,1,81706,False,54669,55638
9,2,81724,True,55650,54669
9,3,81721,True,55648,55650
9,4,81708,True,55639,55648
9,5,81707,False,55640,55639
9,6,81710,True,55638,55640
