rn,seq,eid,rev,nodea,nodeb
0,1,64964,False,44226,44295
0,2,64975,True,44304,44226
0,3,64977,True,44305,44304
0,4,65256,True,44497,44305
0,5,65258,True,44498,44497
0,6,64994,True,44316,44498
0,7,64965,True,44296,44316
0,8,64990,True,44313,44296
0,9,64966,True,44295,44313
1,1,64973,True,44301,44307
1,2,64979,True,44306,44301
1,3,64978,True,44305,44306
1,4,64977,False,44304,44305
1,5,64976,True,44303,44304
1,6,64974,False,44302,44303
1,7,64980,True,44307,44302
2,1,64973,False,44307,44301
2,2,64982,True,44308,44307
2,3,65248,True,44491,44308
2,4,65250,True,44492,44491
2,5,65253,True,44495,44492
2,6,65255,True,44496,44495
2,7,64981,True,44306,44496
2,8,64979,False,44301,44306
3,1,65252,False,44515,44492
3,2,65332,True,44549,44515
3,3,65283,True,44514,44549
3,4,65281,False,44495,44514
3,5,65253,False,44492,44495
4,1,64997,False,44550,44183
4,2,65334,True,44549,44550
4,3,65332,False,44515,44549
4,4,65282,False,44493,44515
4,5,65251,False,44183,44493
5,1,65247,False,44493,44490
5,2,65282,True,44515,44493
5,3,65252,True,44492,44515
5,4,65250,False,44491,44492
5,5,65249,True,44490,44491
6,1,64994,False,44498,44316
6,2,65259,False,44494,44498
6,3,65254,False,44514,44494
6,4,65283,False,44549,44514
6,5,65334,False,44550,44549
6,6,65333,False,44316,44550
7,1,65254,True,44494,44514
7,2,65259,True,44498,44494
7,3,65258,False,44497,44498
7,4,65260,True,44499,44497
7,5,65257,True,44496,44499
7,6,65255,False,44495,44496
7,7,65281,True,44514,44495
8,1,64978,False,44306,44305
8,2,64981,False,44496,44306
8,3,65257,False,44499,44496
8,4,65260,False,44497,44499
8,5,65256,False,44305,44497
9,1,64866,False,44288,44226
9,2,64954,False,44287,44288
9,3,64952,False,44303,44287
9,4,64976,False,44304,44303
9,5,64975,False,44226,44304
10,1,64920,False,44286,44263
10,2,64972,True,44302,44286
10,3,64974,True,44303,44302
10,4,64952,True,44287,44303
10,5,64954,True,44288,44287
10,6,64953,False,44263,44288
11,1,64864,False,44289,44224
11,2,64958,True,44291,44289
11,3,64956,True,44264,44291
11,4,64919,False,44223,44264
11,5,64865,False,44224,44223
12,1,64956,False,44291,44264
12,2,65003,True,44321,44291
12,3,64959,True,44290,44321
12,4,64957,False,44264,44290
13,1,64796,True,44172,44226
13,2,64863,True,44223,44172
13,3,64919,True,44264,44223
13,4,64918,True,44263,44264
13,5,64953,True,44288,44263
13,6,64866,True,44226,44288
14,1,64918,False,44264,44263
14,2,64957,True,44290,44264
14,3,64951,True,44286,44290
14,4,64920,True,44263,44286
15,1,64796,False,44226,44172
