nid,x,y,nseq,eid
44144,345381.98661239,156876.357977668,1,64763
44144,345381.98661239,156876.357977668,2,65551
44145,620789.46601093,139468.141071471,1,64764
44145,620789.46601093,139468.141071471,2,65240
44145,620789.46601093,139468.141071471,3,64856
44146,661453.932632783,204143.810226463,1,64765
44146,661453.932632783,204143.810226463,2,64773
44147,605154.243995601,218346.428386975,1,64766
44147,605154.243995601,218346.428386975,2,64817
44148,611451.209117387,151744.609405739,1,64767
44148,611451.209117387,151744.609405739,2,64816
44149,278928.318724083,679647.003896086,1,64768
44149,278928.318724083,679647.003896086,2,64882
44149,278928.318724083,679647.003896086,3,65701
44150,300147.894750624,213422.006221942,1,64769
44150,300147.894750624,213422.006221942,2,65594
44151,310308.45091308,230871.865191639,1,64770
44151,310308.45091308,230871.865191639,2,65285
44151,310308.45091308,230871.865191639,3,65017
44152,622658.518627213,132725.545883586,1,64771
44152,622658.518627213,132725.545883586,2,65570
44153,663042.543108321,203632.05276661,1,65041
44153,663042.543108321,203632.05276661,2,65040
44153,663042.543108321,203632.05276661,3,64774
44153,663042.543108321,203632.05276661,4,64772
44154,661463.682997522,203629.244003626,1,64773
44154,661463.682997522,203629.244003626,2,64772
44154,661463.682997522,203629.244003626,3,64826
44155,293729.614940728,213067.564705321,1,64775
44155,293729.614940728,213067.564705321,2,65439
44156,311405.297021406,213085.084142062,1,64905
44156,311405.297021406,213085.084142062,2,64778
44156,311405.297021406,213085.084142062,3,64776
44157,311359.239615801,211477.011893756,1,64776
44157,311359.239615801,211477.011893756,2,64939
44157,311359.239615801,211477.011893756,3,64941
44157,311359.239615801,211477.011893756,4,64777
44158,291771.395974576,215317.527946737,1,64779
44158,291771.395974576,215317.527946737,2,64870
44159,266955.231322785,218652.156684574,1,64780
44159,266955.231322785,218652.156684574,2,65115
44160,454887.947443373,204193.460791094,1,64781
44160,454887.947443373,204193.460791094,2,64791
44161,627314.547852614,135751.570939745,1,64782
44161,627314.547852614,135751.570939745,2,64783
44162,626580.992922103,135585.567078282,1,64857
44162,626580.992922103,135585.567078282,2,64784
44162,626580.992922103,135585.567078282,3,65033
44162,626580.992922103,135585.567078282,4,65036
44163,627299.457504374,135604.272344467,1,64783
44163,627299.457504374,135604.272344467,2,64785
44163,627299.457504374,135604.272344467,3,64784
44164,628007.836480346,135176.804945532,1,64925
44164,628007.836480346,135176.804945532,2,64786
44164,628007.836480346,135176.804945532,3,64785
44165,519125.429392812,121940.734303473,1,64788
44165,519125.429392812,121940.734303473,2,64928
44165,519125.429392812,121940.734303473,3,64944
44166,523186.735559305,170359.176962984,1,64789
