rn,seq,eid,rev,nodea,nodeb
0,1,68751,False,50081,46965
0,2,73552,False,50080,50081
0,3,73550,False,49662,50080
0,4,72903,False,50187,49662
0,5,73718,False,50188,50187
0,6,73717,False,46965,50188
1,1,67979,False,46955,46445
1,2,73551,True,50081,46955
1,3,68751,True,46965,50081
1,4,68747,True,46962,46965
1,5,68738,True,46956,46962
1,6,68737,False,46445,46956
2,1,67977,False,50080,46444
2,2,73552,True,50081,50080
2,3,73551,False,46955,50081
2,4,68736,False,46444,46955
3,1,67974,True,46441,46956
3,2,67976,True,46443,46441
3,3,67975,False,46442,46443
3,4,67978,True,46445,46442
3,5,68737,True,46956,46445
4,1,65890,False,46444,44960
4,2,68736,True,46955,46444
4,3,67979,True,46445,46955
4,4,67978,False,46442,46445
4,5,67973,False,44960,46442
5,1,65890,True,44960,46444
5,2,66685,True,45553,44960
5,3,65892,True,44962,45553
5,4,65891,True,44961,44962
5,5,72902,True,49662,44961
5,6,73550,True,50080,49662
5,7,67977,True,46444,50080
6,1,66685,False,44960,45553
6,2,67973,True,46442,44960
6,3,67975,True,46443,46442
6,4,66687,True,45554,46443
6,5,66688,True,45556,45554
6,6,66690,True,45557,45556
6,7,66686,True,45553,45557
7,1,66689,True,45555,45556
7,2,73714,True,50186,45555
7,3,72521,True,49417,50186
7,4,66691,True,45557,49417
7,5,66690,False,45556,45557
8,1,65892,False,45553,44962
8,2,66686,False,45557,45553
8,3,66691,False,49417,45557
8,4,72899,True,49660,49417
8,5,72522,True,49416,49660
8,6,72520,False,44962,49416
9,1,65891,False,44962,44961
9,2,72520,True,49416,44962
9,3,72898,True,49659,49416
9,4,65893,True,44961,49659
10,1,72522,False,49660,49416
10,2,72901,True,49661,49660
10,3,72900,True,49659,49661
10,4,72898,False,49416,49659
11,1,65893,False,49659,44961
11,2,72900,False,49661,49659
11,3,73716,True,50187,49661
11,4,72903,True,49662,50187
11,5,72902,False,44961,49662
12,1,67962,True,46434,51043
12,2,120186,True,82138,46434
12,3,68753,True,46966,82138
12,4,68748,True,46963,46966
12,5,68750,True,46964,46963
12,6,71877,True,48988,46964
12,7,75049,True,51045,48988
12,8,75047,True,51043,51045
13,1,71874,False,48987,48986
13,2,73374,True,49965,48987
13,3,71878,True,48988,49965
13,4,71877,False,46964,48988
13,5,71875,True,48986,46964
14,1,68752,False,50183,46964
14,2,73711,True,50182,50183
14,3,73709,True,50181,50182
14,4,73708,False,49807,50181
14,5,73123,False,49806,49807
14,6,73121,False,48566,49806
14,7,71225,False,48986,48566
14,8,71875,False,46964,48986
15,1,68747,False,46965,46962
15,2,73717,True,50188,46965
15,3,73710,True,50183,50188
15,4,68752,True,46964,50183
15,5,68750,False,46963,46964
15,6,68749,True,46962,46963
16,1,66687,False,46443,45554
16,2,67976,False,46441,46443
16,3,67974,False,46956,46441
16,4,68738,False,46962,46956
16,5,68749,False,46963,46962
16,6,68748,False,46966,46963
16,7,119919,True,81956,46966
16,8,68754,True,45554,81956
17,1,72521,False,50186,49417
17,2,73715,True,50185,50186
17,3,119917,True,81955,50185
17,4,73713,True,50184,81955
17,5,73712,False,50181,50184
17,6,73709,False,50182,50181
17,7,73711,False,50183,50182
17,8,73710,False,50188,50183
17,9,73718,True,50187,50188
17,10,73716,False,49661,50187
17,11,72901,False,49660,49661
17,12,72899,False,49417,49660
18,1,68196,False,50192,46594
18,2,74046,True,50408,50192
18,3,118064,True,80658,50408
18,4,118066,True,80659,80658
18,5,118069,True,80661,80659
18,6,73724,True,50191,80661
18,7,118411,True,80907,50191
18,8,73722,True,50190,80907
18,9,73721,False,46594,50190
19,1,66692,True,45558,80905
19,2,122172,True,83486,45558
19,3,122164,True,83481,83486
19,4,118692,True,81111,83481
19,5,67981,True,46447,81111
19,6,67983,True,46448,46447
19,7,68195,True,46594,46448
19,8,73721,True,50190,46594
19,9,118409,True,80905,50190
20,1,67648,False,46446,46212
20,2,88459,True,60285,46446
20,3,72366,True,49311,60285
20,4,68194,True,46593,49311
20,5,67984,True,46448,46593
20,6,67983,False,46447,46448
20,7,67982,True,46212,46447
21,1,67648,True,46212,46446
21,2,88358,True,60220,46212
21,3,88355,True,60217,60220
21,4,67980,True,46446,60217
22,1,67093,False,46973,45825
22,2,69583,True,47517,46973
22,3,68766,True,46972,47517
22,4,71193,True,48546,46972
22,5,71195,True,48547,48546
22,6,68764,True,46971,48547
22,7,68763,False,45825,46971
23,1,71194,True,48545,48546
23,2,73428,True,49999,48545
23,3,71196,True,48547,49999
23,4,71195,False,48546,48547
24,1,68766,False,47517,46972
24,2,69584,False,49258,47517
24,3,72288,False,49257,49258
24,4,72286,False,50189,49257
24,5,73720,True,49997,50189
24,6,73429,False,49999,49997
24,7,73428,False,48545,49999
24,8,71194,False,48546,48545
24,9,71193,False,46972,48546
25,1,67854,False,46534,46355
25,2,68110,False,49998,46534
25,3,73430,True,46971,49998
25,4,68764,False,48547,46971
25,5,71196,False,49999,48547
25,6,73429,True,49997,49999
25,7,73426,True,46355,49997
26,1,67870,True,46366,48360
26,2,72824,True,49610,46366
26,3,70897,True,48360,49610
27,1,70897,False,49610,48360
27,2,72825,False,49608,49610
27,3,72821,False,49609,49608
27,4,72823,False,48360,49609
28,1,68486,True,46785,49608
28,2,72822,True,49609,46785
28,3,72821,True,49608,49609
29,1,67890,False,49144,46381
29,2,72119,False,49148,49144
29,3,72120,False,49145,49148
29,4,72116,False,49142,49145
29,5,72112,False,48360,49142
29,6,72823,True,49609,48360
