nid,x,y,nseq,eid
44828,319986.645019367,593649.668555794,1,65742
44828,319986.645019367,593649.668555794,2,74159
44829,320170.242271265,191678.913036767,1,65743
44829,320170.242271265,191678.913036767,2,65743
44830,127562.052931913,473956.340610735,1,65744
44830,127562.052931913,473956.340610735,2,71992
44831,334827.271715848,596633.942811631,1,65745
44831,334827.271715848,596633.942811631,2,72717
44832,343631.508906218,594622.797514255,1,73276
44832,343631.508906218,594622.797514255,2,65746
44833,351624.395982428,596215.038299061,1,72796
44833,351624.395982428,596215.038299061,2,65747
44834,353269.175448517,594754.429464763,1,66717
44834,353269.175448517,594754.429464763,2,65748
44835,337185.218749834,585137.915637231,1,65749
44835,337185.218749834,585137.915637231,2,71384
44835,337185.218749834,585137.915637231,3,72807
44836,224279.797345012,526731.313317733,1,65750
44836,224279.797345012,526731.313317733,2,71865
44837,347648.833982538,577342.843729405,1,65751
44837,347648.833982538,577342.843729405,2,66960
44837,347648.833982538,577342.843729405,3,70997
44838,348509.381475727,575748.190025467,1,65752
44838,348509.381475727,575748.190025467,2,65753
44838,348509.381475727,575748.190025467,3,65755
44838,348509.381475727,575748.190025467,4,66962
44839,348530.533033148,575044.017847661,1,71323
44839,348530.533033148,575044.017847661,2,65754
44839,348530.533033148,575044.017847661,3,65753
44840,347694.01639971,575726.917597928,1,65755
44840,347694.01639971,575726.917597928,2,66045
44840,347694.01639971,575726.917597928,3,72855
44840,347694.01639971,575726.917597928,4,66961
44841,347326.124283888,574199.767610793,1,65756
44841,347326.124283888,574199.767610793,2,67609
44841,347326.124283888,574199.767610793,3,66048
44842,354266.682330296,558885.423758129,1,65757
44842,354266.682330296,558885.423758129,2,66300
44842,354266.682330296,558885.423758129,3,69043
44842,354266.682330296,558885.423758129,4,74212
44843,348360.424346776,600280.986559522,1,65758
44843,348360.424346776,600280.986559522,2,70970
44844,322343.586414404,606007.698000293,1,65759
44844,322343.586414404,606007.698000293,2,66336
44845,349715.074452569,595192.247052974,1,72803
44845,349715.074452569,595192.247052974,2,65760
44846,343042.854327566,579667.05817194,1,65761
44846,343042.854327566,579667.05817194,2,66938
44847,361595.033377506,550447.653693349,1,65762
44847,361595.033377506,550447.653693349,2,66395
44847,361595.033377506,550447.653693349,3,71756
44848,352912.064763995,577774.844716618,1,65763
44848,352912.064763995,577774.844716618,2,66675
44848,352912.064763995,577774.844716618,3,70425
44848,352912.064763995,577774.844716618,4,66658
44849,351370.53157816,575003.593793199,1,65764
44849,351370.53157816,575003.593793199,2,73223
44849,351370.53157816,575003.593793199,3,65958
44849,351370.53157816,575003.593793199,4,68413
44850,354648.346385106,588444.159478406,1,65765
44850,354648.346385106,588444.159478406,2,66212
44850,354648.346385106,588444.159478406,3,66216
44851,74167.3687998778,473020.767868333,1,65766
44851,74167.3687998778,473020.767868333,2,72936
44852,39762.5275425108,416253.581666442,1,65767
44852,39762.5275425108,416253.581666442,2,75044
44853,259796.107272995,82749.5816150318,1,65768
44853,259796.107272995,82749.5816150318,2,71972
