rn,seq,eid,rev,nodea,nodeb
0,1,76126,False,51850,51849
0,2,76643,True,52202,51850
0,3,77188,True,52571,52202
0,4,76261,True,51946,52571
0,5,76260,True,51945,51946
0,6,76641,True,52201,51945
0,7,161803,True,110746,52201
0,8,76669,True,52218,110746
0,9,76667,True,52217,52218
0,10,76664,True,52215,52217
0,11,76128,True,51849,52215
1,1,76261,False,52571,51946
1,2,77188,False,52202,52571
1,3,76645,False,52203,52202
1,4,76644,False,51946,52203
2,1,76260,False,51946,51945
2,2,76644,True,52203,51946
2,3,76262,True,51945,52203
3,1,76262,False,52203,51945
3,2,76645,True,52202,52203
3,3,76643,False,51850,52202
3,4,77515,True,52782,51850
3,5,77516,True,52783,52782
3,6,76642,True,52201,52783
3,7,76641,False,51945,52201
4,1,76263,False,52200,51947
4,2,76640,False,52784,52200
4,3,160450,True,109802,52784
4,4,77518,True,52783,109802
4,5,77516,False,52782,52783
4,6,77519,True,52198,52782
4,7,76638,False,52199,52198
4,8,76637,False,51947,52199
5,1,76263,True,51947,52200
5,2,76637,True,52199,51947
5,3,76639,True,52200,52199
6,1,76638,True,52198,52199
6,2,79715,True,54241,52198
6,3,78460,True,53418,54241
6,4,78462,True,53419,53418
6,5,78466,True,53422,53419
6,6,160449,True,109801,53422
6,7,77517,True,52784,109801
6,8,76640,True,52200,52784
6,9,76639,False,52199,52200
7,1,77509,False,52781,52778
7,2,77532,True,52793,52781
7,3,77514,True,52780,52793
7,4,77512,False,52779,52780
7,5,77511,True,52778,52779
8,1,77513,False,54299,52781
8,2,79799,True,54298,54299
8,3,79797,False,53116,54298
8,4,78006,False,52793,53116
8,5,77532,False,52781,52793
9,1,75298,False,51245,51090
9,2,78007,False,54298,51245
9,3,79799,False,54299,54298
9,4,79798,False,51352,54299
9,5,75437,False,52707,51352
9,6,77399,False,51090,52707
10,1,75307,True,51252,52788
10,2,79802,True,54302,51252
10,3,75308,True,51254,54302
10,4,75310,True,51255,51254
10,5,75436,True,51352,51255
10,6,79798,True,54299,51352
10,7,77513,True,52781,54299
10,8,77509,True,52778,52781
10,9,77525,True,52788,52778
11,1,75309,True,51253,54300
11,2,79809,True,54306,51253
11,3,76265,True,51949,54306
11,4,75433,True,51350,51949
11,5,75311,True,51255,51350
11,6,75310,False,51254,51255
11,7,79800,True,54300,51254
12,1,75308,False,54302,51254
12,2,79804,True,54303,54302
12,3,79803,True,54301,54303
12,4,79801,True,54300,54301
12,5,79800,False,51254,54300
13,1,75307,False,52788,51252
13,2,77528,False,53102,52788
13,3,77987,False,53103,53102
13,4,77986,False,54304,53103
13,5,79806,True,54303,54304
13,6,79804,False,54302,54303
13,7,79802,False,51252,54302
14,1,75309,False,54300,51253
14,2,79801,False,54301,54300
14,3,79803,False,54303,54301
