nid,x,y,nseq,eid
45759,-54937.1573456374,704808.184013912,1,66998
45759,-54937.1573456374,704808.184013912,2,66430
45759,-54937.1573456374,704808.184013912,3,67000
45760,-54906.4536346806,706234.972149838,1,67000
45760,-54906.4536346806,706234.972149838,2,66999
45760,-54906.4536346806,706234.972149838,3,76060
46666,-57178.8817818115,605805.200156272,1,68306
46666,-57178.8817818115,605805.200156272,2,68305
46666,-57178.8817818115,605805.200156272,3,75921
46927,-56206.103235428,653713.435642252,1,68694
46927,-56206.103235428,653713.435642252,2,68693
46927,-56206.103235428,653713.435642252,3,75671
47761,-82402.3783465467,358795.021050352,1,73884
47761,-82402.3783465467,358795.021050352,2,69944
47761,-82402.3783465467,358795.021050352,3,69931
47782,-103156.9625716,336559.074970275,1,73545
47782,-103156.9625716,336559.074970275,2,69979
47782,-103156.9625716,336559.074970275,3,69977
47938,-55791.2292498602,673327.05709644,1,70218
47938,-55791.2292498602,673327.05709644,2,68691
47938,-55791.2292498602,673327.05709644,3,75672
48234,-54678.3159980244,717860.213540328,1,70689
48234,-54678.3159980244,717860.213540328,2,68223
48234,-54678.3159980244,717860.213540328,3,71239
48258,-54789.0983623314,711817.386610235,1,70728
48258,-54789.0983623314,711817.386610235,2,70729
48258,-54789.0983623314,711817.386610235,3,78645
48262,-54690.1842610615,717056.380716751,1,70734
48262,-54690.1842610615,717056.380716751,2,70733
48262,-54690.1842610615,717056.380716751,3,70689
48336,-59664.2361073176,516195.125198658,1,70863
48336,-59664.2361073176,516195.125198658,2,70859
48336,-59664.2361073176,516195.125198658,3,79616
48337,-60124.2033443668,491976.896692966,1,70860
48337,-60124.2033443668,491976.896692966,2,70578
48337,-60124.2033443668,491976.896692966,3,79624
48576,-54671.6882641813,718264.887387291,1,71239
48576,-54671.6882641813,718264.887387291,2,70691
48576,-54671.6882641813,718264.887387291,3,78647
48636,-54947.7295031623,704316.81686293,1,71334
48636,-54947.7295031623,704316.81686293,2,71333
48636,-54947.7295031623,704316.81686293,3,76908
48726,-54964.0495205412,703558.219613608,1,71478
48726,-54964.0495205412,703558.219613608,2,71477
