rn,seq,eid,rev,nodea,nodeb
0,1,82658,False,57456,56298
0,2,84358,True,57398,57456
0,3,84275,False,57455,57398
0,4,84359,True,57457,57455
0,5,84357,False,57454,57457
0,6,84354,True,57453,57454
0,7,84352,False,56298,57453
1,1,84234,False,57394,57370
1,2,84268,False,57457,57394
1,3,84359,False,57455,57457
1,4,84355,False,57399,57455
1,5,84364,True,57460,57399
1,6,84361,True,57458,57460
1,7,84360,False,57370,57458
2,1,84234,True,57370,57394
2,2,84360,True,57458,57370
2,3,84265,True,57393,57458
2,4,84267,True,57394,57393
3,1,84266,True,57392,57393
3,2,84353,True,57454,57392
3,3,84357,True,57457,57454
3,4,84268,True,57394,57457
3,5,84267,False,57393,57394
4,1,83041,False,57453,56570
4,2,84354,False,57454,57453
4,3,84353,False,57392,57454
4,4,84266,False,57393,57392
4,5,84265,False,57458,57393
4,6,84361,False,57460,57458
4,7,84366,True,57461,57460
4,8,84365,True,57459,57461
4,9,84363,True,56570,57459
5,1,82749,False,57397,56367
5,2,84272,True,57396,57397
5,3,84270,True,57395,57396
5,4,84269,False,56367,57395
6,1,82750,False,57395,56366
6,2,84270,False,57396,57395
6,3,84272,False,57397,57396
6,4,84271,False,57221,57397
6,5,84014,False,57399,57221
6,6,84355,True,57455,57399
6,7,84275,True,57398,57455
6,8,84273,False,57346,57398
6,9,84200,False,57347,57346
6,10,84199,False,56366,57347
7,1,82655,False,56317,56295
7,2,82683,False,57404,56317
7,3,84283,False,57405,57404
7,4,84282,False,57118,57405
7,5,83862,False,57119,57118
7,6,83859,False,56353,57119
7,7,82732,False,57466,56353
7,8,118043,True,80642,57466
7,9,84375,True,57467,80642
7,10,84374,False,57465,57467
7,11,84371,False,56295,57465
8,1,82655,True,56295,56317
8,2,84371,True,57465,56295
8,3,84367,True,57462,57465
8,4,84914,True,57830,57462
8,5,84368,True,57463,57830
8,6,84370,True,57464,57463
8,7,82680,True,56316,57464
8,8,82682,True,56317,56316
9,1,84367,False,57465,57462
9,2,84374,True,57467,57465
9,3,84372,True,57464,57467
9,4,84370,False,57463,57464
9,5,84369,True,57462,57463
10,1,84368,False,57830,57463
10,2,84914,False,57462,57830
10,3,84369,False,57463,57462
11,1,82656,False,56333,56296
11,2,82705,False,56331,56333
11,3,84622,True,57635,56331
11,4,84377,True,57468,57635
11,5,84376,False,57224,57468
11,6,84020,False,56296,57224
12,1,82656,True,56296,56333
12,2,84016,True,57222,56296
12,3,168284,True,115069,57222
12,4,82702,True,56332,115069
12,5,82704,True,56333,56332
13,1,82661,False,57049,56299
13,2,84349,True,57451,57049
13,3,84223,True,57363,57451
13,4,83804,True,57082,57363
13,5,83803,True,57081,57082
13,6,84289,True,57410,57081
13,7,84514,True,57561,57410
13,8,83756,True,57048,57561
13,9,83754,False,56299,57048
