nid,x,y,nseq,eid
25781,43305.0612041731,-68536.4902551772,1,83736
25781,43305.0612041731,-68536.4902551772,2,37720
25781,43305.0612041731,-68536.4902551772,3,37722
26756,49821.8042092681,87054.2582933716,1,83068
26756,49821.8042092681,87054.2582933716,2,39209
26756,49821.8042092681,87054.2582933716,3,39211
27406,52157.7653482089,145516.492531717,1,82671
27406,52157.7653482089,145516.492531717,2,40201
27406,52157.7653482089,145516.492531717,3,39217
27530,47791.8179753266,39154.9874659814,1,83094
27530,47791.8179753266,39154.9874659814,2,40390
27530,47791.8179753266,39154.9874659814,3,40388
27531,46137.4573298781,734.110406163042,1,40390
27531,46137.4573298781,734.110406163042,2,40389
27531,46137.4573298781,734.110406163042,3,38780
56188,148503.287082929,-26139.8772745181,1,82523
56188,148503.287082929,-26139.8772745181,2,82993
56188,148503.287082929,-26139.8772745181,3,82995
56189,529943.078452798,65459.6996183569,1,84551
56189,529943.078452798,65459.6996183569,2,82524
56190,466598.984764026,-65846.7848021562,1,82525
56190,466598.984764026,-65846.7848021562,2,83376
56190,466598.984764026,-65846.7848021562,3,83273
56191,690244.688870016,84671.9904412509,1,82526
56191,690244.688870016,84671.9904412509,2,83494
56191,690244.688870016,84671.9904412509,3,84895
56192,433634.130590325,53281.363354875,1,82527
56192,433634.130590325,53281.363354875,2,83571
56192,433634.130590325,53281.363354875,3,82746
56193,684700.885649516,95650.5021593652,1,82528
56193,684700.885649516,95650.5021593652,2,82618
56193,684700.885649516,95650.5021593652,3,82620
56194,690384.958679299,74581.9620302196,1,82529
56194,690384.958679299,74581.9620302196,2,83159
56194,690384.958679299,74581.9620302196,3,82533
56194,690384.958679299,74581.9620302196,4,82535
56195,688619.681905352,78555.2519504494,1,82530
56195,688619.681905352,78555.2519504494,2,83769
56195,688619.681905352,78555.2519504494,3,83504
56196,498428.7339404,75031.5771772942,1,82531
56196,498428.7339404,75031.5771772942,2,84040
56197,688681.999720357,76937.9005693609,1,82534
56197,688681.999720357,76937.9005693609,2,83531
56197,688681.999720357,76937.9005693609,3,82532
56198,690296.551883617,77002.7287939688,1,82586
56198,690296.551883617,77002.7287939688,2,82535
56198,690296.551883617,77002.7287939688,3,82534
56198,690296.551883617,77002.7287939688,4,82613
56199,685593.023290091,72768.0772270192,1,82536
56199,685593.023290091,72768.0772270192,2,82712
56200,666820.027701583,57228.1670510852,1,82537
56200,666820.027701583,57228.1670510852,2,82718
56200,666820.027701583,57228.1670510852,3,82916
56200,666820.027701583,57228.1670510852,4,82720
56201,592162.607938721,78058.3153298344,1,82538
56201,592162.607938721,78058.3153298344,2,82850
56202,691860.673264823,86238.9597926377,1,82540
56202,691860.673264823,86238.9597926377,2,82542
56203,692395.190486988,85167.8847078405,1,83337
56203,692395.190486988,85167.8847078405,2,82539
56203,692395.190486988,85167.8847078405,3,82541
56204,691779.281587552,85961.7583654001,1,82542
56204,691779.281587552,85961.7583654001,2,82541
56204,691779.281587552,85961.7583654001,3,82526
56205,416919.49268705,-76201.5032462586,1,83975
56205,416919.49268705,-76201.5032462586,2,82543
56205,416919.49268705,-76201.5032462586,3,84086
56206,679398.437064242,65165.1254933574,1,82606
56206,679398.437064242,65165.1254933574,2,82544
56207,675479.96430904,66237.7864494237,1,82545
56207,675479.96430904,66237.7864494237,2,83482
56208,686616.095182932,69565.7006028611,1,82546
56208,686616.095182932,69565.7006028611,2,83544
56209,521288.686349268,96369.950155537,1,82547
56209,521288.686349268,96369.950155537,2,82577
56209,521288.686349268,96369.950155537,3,82582
56210,445761.146907389,-67695.2319385868,1,82548
56210,445761.146907389,-67695.2319385868,2,84792
56210,445761.146907389,-67695.2319385868,3,83086
56211,465063.215469675,-68319.8512031265,1,82549
56211,465063.215469675,-68319.8512031265,2,82557
56211,465063.215469675,-68319.8512031265,3,83375
56212,691815.200020379,79496.9365283778,1,82550
56212,691815.200020379,79496.9365283778,2,82612
56213,454571.403060727,-71502.0186791455,1,82551
56213,454571.403060727,-71502.0186791455,2,82807
56214,458663.36146868,-76225.2314277565,1,82552
56214,458663.36146868,-76225.2314277565,2,84061
56214,458663.36146868,-76225.2314277565,3,84141
56215,460419.263581249,-75646.7831092686,1,82555
56215,460419.263581249,-75646.7831092686,2,82553
56215,460419.263581249,-75646.7831092686,3,84139
56215,460419.263581249,-75646.7831092686,4,82976
56216,460866.625694459,-76440.7047068592,1,83366
56216,460866.625694459,-76440.7047068592,2,82554
56216,460866.625694459,-76440.7047068592,3,82553
56217,468253.720742523,-69083.4217999217,1,84769
56217,468253.720742523,-69083.4217999217,2,82558
56217,468253.720742523,-69083.4217999217,3,82556
56217,468253.720742523,-69083.4217999217,4,82980
