rn,seq,eid,rev,nodea,nodeb
0,1,86138,True,58715,58716
0,2,88162,True,60087,58715
0,3,88485,True,60303,60087
0,4,86143,True,58719,60303
0,5,86142,False,58718,58719
0,6,86141,True,58717,58718
0,7,86139,False,58716,58717
1,1,87411,False,60302,59578
1,2,88525,True,60331,60302
1,3,88528,True,60333,60331
1,4,88486,True,60303,60333
1,5,88485,False,60087,60303
1,6,88163,False,60086,60087
1,7,88161,False,59578,60086
2,1,86143,False,60303,58719
2,2,88486,False,60333,60303
2,3,88529,False,60332,60333
2,4,88527,False,60330,60332
2,5,88524,False,60046,60330
2,6,88100,False,58784,60046
2,7,86240,False,58825,58784
2,8,86301,False,58719,58825
3,1,85215,False,60330,58068
3,2,88527,True,60332,60330
3,3,88526,True,60331,60332
3,4,88525,False,60302,60331
3,5,88484,False,58068,60302
4,1,88526,False,60332,60331
4,2,88529,True,60333,60332
4,3,88528,False,60331,60333
5,1,85212,True,58067,59578
5,2,87869,True,59889,58067
5,3,87093,True,59366,59889
5,4,85214,True,58069,59366
5,5,85213,True,58068,58069
5,6,88484,True,60302,58068
5,7,87411,True,59578,60302
6,1,85213,False,58069,58068
6,2,86751,True,59132,58069
6,3,86746,True,59128,59132
6,4,88098,True,60046,59128
6,5,88524,True,60330,60046
6,6,85215,True,58068,60330
7,1,86555,True,58997,59007
7,2,86557,True,58999,58997
7,3,86556,False,58998,58999
7,4,88350,True,60214,58998
7,5,88348,True,60212,60214
7,6,88235,True,60136,60212
7,7,88236,True,60137,60136
7,8,86568,True,59007,60137
8,1,86377,False,58999,58877
8,2,86557,False,58997,58999
8,3,86555,False,59007,58997
8,4,88148,True,60078,59007
8,5,86569,True,59006,60078
8,6,86567,True,59005,59006
8,7,86566,False,58877,59005
9,1,85216,True,58070,58877
9,2,86375,True,58875,58070
9,3,86554,True,58998,58875
9,4,86556,True,58999,58998
9,5,86377,True,58877,58999
10,1,86376,False,59008,58875
10,2,86572,False,60211,59008
10,3,88351,False,60214,60211
10,4,88350,False,58998,60214
10,5,86554,False,58875,58998
11,1,86570,False,59009,59008
11,2,192884,True,132127,59009
11,3,87885,True,59900,132127
11,4,87886,True,59901,59900
11,5,88347,True,60211,59901
