nid,x,y,nseq,eid
46411,1240031.89604617,1093044.49139413,1,87759
46411,1240031.89604617,1093044.49139413,2,67930
46411,1240031.89604617,1093044.49139413,3,67932
46415,1264164.0883746,1124376.00256198,1,85973
46415,1264164.0883746,1124376.00256198,2,67937
46415,1264164.0883746,1124376.00256198,3,67936
46446,1195625.47856539,1080398.36962442,1,67980
46446,1195625.47856539,1080398.36962442,2,67648
46446,1195625.47856539,1080398.36962442,3,88459
49311,1195751.95392507,1087136.33467512,1,88457
49311,1195751.95392507,1087136.33467512,2,72366
49311,1195751.95392507,1087136.33467512,3,68194
49312,1218024.28126941,1103942.9822439,1,73072
49312,1218024.28126941,1103942.9822439,2,72368
49312,1218024.28126941,1103942.9822439,3,72367
49772,1234404.77096098,1094660.77812097,1,73071
49772,1234404.77096098,1094660.77812097,2,87762
49772,1234404.77096098,1094660.77812097,3,73073
49773,1233960.15574115,1095029.38932625,1,69558
49773,1233960.15574115,1095029.38932625,2,73073
49773,1233960.15574115,1095029.38932625,3,73072
50144,1256334.40559344,1085096.81873493,1,87730
50144,1256334.40559344,1085096.81873493,2,73649
50144,1256334.40559344,1085096.81873493,3,69559
50146,1258134.69568754,1118358.3632425,1,67937
50146,1258134.69568754,1118358.3632425,2,73652
50146,1258134.69568754,1118358.3632425,3,73651
51051,1289494.79318518,1140411.03408184,1,88195
51051,1289494.79318518,1140411.03408184,2,75060
51051,1289494.79318518,1140411.03408184,3,75058
51052,1273083.62385172,1125806.29612908,1,85689
51052,1273083.62385172,1125806.29612908,2,75059
51052,1273083.62385172,1125806.29612908,3,71817
51235,1409739.45728286,1180124.4907194,1,75285
51235,1409739.45728286,1180124.4907194,2,87426
51235,1409739.45728286,1180124.4907194,3,76226
51623,1406488.90042426,1185357.24392369,1,75806
51623,1406488.90042426,1185357.24392369,2,76225
51623,1406488.90042426,1185357.24392369,3,75809
51624,1386880.55366678,1175076.02332481,1,87097
51624,1386880.55366678,1175076.02332481,2,75807
51624,1386880.55366678,1175076.02332481,3,75808
51766,1504424.7603933,1216933.58877963,1,85044
51766,1504424.7603933,1216933.58877963,2,76005
51766,1504424.7603933,1216933.58877963,3,75986
51920,1407761.44550504,1184561.91083216,1,76223
51920,1407761.44550504,1184561.91083216,2,76226
51920,1407761.44550504,1184561.91083216,3,76225
51997,1449185.56041372,1205234.52304805,1,76339
51997,1449185.56041372,1205234.52304805,2,78336
51997,1449185.56041372,1205234.52304805,3,76338
52257,1347824.9836858,1177909.24540634,1,77124
52257,1347824.9836858,1177909.24540634,2,76724
52257,1347824.9836858,1177909.24540634,3,76726
52290,1495425.88769567,1216608.98044648,1,85367
52290,1495425.88769567,1216608.98044648,2,76777
52290,1495425.88769567,1216608.98044648,3,76776
52333,1534665.88402315,1266265.40002177,1,88189
52333,1534665.88402315,1266265.40002177,2,76838
52333,1534665.88402315,1266265.40002177,3,76836
52334,1533044.21538633,1266127.42388938,1,76838
52334,1533044.21538633,1266127.42388938,2,76837
52334,1533044.21538633,1266127.42388938,3,76834
52502,1380237.861932,1161735.76576594,1,86460
52502,1380237.861932,1161735.76576594,2,77088
52502,1380237.861932,1161735.76576594,3,77087
52528,1350484.43593462,1179794.5478778,1,79681
52528,1350484.43593462,1179794.5478778,2,77124
