rn,seq,eid,rev,nodea,nodeb
0,1,90361,False,61900,61651
0,2,90728,True,61899,61900
0,3,91021,True,62097,61899
0,4,90726,True,61898,62097
0,5,90725,False,61649,61898
0,6,90362,False,61651,61649
1,1,90327,False,61813,61628
1,2,90599,False,62096,61813
1,3,91022,True,62097,62096
1,4,91021,False,61899,62097
1,5,90728,False,61900,61899
1,6,90727,False,61630,61900
1,7,90330,False,61634,61630
1,8,90338,False,61635,61634
1,9,90337,False,61631,61635
1,10,90332,False,61628,61631
2,1,89385,True,60970,62056
2,2,90991,True,62077,60970
2,3,90876,True,62001,62077
2,4,89851,True,61300,62001
2,5,89387,True,60972,61300
2,6,89386,False,60971,60972
2,7,90598,True,61813,60971
2,8,90327,True,61628,61813
2,9,90959,True,62056,61628
3,1,88800,False,61812,60550
3,2,91014,True,62092,61812
3,3,91020,True,62096,62092
3,4,90599,True,61813,62096
3,5,90598,False,60971,61813
3,6,89384,False,60955,60971
3,7,89362,False,60550,60955
4,1,90358,False,61898,61305
4,2,90726,False,62097,61898
4,3,91022,False,62096,62097
4,4,91020,False,62092,62096
4,5,91015,False,62093,62092
4,6,91019,False,62095,62093
4,7,91018,False,62098,62095
4,8,91024,True,61305,62098
5,1,89233,True,60863,62095
5,2,91016,True,62094,60863
5,3,91029,True,62102,62094
5,4,91740,True,62570,62102
5,5,91023,True,62098,62570
5,6,91018,True,62095,62098
6,1,89233,False,62095,60863
6,2,91019,True,62093,62095
6,3,91015,True,62092,62093
6,4,91026,True,62100,62092
6,5,91017,True,62094,62100
6,6,91016,False,60863,62094
7,1,90597,False,61928,61812
7,2,90769,False,62099,61928
7,3,91027,True,62100,62099
7,4,91026,False,62092,62100
7,5,91014,False,61812,62092
8,1,88800,True,60550,61812
8,2,89362,True,60955,60550
8,3,89364,True,60956,60955
8,4,90768,True,61928,60956
8,5,90597,True,61812,61928
9,1,89365,False,61927,60956
9,2,91025,True,62099,61927
9,3,90769,True,61928,62099
9,4,90768,False,60956,61928
10,1,89363,True,60954,61297
10,2,89532,True,61077,60954
10,3,89534,True,61078,61077
10,4,90767,True,61927,61078
10,5,89365,True,60956,61927
10,6,89364,False,60955,60956
10,7,89384,True,60971,60955
10,8,89386,True,60972,60971
10,9,89847,True,61297,60972
11,1,89535,False,62101,61078
11,2,91738,True,62569,62101
11,3,91030,True,62102,62569
11,4,91029,False,62094,62102
11,5,91017,False,62100,62094
11,6,91027,False,62099,62100
11,7,91025,False,61927,62099
11,8,90767,False,61078,61927
12,1,88943,False,61931,60653
12,2,90775,True,61932,61931
12,3,90774,False,61198,61932
12,4,89704,False,61933,61198
12,5,90777,True,60670,61933
12,6,88966,False,60671,60670
12,7,88965,False,61882,60671
12,8,90704,False,61883,61882
12,9,90703,False,61930,61883
12,10,90772,True,61929,61930
12,11,90770,False,60653,61929
13,1,90776,False,62103,61933
13,2,92200,True,62882,62103
13,3,91033,True,62104,62882
13,4,91032,False,60670,62104
13,5,90777,False,61933,60670
14,1,89704,True,61198,61933
14,2,90774,True,61932,61198
14,3,91031,True,62103,61932
14,4,90776,True,61933,62103
15,1,90773,False,62082,61931
15,2,90998,False,62081,62082
15,3,90996,False,62881,62081
15,4,92201,True,62882,62881
15,5,92200,False,62103,62882
15,6,91031,False,61932,62103
15,7,90775,False,61931,61932
16,1,88943,True,60653,61931
16,2,90770,True,61929,60653
16,3,90999,True,62083,61929
16,4,90997,True,62082,62083
16,5,90773,True,61931,62082
17,1,89251,False,61199,60876
17,2,89707,True,61155,61199
17,3,89647,False,61200,61155
17,4,91035,True,62106,61200
17,5,91396,True,62344,62106
17,6,89709,True,61201,62344
17,7,89708,False,60876,61201
18,1,89647,True,61155,61200
18,2,89649,True,61157,61155
18,3,89648,False,61156,61157
18,4,91034,True,62105,61156
18,5,89706,True,61200,62105
19,1,89706,False,62105,61200
19,2,91047,True,62114,62105
19,3,91036,True,62106,62114
19,4,91035,False,61200,62106
20,1,88681,False,60876,60461
20,2,89708,True,61201,60876
20,3,89797,True,61261,61201
20,4,89253,True,60877,61261
20,5,89252,False,60875,60877
20,6,91041,True,62110,60875
20,7,90059,True,61439,62110
20,8,89250,True,60874,61439
20,9,89248,False,60461,60874
21,1,88681,True,60461,60876
21,2,89248,True,60874,60461
21,3,90061,True,61440,60874
21,4,89705,True,61199,61440
21,5,89251,True,60876,61199
22,1,88801,False,61438,60551
22,2,90062,True,61440,61438
22,3,90061,False,60874,61440
22,4,89250,False,61439,60874
22,5,90060,True,60551,61439
23,1,89649,False,61155,61157
23,2,89707,False,61199,61155
23,3,89705,False,61440,61199
23,4,90062,False,61438,61440
23,5,90058,False,61157,61438
24,1,89672,False,60551,61175
24,2,90060,False,61439,60551
24,3,90059,False,62110,61439
24,4,91371,True,62328,62110
24,5,91045,True,62112,62328
24,6,91044,True,62111,62112
24,7,91043,True,62107,62111
24,8,91037,False,61593,62107
24,9,90278,False,62108,61593
24,10,91040,True,62109,62108
24,11,91039,False,61934,62109
24,12,90779,False,61935,61934
24,13,90778,False,61175,61935
25,1,88801,True,60551,61438
25,2,89672,True,61175,60551
25,3,89671,True,61174,61175
25,4,89646,True,61156,61174
25,5,89648,True,61157,61156
25,6,90058,True,61438,61157
26,1,89671,False,61175,61174
26,2,90778,True,61935,61175
26,3,90780,True,61936,61935
26,4,89673,True,61174,61936
27,1,89646,False,61174,61156
27,2,89673,False,61936,61174
27,3,90781,False,62109,61936
27,4,91040,False,62108,62109
27,5,91038,False,61594,62108
27,6,90277,False,62042,61594
27,7,90940,False,62041,62042
27,8,90938,False,61318,62041
27,9,89879,False,62113,61318
27,10,91048,True,62114,62113
27,11,91047,False,62105,62114
27,12,91034,False,61156,62105
28,1,90779,True,61934,61935
28,2,91039,True,62109,61934
28,3,90781,True,61936,62109
28,4,90780,False,61935,61936
29,1,88796,False,62107,60547
29,2,91043,False,62111,62107
29,3,91042,False,62929,62111
29,4,92266,False,61980,62929
29,5,90846,False,60879,61980
29,6,89255,False,60547,60879
30,1,88796,True,60547,62107
30,2,89255,True,60879,60547
30,3,89257,True,60880,60879
30,4,90274,True,61592,60880
30,5,90276,True,61593,61592
30,6,91037,True,62107,61593
31,1,89254,False,60881,60878
31,2,90666,True,61858,60881
31,3,90281,True,61597,61858
31,4,89259,True,60880,61597
31,5,89257,False,60879,60880
31,6,90846,True,61980,60879
31,7,89256,True,60878,61980
32,1,89258,False,61663,60881
32,2,90381,False,62116,61663
32,3,91051,True,62115,62116
32,4,91049,False,61202,62115
32,5,89710,False,61859,61202
32,6,90668,False,61860,61859
32,7,90672,False,61858,61860
32,8,90666,False,60881,61858
33,1,90281,False,61858,61597
33,2,90672,True,61860,61858
33,3,90668,True,61859,61860
33,4,90667,False,61862,61859
33,5,90671,True,61861,61862
33,6,90669,False,61597,61861
34,1,89710,True,61202,61859
34,2,91049,True,62115,61202
34,3,90670,True,61862,62115
34,4,90667,True,61859,61862
35,1,90670,False,62115,61862
35,2,91051,False,62116,62115
35,3,91050,False,62118,62116
35,4,91054,False,62592,62118
35,5,91773,False,62593,62592
35,6,91774,False,62591,62593
35,7,91771,False,61861,62591
35,8,90671,False,61862,61861
36,1,90389,False,62117,61671
36,2,91761,True,62584,62117
36,3,91772,True,62592,62584
36,4,91054,True,62118,62592
36,5,91053,False,61669,62118
36,6,90391,False,61671,61669
37,1,89200,False,61483,60840
37,2,90125,False,61943,61483
37,3,90794,False,61944,61943
37,4,90791,False,62886,61944
37,5,92210,True,62888,62886
37,6,92209,True,62887,62888
37,7,92208,False,62128,62887
37,8,91070,False,62129,62128
37,9,91069,False,61915,62129
37,10,90749,False,60839,61915
37,11,89201,False,60840,60839
38,1,89266,False,61944,60886
38,2,90794,True,61943,61944
38,3,90790,False,61484,61943
38,4,90130,False,61941,61484
38,5,90789,True,61942,61941
38,6,90788,False,61945,61942
38,7,92160,True,62852,61945
38,8,90793,True,61940,62852
38,9,90786,True,61939,61940
38,10,90785,False,60886,61939
39,1,89266,True,60886,61944
39,2,90785,True,61939,60886
39,3,91060,True,62123,61939
39,4,91055,True,62120,62123
39,5,91057,True,62121,62120
39,6,92255,True,62920,62121
39,7,92207,True,62886,62920
39,8,90791,True,61944,62886
40,1,91058,False,62887,62121
40,2,92209,False,62888,62887
40,3,92210,False,62886,62888
40,4,92207,False,62920,62886
40,5,92255,False,62121,62920
41,1,91056,True,62119,62120
41,2,91062,True,62125,62119
41,3,91068,True,62128,62125
41,4,92208,True,62887,62128
41,5,91058,True,62121,62887
41,6,91057,False,62120,62121
42,1,90297,False,62122,61606
42,2,91063,True,62125,62122
42,3,91062,False,62119,62125
42,4,91056,False,62120,62119
42,5,91055,False,62123,62120
42,6,91064,True,62124,62123
42,7,91061,True,61610,62124
42,8,90302,False,61606,61610
43,1,90750,False,62129,61914
43,2,91070,True,62128,62129
43,3,91068,False,62125,62128
43,4,91063,False,62122,62125
43,5,91059,False,62126,62122
43,6,91071,True,62130,62126
43,7,91067,True,62127,62130
43,8,91066,False,61914,62127
44,1,90748,False,62127,61913
44,2,91067,False,62130,62127
44,3,91071,False,62126,62130
44,4,91065,False,61913,62126
45,1,88868,False,61915,60599
45,2,91069,True,62129,61915
45,3,90750,True,61914,62129
45,4,91066,True,62127,61914
45,5,90748,True,61913,62127
45,6,90747,False,61607,61913
45,7,90296,False,60599,61607
46,1,90699,False,61883,61880
46,2,90704,True,61882,61883
46,3,90702,False,61881,61882
46,4,90701,True,61880,61881
47,1,89087,False,62132,60759
47,2,91074,True,62131,62132
47,3,91072,False,61203,62131
47,4,89714,False,61205,61203
47,5,89713,False,60827,61205
47,6,89184,False,61041,60827
47,7,89483,False,61042,61041
47,8,89482,False,61880,61042
47,9,90701,False,61881,61880
47,10,90700,False,60759,61881
48,1,89712,False,62131,61204
48,2,91074,False,62132,62131
48,3,91073,False,61206,62132
48,4,89716,False,62901,61206
48,5,92228,False,61204,62901
49,1,89480,True,61040,61204
49,2,89711,True,61203,61040
49,3,91072,True,62131,61203
49,4,89712,True,61204,62131
50,1,89480,False,61204,61040
50,2,92228,True,62901,61204
50,3,89716,True,61206,62901
50,4,89715,False,61205,61206
50,5,89714,True,61203,61205
50,6,89711,False,61040,61203
51,1,89273,False,61042,60891
51,2,89483,True,61041,61042
51,3,89481,False,61043,61041
51,4,198941,True,136463,61043
51,5,89490,True,61045,136463
51,6,91291,True,62278,61045
51,7,89486,True,61044,62278
51,8,89485,False,61047,61044
51,9,89489,True,61046,61047
51,10,89487,False,60891,61046
52,1,89273,True,60891,61042
52,2,89487,True,61046,60891
52,3,91254,True,62252,61046
52,4,89388,True,60974,62252
52,5,89390,True,60975,60974
52,6,91244,True,62245,60975
52,7,90771,True,61930,62245
52,8,90703,True,61883,61930
52,9,90699,True,61880,61883
52,10,89482,True,61042,61880
53,1,89281,False,60989,60895
53,2,89413,False,60990,60989
53,3,89412,False,60895,60990
54,1,89279,False,60896,60895
54,2,89366,True,60958,60896
54,3,89368,True,60959,60958
54,4,89409,True,60988,60959
54,5,89411,True,60989,60988
54,6,89281,True,60895,60989
55,1,89367,False,61057,60957
55,2,89506,False,61058,61057
55,3,89505,False,62135,61058
55,4,91078,True,62134,62135
55,5,91076,True,62133,62134
55,6,91075,False,60961,62133
55,7,89372,False,60957,60961
56,1,89367,True,60957,61057
56,2,89372,True,60961,60957
56,3,89371,False,60960,60961
56,4,89621,True,61138,60960
56,5,89370,True,60959,61138
56,6,89368,False,60958,60959
56,7,89504,True,61057,60958
57,1,88555,False,62137,60354
57,2,91492,True,62408,62137
57,3,91487,True,62405,62408
57,4,91081,True,62136,62405
57,5,91079,False,60988,62136
57,6,89409,False,60959,60988
57,7,89370,False,61138,60959
57,8,89622,False,61137,61138
57,9,89620,False,60689,61137
57,10,88988,False,60354,60689
58,1,88813,False,60841,60560
58,2,89203,False,60910,60841
58,3,89301,False,62889,60910
58,4,92213,True,62890,62889
58,5,92212,False,62222,62890
58,6,91210,False,60559,62222
58,7,88814,False,60560,60559
59,1,88802,False,60361,60553
59,2,89204,True,60842,60361
59,3,89300,True,60910,60842
59,4,89203,True,60841,60910
59,5,89202,False,60552,60841
59,6,88803,False,60553,60552
60,1,88563,True,60361,60909
60,2,88802,True,60553,60361
60,3,88804,True,60554,60553
60,4,88810,True,60558,60554
60,5,89299,True,60909,60558
61,1,88803,True,60552,60553
61,2,89202,True,60841,60552
61,3,88813,True,60560,60841
61,4,88808,True,60556,60560
61,5,88807,False,60555,60556
61,6,88806,True,60554,60555
61,7,88804,False,60553,60554
62,1,88805,False,60557,60555
62,2,89292,True,60904,60557
62,3,89293,True,60905,60904
62,4,88811,True,60558,60905
62,5,88810,False,60554,60558
62,6,88806,False,60555,60554
63,1,88809,False,60906,60557
63,2,89296,False,60904,60906
63,3,89292,False,60557,60904
64,1,88564,True,60362,60556
64,2,89303,True,60913,60362
64,3,89305,True,60914,60913
64,4,89307,True,60915,60914
64,5,89284,True,60899,60915
64,6,89286,True,60900,60899
64,7,89294,True,60906,60900
64,8,88809,True,60557,60906
64,9,88805,True,60555,60557
64,10,88807,True,60556,60555
65,1,88938,True,60649,60898
65,2,89282,True,60897,60649
65,3,91082,True,62138,60897
65,4,91086,True,62141,62138
