nid,x,y,nseq,eid
7224,988110.443875718,499691.601179384,1,89539
7224,988110.443875718,499691.601179384,2,10308
7224,988110.443875718,499691.601179384,3,10307
7309,1001993.12150298,499613.295997363,1,10428
7309,1001993.12150298,499613.295997363,2,89541
7309,1001993.12150298,499613.295997363,3,10429
7333,845131.233856321,502068.34481546,1,90823
7333,845131.233856321,502068.34481546,2,10464
7333,845131.233856321,502068.34481546,3,10463
7342,823192.473198183,502514.647595062,1,91311
7342,823192.473198183,502514.647595062,2,10477
7342,823192.473198183,502514.647595062,3,10475
7343,798191.427714589,502976.401502099,1,10470
7343,798191.427714589,502976.401502099,2,89064
7343,798191.427714589,502976.401502099,3,10476
7667,768785.611829619,503674.666928472,1,90106
7667,768785.611829619,503674.666928472,2,10952
7667,768785.611829619,503674.666928472,3,10950
8064,931156.354979542,500156.275567612,1,88798
8064,931156.354979542,500156.275567612,2,90953
8064,931156.354979542,500156.275567612,3,11531
8064,931156.354979542,500156.275567612,4,11529
8180,903190.72434529,500652.936651491,1,11531
8180,903190.72434529,500652.936651491,2,11701
8180,903190.72434529,500652.936651491,3,11699
8181,870655.098514636,501407.808159778,1,10216
8181,870655.098514636,501407.808159778,2,89528
8181,870655.098514636,501407.808159778,3,11700
60347,1079116.42797386,259479.200863686,1,88547
60347,1079116.42797386,259479.200863686,2,90554
60348,1014993.71246504,226512.662067656,1,88548
60348,1014993.71246504,226512.662067656,2,91335
60348,1014993.71246504,226512.662067656,3,91338
60349,956854.231870709,165122.886294551,1,88549
60349,956854.231870709,165122.886294551,2,88693
60349,956854.231870709,165122.886294551,3,91458
60350,938225.11273599,148374.86332984,1,88551
60350,938225.11273599,148374.86332984,2,90956
60350,938225.11273599,148374.86332984,3,89563
60350,938225.11273599,148374.86332984,4,90761
60351,962610.052373725,161491.056549964,1,88552
60351,962610.052373725,161491.056549964,2,90833
60351,962610.052373725,161491.056549964,3,88550
60352,968314.114187151,155529.147144039,1,90383
60352,968314.114187151,155529.147144039,2,88553
60352,968314.114187151,155529.147144039,3,88552
60353,932322.763803949,119656.494289975,1,88554
60353,932322.763803949,119656.494289975,2,88554
60354,859476.12249196,406987.254846939,1,88555
60354,859476.12249196,406987.254846939,2,88988
60355,1123044.43965311,164844.995965919,1,88556
60355,1123044.43965311,164844.995965919,2,88826
60355,1123044.43965311,164844.995965919,3,88851
60356,868211.605823971,285604.725445584,1,88557
60356,868211.605823971,285604.725445584,2,88964
60357,981227.978396092,147086.323180062,1,88558
60357,981227.978396092,147086.323180062,2,88709
60357,981227.978396092,147086.323180062,3,90943
60358,952174.042976727,201430.12649675,1,88560
60358,952174.042976727,201430.12649675,2,90363
60359,996576.850769301,172787.273061259,1,88559
60359,996576.850769301,172787.273061259,2,88561
60359,996576.850769301,172787.273061259,3,88954
60360,968939.921832625,177715.610471487,1,88561
60360,968939.921832625,177715.610471487,2,91449
60360,968939.921832625,177715.610471487,3,88562
60361,776549.786182144,452183.474905105,1,88563
60361,776549.786182144,452183.474905105,2,88802
60361,776549.786182144,452183.474905105,3,89204
60362,775090.696889397,446831.442324808,1,88564
60362,775090.696889397,446831.442324808,2,89303
60362,775090.696889397,446831.442324808,3,91123
60362,775090.696889397,446831.442324808,4,88812
60363,771168.377979204,433043.639211177,1,89655
60363,771168.377979204,433043.639211177,2,91164
60363,771168.377979204,433043.639211177,3,88565
