rn,seq,eid,rev,nodea,nodeb
0,1,102714,True,70215,70221
0,2,102720,True,70220,70215
0,3,102722,True,70221,70220
1,1,102716,True,70216,70219
1,2,102718,True,70218,70216
1,3,102717,False,70217,70218
1,4,102719,True,70219,70217
2,1,102716,False,70219,70216
2,2,102723,True,70221,70219
2,3,102722,False,70220,70221
2,4,102721,True,70216,70220
3,1,98161,True,67055,67058
3,2,102724,True,70223,67055
3,3,102726,True,70224,70223
3,4,102732,True,70228,70224
3,5,98162,True,67057,70228
3,6,98164,True,67058,67057
4,1,98163,True,67056,70218
4,2,98165,True,67058,67056
4,3,98164,False,67057,67058
4,4,102715,True,70217,67057
4,5,102717,True,70218,70217
5,1,102725,True,70222,70223
5,2,102730,True,70226,70222
5,3,102729,False,70225,70226
5,4,102743,True,70236,70225
5,5,102731,True,70227,70236
5,6,102728,True,70224,70227
5,7,102726,False,70223,70224
6,1,102728,False,70227,70224
6,2,102741,True,70235,70227
6,3,102733,True,70228,70235
6,4,102732,False,70224,70228
7,1,102731,False,70236,70227
7,2,102744,True,70234,70236
7,3,102740,True,70233,70234
7,4,102739,False,70232,70233
7,5,102742,True,70235,70232
7,6,102741,False,70227,70235
8,1,98168,False,70233,67061
8,2,102740,False,70234,70233
8,3,102753,True,70241,70234
8,4,102752,False,70240,70241
8,5,102751,True,70239,70240
8,6,102749,False,67062,70239
8,7,102755,True,70242,67062
8,8,102754,False,67063,70242
8,9,102746,True,67064,67063
8,10,98171,False,70237,67064
8,11,102748,True,70238,70237
8,12,102747,False,67061,70238
9,1,98877,False,67788,67611
9,2,99124,False,67787,67788
9,3,99123,False,70117,67787
9,4,102776,True,70257,70117
9,5,102572,True,70116,70257
9,6,102570,True,67611,70116
10,1,99123,True,67787,70117
10,2,99124,True,67788,67787
10,3,102727,True,70225,67788
10,4,102729,True,70226,70225
10,5,102571,True,70117,70226
11,1,98166,False,67612,67059
11,2,99122,True,67788,67612
11,3,98877,True,67611,67788
11,4,102768,True,70252,67611
11,5,99462,True,68027,70252
11,6,99464,True,68028,68027
11,7,98875,True,67610,68028
11,8,98874,False,67059,67610
12,1,98876,False,70241,67612
12,2,102753,False,70234,70241
12,3,102744,False,70236,70234
12,4,102743,False,70225,70236
12,5,102727,False,67788,70225
12,6,99122,False,67612,67788
13,1,98166,True,67059,67612
13,2,98874,True,67610,67059
13,3,102750,True,70240,67610
13,4,102752,True,70241,70240
13,5,98876,True,67612,70241
14,1,102756,False,70248,70244
14,2,102767,True,70251,70248
14,3,102777,True,70258,70251
14,4,102763,True,70247,70258
14,5,102761,True,70246,70247
14,6,102760,False,70244,70246
15,1,102570,False,70116,67611
15,2,102572,False,70257,70116
15,3,102778,True,70258,70257
15,4,102777,False,70251,70258
15,5,102769,False,70252,70251
15,6,102768,False,67611,70252
16,1,99462,False,70252,68027
16,2,102769,True,70251,70252
16,3,102767,False,70248,70251
16,4,102762,False,70250,70248
16,5,102773,True,70255,70250
16,6,102766,True,70249,70255
16,7,102764,False,68027,70249
17,1,99463,True,68026,70249
17,2,102770,True,70253,68026
17,3,99465,True,68028,70253
17,4,99464,False,68027,68028
17,5,102764,True,70249,68027
18,1,99463,False,70249,68026
18,2,102766,False,70255,70249
18,3,102775,True,70256,70255
18,4,102774,False,70254,70256
18,5,102772,True,70253,70254
18,6,102770,False,68026,70253
19,1,102757,True,70243,70262
19,2,102759,True,70245,70243
19,3,102758,False,70244,70245
19,4,102760,True,70246,70244
19,5,102784,True,70262,70246
20,1,98437,True,67282,70245
20,2,98439,True,67284,67282
20,3,98438,False,67283,67284
20,4,102765,True,70250,67283
20,5,102762,True,70248,70250
20,6,102756,True,70244,70248
20,7,102758,True,70245,70244
21,1,98436,False,68279,67283
21,2,99831,False,70256,68279
21,3,102775,False,70255,70256
21,4,102773,False,70250,70255
21,5,102765,False,67283,70250
22,1,99829,False,68280,68279
22,2,99832,True,68281,68280
22,3,102771,True,70254,68281
22,4,102774,True,70256,70254
22,5,99831,True,68279,70256
23,1,98225,True,67111,67284
23,2,99830,True,68280,67111
23,3,99829,True,68279,68280
23,4,98436,True,67283,68279
23,5,98438,True,67284,67283
24,1,99830,False,67111,68280
24,2,99834,True,68282,67111
24,3,102788,True,70265,68282
24,4,102790,True,70266,70265
24,5,99833,True,68281,70266
24,6,99832,False,68280,68281
25,1,98167,False,70261,67060
25,2,102785,True,67284,70261
25,3,98439,False,67282,67284
25,4,98437,False,70245,67282
25,5,102759,False,70243,70245
25,6,102757,False,70262,70243
25,7,102787,True,70263,70262
