nid,x,y,nseq,eid
27573,120660.050954751,865291.89572922,1,40439
27573,120660.050954751,865291.89572922,2,42789
27573,120660.050954751,865291.89572922,3,98811
27696,112152.668930154,865089.63940894,1,40595
27696,112152.668930154,865089.63940894,2,40726
27696,112152.668930154,865089.63940894,3,99500
27795,109746.988868838,864388.751053845,1,40728
27795,109746.988868838,864388.751053845,2,40730
27795,109746.988868838,864388.751053845,3,42187
27964,125689.434276672,865137.821359841,1,40967
27964,125689.434276672,865137.821359841,2,40965
27964,125689.434276672,865137.821359841,3,40439
27965,138616.553164031,864837.633590319,1,40966
27965,138616.553164031,864837.633590319,2,40968
27965,138616.553164031,864837.633590319,3,100381
28011,75085.8671991989,866490.247093876,1,41033
28011,75085.8671991989,866490.247093876,2,40891
28011,75085.8671991989,866490.247093876,3,100525
28191,162540.967436624,864053.027981275,1,41300
28191,162540.967436624,864053.027981275,2,41302
28192,168295.357296727,863839.1628689,1,41299
28192,168295.357296727,863839.1628689,2,41291
28192,168295.357296727,863839.1628689,3,98708
28193,150134.950378453,864455.138405798,1,41303
28193,150134.950378453,864455.138405798,2,41301
28193,150134.950378453,864455.138405798,3,100382
28194,161655.548115218,864088.68336785,1,41302
28194,161655.548115218,864088.68336785,2,41304
28194,161655.548115218,864088.68336785,3,98394
28316,107513.972014345,865140.544193547,1,41486
28316,107513.972014345,865140.544193547,2,40494
28316,107513.972014345,865140.544193547,3,41488
28317,94395.9946628046,862094.9089225,1,41489
28317,94395.9946628046,862094.9089225,2,42279
28317,94395.9946628046,862094.9089225,3,99487
28318,101793.961375276,865747.137893421,1,41488
28318,101793.961375276,865747.137893421,2,41490
28318,101793.961375276,865747.137893421,3,99493
28495,47633.5119443115,868065.514419417,1,41758
28495,47633.5119443115,868065.514419417,2,41756
28495,47633.5119443115,868065.514419417,3,102894
28782,108331.050907272,864440.309364105,1,42187
28782,108331.050907272,864440.309364105,2,42186
28782,108331.050907272,864440.309364105,3,99438
28845,87098.2111873033,866160.12564947,1,42281
28845,87098.2111873033,866160.12564947,2,42280
28845,87098.2111873033,866160.12564947,3,41033
28875,56538.6906834352,867525.535746369,1,42328
28875,56538.6906834352,867525.535746369,2,42326
28875,56538.6906834352,867525.535746369,3,98950
28876,65279.988026382,867015.383226709,1,42327
28876,65279.988026382,867015.383226709,2,41035
28876,65279.988026382,867015.383226709,3,98951
29183,116437.069147693,865364.071264942,1,42790
29183,116437.069147693,865364.071264942,2,42788
29183,116437.069147693,865364.071264942,3,98807
29184,120535.369457634,865293.990486837,1,42789
29184,120535.369457634,865293.990486837,2,41413
29184,120535.369457634,865293.990486837,3,42790
67039,228796.129603382,951780.849673123,1,98143
67039,228796.129603382,951780.849673123,2,98231
67039,228796.129603382,951780.849673123,3,127036
67040,52439.6993957105,893166.394206913,1,99136
67040,52439.6993957105,893166.394206913,2,98144
67041,231792.89408296,849844.592279271,1,98145
67041,231792.89408296,849844.592279271,2,99152
67042,213321.141011067,860220.822428117,1,99876
67042,213321.141011067,860220.822428117,2,98146
67043,247142.779769583,918416.552697815,1,98147
67043,247142.779769583,918416.552697815,2,98732
67043,247142.779769583,918416.552697815,3,98193
67044,241532.26998734,913941.989315687,1,98148
67044,241532.26998734,913941.989315687,2,102945
67044,241532.26998734,913941.989315687,3,98739
67045,251444.730183873,929429.836046502,1,98149
67045,251444.730183873,929429.836046502,2,100020
67046,227066.028259778,939613.36786833,1,98150
67046,227066.028259778,939613.36786833,2,100128
67046,227066.028259778,939613.36786833,3,100127
67047,168646.409510143,868471.56093794,1,98152
67047,168646.409510143,868471.56093794,2,98151
67048,167926.081727848,866750.182623858,1,98153
67048,167926.081727848,866750.182623858,2,98387
67049,168622.940704194,868367.923943767,1,98154
67049,168622.940704194,868367.923943767,2,98389
67049,168622.940704194,868367.923943767,3,98152
67050,169105.652532383,866539.884566547,1,98155
67050,169105.652532383,866539.884566547,2,98154
67050,169105.652532383,866539.884566547,3,99021
67051,231830.195107804,901781.251660093,1,98780
67051,231830.195107804,901781.251660093,2,98156
67052,231846.029269441,902376.813239056,1,98158
67052,231846.029269441,902376.813239056,2,98887
