rn,seq,eid,rev,nodea,nodeb
0,1,94771,False,67000,64779
0,2,181994,True,124571,67000
0,3,98130,True,67030,124571
0,4,98088,True,66999,67030
0,5,98125,True,67026,66999
0,6,224665,True,153920,67026
0,7,224544,True,153829,153920
0,8,98086,True,66998,153829
0,9,98085,False,64779,66998
1,1,94169,False,64364,64363
1,2,94171,False,67028,64364
1,3,98128,True,67027,67028
1,4,225096,True,154228,67027
1,5,224781,True,154003,154228
1,6,98126,True,67026,154003
1,7,98125,False,66999,67026
1,8,98088,False,67030,66999
1,9,182074,True,124625,67030
1,10,98131,True,67029,124625
1,11,98129,False,64475,67029
1,12,94325,False,67015,64475
1,13,98110,False,67014,67015
1,14,98108,False,64363,67014
2,1,94177,False,64370,64369
2,2,98115,True,67019,64370
2,3,98124,True,67025,67019
2,4,94324,True,64476,67025
2,5,94323,True,64475,64476
2,6,98129,True,67029,64475
2,7,94179,True,64369,67029
3,1,94323,False,64476,64475
3,2,98106,True,67013,64476
3,3,98109,True,67015,67013
3,4,94325,True,64475,67015
4,1,94173,False,67014,64367
4,2,98110,True,67015,67014
4,3,98109,False,67013,67015
4,4,98107,True,67012,67013
4,5,98105,False,64367,67012
5,1,94165,True,64360,64367
5,2,94166,True,64362,64360
5,3,94168,True,64363,64362
5,4,98108,True,67014,64363
5,5,94173,True,64367,67014
6,1,94167,True,64361,64362
6,2,94170,True,64364,64361
6,3,94169,True,64363,64364
6,4,94168,False,64362,64363
7,1,94165,False,64367,64360
7,2,98105,True,67012,64367
7,3,94174,True,64366,67012
7,4,94172,False,64368,64366
7,5,94176,True,64365,64368
7,6,98127,True,67028,64365
7,7,94171,True,64364,67028
7,8,94170,False,64361,64364
7,9,94167,False,64362,64361
7,10,94166,False,64360,64362
8,1,94174,False,67012,64366
8,2,98107,False,67013,67012
8,3,98106,False,64476,67013
8,4,94324,False,67025,64476
8,5,98124,False,67019,67025
8,6,98116,False,67018,67019
8,7,98114,False,64366,67018
9,1,93926,True,64184,67018
9,2,98111,True,67016,64184
9,3,94175,True,64368,67016
9,4,94172,True,64366,64368
9,5,98114,True,67018,64366
10,1,93926,False,67018,64184
10,2,98116,True,67019,67018
10,3,98115,False,64370,67019
10,4,94178,False,66390,64370
10,5,97185,False,67017,66390
10,6,98122,True,67024,67017
10,7,98113,True,67016,67024
10,8,98111,False,64184,67016
11,1,98112,False,67023,67017
11,2,98121,True,67021,67023
11,3,98118,True,67020,67021
11,4,98117,False,67022,67020
11,5,225097,True,154229,67022
11,6,98123,True,67024,154229
11,7,98122,False,67017,67024
12,1,93832,False,67031,64109
12,2,98134,True,67032,67031
12,3,98133,False,64494,67032
12,4,94351,False,67020,64494
12,5,98118,False,67021,67020
12,6,98121,False,67023,67021
12,7,98120,False,66388,67023
12,8,97183,False,66389,66388
12,9,97182,False,64109,66389
13,1,97183,True,66388,66389
13,2,98120,True,67023,66388
13,3,98112,True,67017,67023
13,4,97185,True,66390,67017
13,5,97184,False,66389,66390
14,1,93830,True,64108,64111
14,2,93831,True,64109,64108
14,3,97182,True,66389,64109
14,4,97184,True,66390,66389
14,5,94178,True,64370,66390
14,6,94177,True,64369,64370
14,7,183352,True,125487,64369
14,8,93833,True,64111,125487
15,1,93830,False,64111,64108
15,2,98136,True,67034,64111
15,3,93834,True,64110,67034
15,4,98138,True,67035,64110
15,5,98132,True,67031,67035
15,6,93832,True,64109,67031
15,7,93831,False,64108,64109
16,1,93834,False,67034,64110
16,2,98137,True,67033,67034
16,3,98135,False,66411,67033
16,4,97216,False,67036,66411
16,5,98140,True,67035,67036
16,6,98138,False,64110,67035
17,1,97214,False,67032,66410
17,2,98134,False,67031,67032
17,3,98132,False,67035,67031
17,4,98140,False,67036,67035
17,5,98139,False,67037,67036
17,6,98141,False,66410,67037
18,1,96048,False,66410,65641
18,2,98141,True,67037,66410
18,3,98139,True,67036,67037
18,4,97216,True,66411,67036
18,5,97215,False,65641,66411
19,1,94347,True,64491,65641
19,2,94348,True,64493,64491
19,3,94350,True,64494,64493
19,4,98133,True,67032,64494
19,5,97214,True,66410,67032
19,6,96048,True,65641,66410
20,1,94349,True,64492,64493
20,2,94354,True,64496,64492
20,3,225627,True,154587,64496
20,4,98119,True,67022,154587
20,5,98117,True,67020,67022
20,6,94351,True,64494,67020
20,7,94350,False,64493,64494
21,1,94348,False,64491,64493
21,2,94353,True,64495,64491
21,3,94356,True,64498,64495
21,4,94352,True,64492,64498
21,5,94349,False,64493,64492
22,1,94352,False,64498,64492
22,2,94357,True,64497,64498
22,3,96043,True,65637,64497
22,4,224881,True,154076,65637
22,5,224883,True,154077,154076
22,6,94355,True,64496,154077
22,7,94354,False,64492,64496
23,1,94384,False,64510,64518
23,2,97217,True,66412,64510
23,3,97187,True,66391,66412
23,4,97186,False,64529,66391
23,5,94401,False,64522,64529
23,6,94391,False,64518,64522
24,1,94359,False,64528,64499
24,2,94402,False,66391,64528
24,3,97187,False,66412,66391
24,4,97217,False,64510,66412
24,5,94376,False,64511,64510
24,6,94375,False,64499,64511
25,1,94359,True,64499,64528
25,2,94375,True,64511,64499
25,3,94377,True,64512,64511
25,4,94361,True,64501,64512
25,5,94360,False,64500,64501
25,6,94400,True,64528,64500
26,1,94373,True,64509,66122
26,2,94423,True,64544,64509
26,3,94378,True,64513,64544
26,4,94374,True,64510,64513
26,5,94384,True,64518,64510
26,6,94386,True,64519,64518
26,7,96778,True,66122,64519
27,1,94374,False,64513,64510
27,2,94413,True,64537,64513
27,3,94412,True,64536,64537
27,4,94379,True,64512,64536
27,5,94377,False,64511,64512
27,6,94376,True,64510,64511
28,1,94380,True,64514,64619
28,2,94532,True,64618,64514
28,3,95640,True,65362,64618
28,4,94394,True,64524,65362
28,5,94395,True,64525,64524
28,6,97226,True,66418,64525
28,7,95062,True,64983,66418
28,8,95054,True,64977,64983
28,9,95042,True,64969,64977
28,10,95043,True,64970,64969
28,11,94534,True,64619,64970
29,1,94385,False,65363,64517
29,2,95643,False,65364,65363
29,3,97220,True,66414,65364
29,4,97219,True,66413,66414
29,5,97218,False,66100,66413
29,6,96747,False,66101,66100
29,7,96746,False,64521,66101
29,8,94390,False,64517,64521
30,1,97219,False,66414,66413
30,2,97651,True,66699,66414
30,3,97222,True,66415,66699
30,4,97221,False,66413,66415
31,1,95645,False,66392,65364
31,2,97190,False,66700,66392
31,3,97653,False,66699,66700
31,4,97651,False,66414,66699
31,5,97220,False,65364,66414
32,1,94530,False,66393,64616
32,2,97652,True,66700,66393
32,3,97190,True,66392,66700
32,4,97188,False,65365,66392
32,5,95644,False,64616,65365
33,1,97189,False,66415,66393
33,2,97222,False,66699,66415
33,3,97653,True,66700,66699
33,4,97652,False,66393,66700
34,1,94385,True,64517,65363
34,2,94390,True,64521,64517
34,3,94389,False,64520,64521
34,4,94388,True,64519,64520
34,5,94386,False,64518,64519
34,6,94391,True,64522,64518
34,7,94392,True,64523,64522
34,8,95638,True,65360,64523
34,9,95642,True,65363,65360
