nid,x,y,nseq,eid
29373,504342.245315721,216025.188593265,1,43066
29373,504342.245315721,216025.188593265,2,97261
29373,504342.245315721,216025.188593265,3,43338
29422,510912.02330515,129895.185554663,1,43130
29422,510912.02330515,129895.185554663,2,94734
29422,510912.02330515,129895.185554663,3,43421
29435,506951.733949754,181683.363752625,1,43147
29435,506951.733949754,181683.363752625,2,95014
29435,506951.733949754,181683.363752625,3,43742
29448,513163.127594798,100049.761348331,1,43166
29448,513163.127594798,100049.761348331,2,43632
29448,513163.127594798,100049.761348331,3,43555
29468,503955.002355028,221895.334954798,1,43215
29468,503955.002355028,221895.334954798,2,43193
29484,503981.655510027,221338.768909466,1,43191
29484,503981.655510027,221338.768909466,2,94956
29484,503981.655510027,221338.768909466,3,43215
29507,568861.783234822,88885.7388563983,1,43251
29507,568861.783234822,88885.7388563983,2,97539
29507,568861.783234822,88885.7388563983,3,43611
29566,504080.555003384,219642.527412431,1,43339
29566,504080.555003384,219642.527412431,2,94951
29566,504080.555003384,219642.527412431,3,43337
29605,507747.319023257,170882.187823577,1,43393
29605,507747.319023257,170882.187823577,2,94719
29605,507747.319023257,170882.187823577,3,43396
29607,508791.061711906,157616.932491571,1,43397
29607,508791.061711906,157616.932491571,2,94717
29607,508791.061711906,157616.932491571,3,43399
29612,509213.882498444,152058.679094711,1,43402
29612,509213.882498444,152058.679094711,2,43420
29612,509213.882498444,152058.679094711,3,43407
29620,509825.052183058,144035.875586477,1,43408
29620,509825.052183058,144035.875586477,2,94721
29620,509825.052183058,144035.875586477,3,43420
29683,503867.517821399,228875.019451305,1,43515
29683,503867.517821399,228875.019451305,2,43517
29683,503867.517821399,228875.019451305,3,180077
29684,503918.546103854,225866.735835879,1,43516
29684,503918.546103854,225866.735835879,2,43193
29684,503918.546103854,225866.735835879,3,43517
29710,511950.587407213,116119.328407602,1,43556
29710,511950.587407213,116119.328407602,2,95884
29710,511950.587407213,116119.328407602,3,43554
29747,558372.143619545,88639.6791396424,1,94785
29747,558372.143619545,88639.6791396424,2,43619
29747,558372.143619545,88639.6791396424,3,43613
29751,545635.289861042,88496.4190057756,1,43618
29751,545635.289861042,88496.4190057756,2,43619
29751,545635.289861042,88496.4190057756,3,43617
29760,525846.649546163,88561.7353702554,1,94916
29760,525846.649546163,88561.7353702554,2,43633
29760,525846.649546163,88561.7353702554,3,43631
29761,513467.141845021,95757.4698804368,1,43629
29761,513467.141845021,95757.4698804368,2,93978
29761,513467.141845021,95757.4698804368,3,43632
29823,504917.185366187,208161.838596695,1,43218
29823,504917.185366187,208161.838596695,2,95775
29823,504917.185366187,208161.838596695,3,43726
29830,505934.529627889,194901.458040651,1,43727
29830,505934.529627889,194901.458040651,2,95773
29830,505934.529627889,194901.458040651,3,43736
29833,506948.879010965,181720.406233548,1,43737
29833,506948.879010965,181720.406233548,2,43742
29833,506948.879010965,181720.406233548,3,43741
29854,389616.64581884,140724.472455584,1,43766
29854,389616.64581884,140724.472455584,2,216359
29854,389616.64581884,140724.472455584,3,218362
29854,389616.64581884,140724.472455584,4,96692
29855,390248.684724764,141362.82026411,1,43768
