rn,seq,eid,rev,nodea,nodeb
0,1,92347,True,62994,63327
0,2,92405,True,63042,62994
0,3,93030,True,63495,63042
0,4,92749,True,63295,63495
0,5,92348,True,62996,63295
0,6,92350,True,62997,62996
0,7,93049,True,63508,62997
0,8,92794,True,63327,63508
1,1,92349,False,63513,62995
1,2,93656,True,63967,63513
1,3,93057,True,63511,63967
1,4,93053,False,63510,63511
1,5,93055,True,63512,63510
1,6,93054,False,63095,63512
1,7,92480,False,63509,63095
1,8,93051,True,63508,63509
1,9,93049,False,62997,63508
1,10,92351,False,62995,62997
2,1,92794,False,63508,63327
2,2,93051,False,63509,63508
2,3,93050,False,64007,63509
2,4,93712,False,63328,64007
2,5,92796,False,63327,63328
3,1,92347,False,63327,62994
3,2,92796,True,63328,63327
3,3,92795,False,63044,63328
3,4,92408,False,62994,63044
4,1,92749,False,63495,63295
4,2,93032,False,63514,63495
4,3,93060,True,63515,63514
4,4,93059,False,63295,63515
5,1,92406,False,63494,63042
5,2,93029,True,63493,63494
5,3,93027,False,63212,63493
5,4,92637,False,63215,63212
5,5,92636,False,63094,63215
5,6,92706,False,63496,63094
5,7,93058,True,63514,63496
5,8,93032,True,63495,63514
5,9,93030,False,63042,63495
6,1,92405,False,62994,63042
6,2,92408,True,63044,62994
6,3,92407,False,63045,63044
6,4,92410,True,63043,63045
6,5,92481,True,63096,63043
6,6,93073,True,63525,63096
6,7,93028,True,63494,63525
6,8,92406,True,63042,63494
7,1,92384,True,63025,63095
7,2,92409,True,63045,63025
7,3,92407,True,63044,63045
7,4,92795,True,63328,63044
7,5,93712,True,64007,63328
7,6,93050,True,63509,64007
7,7,92480,True,63095,63509
8,1,92348,False,63295,62996
8,2,93059,True,63515,63295
8,3,93047,True,63507,63515
8,4,92751,True,63296,63507
8,5,92750,False,62996,63296
9,1,92349,True,62995,63513
9,2,92351,True,62997,62995
9,3,92350,False,62996,62997
9,4,92750,True,63296,62996
9,5,93043,True,63504,63296
9,6,93056,True,63513,63504
10,1,92751,False,63507,63296
10,2,93048,True,63506,63507
10,3,93046,False,63469,63506
10,4,92995,False,63505,63469
10,5,93045,True,63504,63505
10,6,93043,False,63296,63504
11,1,92708,False,63506,63265
11,2,93048,False,63507,63506
11,3,93047,False,63515,63507
11,4,93060,False,63514,63515
