nid,x,y,nseq,eid
62974,511124.366954205,180666.892663318,1,92324
62974,511124.366954205,180666.892663318,2,92328
62974,511124.366954205,180666.892663318,3,93683
62975,416316.585920691,39006.9081089569,1,92325
62975,416316.585920691,39006.9081089569,2,93194
62976,366239.803798537,-5198.50618029086,1,92326
62976,366239.803798537,-5198.50618029086,2,92463
62977,491575.146531534,176698.115203541,1,92327
62977,491575.146531534,176698.115203541,2,92374
62977,491575.146531534,176698.115203541,3,92376
62977,491575.146531534,176698.115203541,4,92336
62978,511521.83480399,159796.95114957,1,92329
62978,511521.83480399,159796.95114957,2,92591
62978,511521.83480399,159796.95114957,3,92594
62979,514965.61479658,160455.512950624,1,92330
62979,514965.61479658,160455.512950624,2,92329
62979,514965.61479658,160455.512950624,3,92328
62980,525028.072010735,162413.836282488,1,92331
62980,525028.072010735,162413.836282488,2,92330
62980,525028.072010735,162413.836282488,3,93508
62981,426836.936524894,58080.7515432039,1,93067
62981,426836.936524894,58080.7515432039,2,92332
62982,402325.63594003,10728.3271956282,1,92333
62982,402325.63594003,10728.3271956282,2,92651
62982,402325.63594003,10728.3271956282,3,92823
62983,449302.808811318,176400.211265728,1,92334
62983,449302.808811318,176400.211265728,2,92903
62983,449302.808811318,176400.211265728,3,92657
62984,501224.306447742,178584.785133219,1,93683
62984,501224.306447742,178584.785133219,2,92335
62984,501224.306447742,178584.785133219,3,92327
62984,501224.306447742,178584.785133219,4,92607
62985,486317.904900687,195647.721392708,1,92337
62985,486317.904900687,195647.721392708,2,92336
62985,486317.904900687,195647.721392708,3,92606
62986,574018.996221458,291984.345341176,1,93099
62986,574018.996221458,291984.345341176,2,92338
62987,385037.380725837,6538.28197374219,1,92339
62987,385037.380725837,6538.28197374219,2,92645
62987,385037.380725837,6538.28197374219,3,92473
62988,535266.184423159,156740.357932994,1,92340
62988,535266.184423159,156740.357932994,2,93300
62989,394544.384301658,44219.8820134994,1,92341
62989,394544.384301658,44219.8820134994,2,92389
62990,406345.339643543,20556.4264322472,1,92342
62990,406345.339643543,20556.4264322472,2,92722
62991,448417.799542412,91211.68435527,1,93361
62991,448417.799542412,91211.68435527,2,92343
62992,401375.501401947,16873.9286832168,1,92984
62992,401375.501401947,16873.9286832168,2,92345
62992,401375.501401947,16873.9286832168,3,92820
62993,404128.275115312,13296.4565964358,1,92386
62993,404128.275115312,13296.4565964358,2,92344
62993,404128.275115312,13296.4565964358,3,92333
62993,404128.275115312,13296.4565964358,4,92346
62994,410941.034994377,64941.0508362632,1,92405
62994,410941.034994377,64941.0508362632,2,92408
62994,410941.034994377,64941.0508362632,3,92347
62995,412067.734872566,67835.2666049555,1,92349
62995,412067.734872566,67835.2666049555,2,92351
62996,412134.373879542,67271.7142205577,1,92750
62996,412134.373879542,67271.7142205577,2,92348
62996,412134.373879542,67271.7142205577,3,92350
62997,412130.736268066,67407.3442510729,1,92350
62997,412130.736268066,67407.3442510729,2,93049
62997,412130.736268066,67407.3442510729,3,92351
62998,402700.287381551,21148.6519738106,1,92352
62998,402700.287381551,21148.6519738106,2,92826
62998,402700.287381551,21148.6519738106,3,92718
62999,407549.632195337,19593.3242119367,1,92418
62999,407549.632195337,19593.3242119367,2,92355
62999,407549.632195337,19593.3242119367,3,92353
63000,406412.734457678,19268.4162509821,1,92353
63000,406412.734457678,19268.4162509821,2,92990
63000,406412.734457678,19268.4162509821,3,92354
63001,522317.733913901,146883.671649505,1,92356
63001,522317.733913901,146883.671649505,2,92744
63002,468623.89243265,145866.668576004,1,92357
63002,468623.89243265,145866.668576004,2,92900
63002,468623.89243265,145866.668576004,3,92908
63003,448045.629576982,131000.645628999,1,92358
63003,448045.629576982,131000.645628999,2,92948
