rn,seq,eid,rev,nodea,nodeb
0,1,107479,True,73471,73472
0,2,107487,True,73477,73471
0,3,107484,True,73476,73477
0,4,107481,True,73473,73476
0,5,107480,False,73472,73473
1,1,107481,False,73476,73473
1,2,107485,True,73475,73476
1,3,107483,False,73474,73475
1,4,107539,True,73513,73474
1,5,107486,True,73473,73513
2,1,103816,False,73475,71020
2,2,107485,False,73476,73475
2,3,107484,False,73477,73476
2,4,107489,True,73478,73477
2,5,107490,True,73479,73478
2,6,107488,True,73272,73479
2,7,107161,False,71020,73272
3,1,106367,False,72964,72769
3,2,107491,True,73479,72964
3,3,107490,False,73478,73479
3,4,107489,False,73477,73478
3,5,107487,False,73471,73477
3,6,107479,False,73472,73471
3,7,107478,False,72771,73472
3,8,106370,False,72769,72771
4,1,103816,True,71020,73475
4,2,107161,True,73272,71020
4,3,107160,True,73271,73272
4,4,107482,True,73474,73271
4,5,107483,True,73475,73474
5,1,107443,False,73480,73448
5,2,109279,True,74665,73480
5,3,109276,True,74663,74665
5,4,110362,True,75335,74663
5,5,107495,True,73482,75335
5,6,107494,True,73481,73482
5,7,107493,False,73448,73481
6,1,110358,True,75331,75331
6,1,107444,False,73481,73447
6,1,110360,True,75333,75333
6,1,110357,True,75330,75330
6,1,110359,True,75332,75332
6,2,107494,False,73482,73481
6,3,107495,False,75335,73482
6,4,110363,True,75334,75335
6,5,110361,False,73447,75334
7,1,103281,False,73448,70635
7,2,107493,True,73481,73448
7,3,107444,True,73447,73481
7,4,107442,False,73446,73447
7,5,108061,True,73866,73446
7,6,108055,True,73862,73866
7,7,108057,True,73863,73862
7,8,107441,True,73445,73863
7,9,107439,False,70635,73445
8,1,105204,True,71985,72348
8,2,107511,True,73492,71985
8,3,107507,True,73490,73492
8,4,105746,True,72348,73490
9,1,104472,False,71492,71490
9,2,104476,True,71491,71492
9,3,104869,True,71765,71491
9,4,104478,True,71494,71765
9,5,104474,True,71490,71494
10,1,104474,False,71494,71490
10,2,104479,True,71493,71494
10,3,104477,False,71388,71493
10,4,104480,True,71490,71388
11,1,103823,False,71024,71026
11,2,103967,False,71388,71024
11,3,104477,True,71493,71388
11,4,104326,True,71026,71493
12,1,104326,False,71493,71026
12,2,104483,True,71496,71493
12,3,104867,True,71763,71496
12,4,104482,True,71495,71763
12,5,104481,False,71026,71495
13,1,104478,False,71765,71494
13,2,104870,True,71764,71765
13,3,107496,True,73483,71764
13,4,107503,True,73488,73483
13,5,104868,True,71763,73488
13,6,104867,False,71496,71763
13,7,104483,False,71493,71496
13,8,104479,False,71494,71493
14,1,104461,False,73484,71483
14,2,107499,True,73485,73484
14,3,107498,True,73483,73485
14,4,107496,False,71764,73483
14,5,104870,False,71765,71764
14,6,104869,False,71491,71765
14,7,104473,False,71483,71491
15,1,104458,False,71482,71481
15,2,107497,True,73484,71482
15,3,104461,True,71483,73484
15,4,104460,True,71481,71483
16,1,104460,False,71483,71481
16,2,104473,True,71491,71483
16,3,104463,True,71484,71491
16,4,104462,True,71481,71484
17,1,104462,False,71484,71481
17,2,107510,True,73491,71484
17,3,104466,True,71486,73491
17,4,104465,True,71485,71486
17,5,104464,False,71481,71485
18,1,104214,False,71785,71312
18,2,104900,True,71482,71785
18,3,104459,False,71786,71482
18,4,104899,True,71784,71786
18,5,106344,True,72754,71784
18,6,105286,True,72042,72754
18,7,104896,True,71312,72042
19,1,104327,True,71389,71485
19,2,104898,True,71786,71389
19,3,104459,True,71482,71786
19,4,104458,True,71481,71482
19,5,104464,True,71485,71481
20,1,104897,False,72749,71785
20,2,106341,False,73486,72749
20,3,107501,True,73485,73486
20,4,107499,False,73484,73485
20,5,107497,False,71482,73484
20,6,104900,False,71785,71482
21,1,106340,False,71501,72751
21,2,107504,True,73488,71501
21,3,107503,False,73483,73488
21,4,107498,False,73485,73483
21,5,107501,False,73486,73485
21,6,107500,False,72751,73486
21,7,105851,False,72417,72417
22,1,105851,True,72417,72417
23,1,104482,False,71763,71495
23,2,104868,False,73488,71763
23,3,107504,False,71501,73488
23,4,104490,False,73489,71501
23,5,111255,True,75913,73489
23,6,107506,True,73152,75913
23,7,106975,False,71495,73152
24,1,104490,True,71501,73489
24,2,106340,True,72751,71501
24,3,106338,True,72750,72751
24,4,110405,True,75364,72750
24,5,107505,True,73489,75364
25,1,107505,False,75364,73489
25,2,110406,False,75363,75364
25,3,110404,False,75336,75363
25,4,111256,True,75913,75336
25,5,111255,False,73489,75913
26,1,104500,False,73152,71509
26,2,107506,False,75913,73152
26,3,111256,False,75336,75913
26,4,110365,False,71509,75336
27,1,108827,False,71509,74375
27,2,110365,True,75336,71509
27,3,110404,True,75363,75336
27,4,110402,True,75362,75363
27,5,110364,True,74374,75362
27,6,108828,False,74375,74374
28,1,103817,False,70990,71022
28,2,107509,True,73490,70990
28,3,107508,True,71021,73490
28,4,103818,False,71022,71021
29,1,103818,True,71021,71022
29,2,106698,True,72972,71021
29,3,103819,True,71022,72972
30,1,104463,False,71491,71484
30,2,104476,False,71492,71491
30,3,104475,False,72975,71492
30,4,106705,False,72976,72975
30,5,106704,False,72972,72976
30,6,106698,False,71021,72972
30,7,107508,False,73490,71021
30,8,107507,False,73492,73490
30,9,107512,True,73491,73492
30,10,107510,False,71484,73491
31,1,103775,False,72347,70990
31,2,105747,False,72348,72347
31,3,105746,False,73490,72348
31,4,107509,False,70990,73490
32,1,104055,True,71199,75393
32,2,106369,True,72771,71199
32,3,107478,True,73472,72771
32,4,107480,True,73473,73472
32,5,107520,True,73498,73473
32,6,107522,True,73499,73498
32,7,104056,True,71200,73499
32,8,110449,True,75393,71200
33,1,104492,False,73500,71503
33,2,107530,True,73506,73500
33,3,107524,True,73499,73506
33,4,107522,False,73498,73499
33,5,107521,True,73497,73498
33,6,107519,False,71508,73497
33,7,104498,False,71504,71508
33,8,104493,False,71503,71504
34,1,107526,True,73502,73502
34,1,107514,False,73505,73493
34,1,107527,True,73503,73503
34,1,107528,True,73504,73504
34,1,107525,True,73501,73501
34,2,109764,True,74963,73505
34,3,109762,True,74962,74963
34,4,107531,True,73506,74962
34,5,107530,False,73500,73506
34,6,107523,False,73496,73500
34,7,107518,False,73493,73496
35,1,107514,True,73493,73505
35,2,107518,True,73496,73493
35,3,107517,True,73495,73496
35,4,107515,False,73494,73495
35,5,107529,True,73505,73494
36,1,104495,False,73495,71506
36,2,107517,False,73496,73495
36,3,107516,False,71505,73496
36,4,104499,False,75337,71505
36,5,110366,False,71506,75337
37,1,104492,True,71503,73500
37,2,104493,True,71504,71503
37,3,104494,True,71505,71504
37,4,107516,True,73496,71505
37,5,107523,True,73500,73496
38,1,103820,False,71506,71023
38,2,110366,True,75337,71506
38,3,104499,True,71505,75337
38,4,104494,False,71504,71505
38,5,104498,True,71508,71504
38,6,107519,True,73497,71508
38,7,104497,True,71507,73497
38,8,104496,False,71023,71507
39,1,103820,True,71023,71506
39,2,104496,True,71507,71023
39,3,107540,True,73514,71507
39,4,107513,True,73494,73514
39,5,107515,True,73495,73494
39,6,104495,True,71506,73495
40,1,107536,True,73510,73510
40,1,104497,False,73497,71507
40,1,107538,True,73512,73512
40,1,107535,True,73509,73509
40,1,107537,True,73511,73511
40,2,107521,False,73498,73497
40,3,107520,False,73473,73498
40,4,107486,False,73513,73473
40,5,107541,True,73514,73513
40,6,107540,False,71507,73514
41,1,107543,True,73515,73758
41,2,107545,True,73517,73515
41,3,107544,False,73516,73517
41,4,107556,True,73525,73516
41,5,107552,True,73522,73525
41,6,107903,True,73758,73522
42,1,105735,False,70907,72341
42,2,107880,True,73741,70907
42,3,107914,True,73765,73741
42,4,107553,True,73523,73765
42,5,107549,True,73520,73523
42,6,107551,True,73521,73520
42,7,107550,False,73519,73521
42,8,107548,True,73518,73519
42,9,107546,False,72565,73518
42,10,106054,False,72341,72565
43,1,107477,False,73521,73470
43,2,107551,False,73520,73521
43,3,107549,False,73523,73520
43,4,107554,True,73522,73523
43,5,107552,False,73525,73522
43,6,107557,True,73524,73525
43,7,107555,False,73470,73524
44,1,107477,True,73470,73521
44,2,107555,True,73524,73470
44,3,107547,True,73519,73524
44,4,107550,True,73521,73519
45,1,106053,False,73518,72564
45,2,107548,False,73519,73518
45,3,107547,False,73524,73519
45,4,107557,False,73525,73524
45,5,107556,False,73516,73525
45,6,107542,False,73526,73516
45,7,108358,True,74058,73526
45,8,107559,True,72564,74058
46,1,106938,True,73126,73517
46,2,108357,True,74057,73126
46,3,107558,True,73526,74057
46,4,107542,True,73516,73526
46,5,107544,True,73517,73516
47,1,105736,False,72341,71841
47,2,106054,True,72565,72341
47,3,107546,True,73518,72565
47,4,106053,True,72564,73518
47,5,106052,False,71841,72564
48,1,105852,False,72419,72418
48,2,107562,True,73529,72419
48,3,106061,True,72571,73529
48,4,106060,True,72570,72571
48,5,110561,True,75467,72570
48,6,110562,True,75468,75467
48,7,105854,True,72418,75468
49,1,104939,False,73527,71812
49,2,107567,True,73532,73527
49,3,107563,True,73529,73532
49,4,107562,False,72419,73529
49,5,105853,False,73528,72419
49,6,107565,True,73530,73528
49,7,107564,False,71812,73530
50,1,106061,False,73529,72571
50,2,107563,False,73532,73529
50,3,107570,True,73534,73532
50,4,107568,True,73531,73534
50,5,107566,False,72571,73531
51,1,106060,False,72571,72570
51,1,106059,True,72569,72569
51,1,106058,True,72568,72568
51,2,107566,True,73531,72571
51,3,106062,True,72570,73531
52,1,107560,False,73533,73527
52,2,110368,True,75339,73533
52,3,107571,True,73534,75339
52,4,107570,False,73532,73534
52,5,107567,False,73527,73532
53,1,107577,True,73538,73541
53,2,107578,True,73539,73538
53,3,109725,True,74941,73539
53,4,110534,True,75450,74941
53,5,107580,True,73541,75450
54,1,107577,False,73541,73538
54,2,108453,True,74124,73541
54,3,107581,True,73540,74124
54,4,107719,True,73634,73540
54,5,107717,True,73633,73634
54,6,108678,True,74276,73633
54,7,107579,True,73539,74276
54,8,107578,False,73538,73539
55,1,105855,False,72423,72420
55,2,105860,True,72422,72423
55,3,105858,False,72421,72422
55,4,107575,True,73537,72421
55,5,107283,True,73349,73537
55,6,105857,True,72420,73349
56,1,105860,False,72423,72422
56,2,109722,True,74938,72423
56,3,109721,False,74486,74938
56,4,109004,False,71025,74486
56,5,105862,False,72424,71025
56,6,105861,False,72422,72424
57,1,103821,True,71024,74521
57,2,103823,True,71026,71024
57,3,103822,True,71025,71026
57,4,109004,True,74486,71025
57,5,109061,True,74521,74486
58,1,104501,False,71495,71510
58,2,106975,True,73152,71495
58,3,106974,False,71513,73152
58,4,104507,False,71510,71513
59,1,103822,False,71026,71025
59,2,104481,True,71495,71026
59,3,104501,True,71510,71495
59,4,103824,True,71025,71510
60,1,104500,True,71509,73152
60,2,108827,True,74375,71509
60,3,104634,True,71607,74375
60,4,104504,True,71512,71607
60,5,104506,True,71513,71512
60,6,106974,True,73152,71513
61,1,104503,True,71510,71511
61,2,104507,True,71513,71510
61,3,104506,False,71512,71513
61,4,104636,True,71608,71512
