nid,x,y,nseq,eid
51413,5866080.09559138,-171749.371634684,1,75520
51413,5866080.09559138,-171749.371634684,2,78096
51413,5866080.09559138,-171749.371634684,3,104944
52356,5892315.16615743,-172301.834099048,1,76871
52356,5892315.16615743,-172301.834099048,2,76870
52356,5892315.16615743,-172301.834099048,3,77569
52498,5843910.35759344,-171246.617759377,1,77082
52498,5843910.35759344,-171246.617759377,2,77081
52498,5843910.35759344,-171246.617759377,3,103182
52597,5858776.51012082,-171524.971159749,1,77227
52597,5858776.51012082,-171524.971159749,2,79407
52597,5858776.51012082,-171524.971159749,3,79409
52817,5882798.96828763,-172138.522790003,1,77570
52817,5882798.96828763,-172138.522790003,2,77572
52817,5882798.96828763,-172138.522790003,3,107860
52818,5890858.67607909,-172278.92940064,1,77569
52818,5890858.67607909,-172278.92940064,2,77566
52818,5890858.67607909,-172278.92940064,3,77570
52961,5930881.09052766,-172736.056783762,1,77779
52961,5930881.09052766,-172736.056783762,2,78602
53056,5845873.21092666,-171299.773375118,1,77919
53056,5845873.21092666,-171299.773375118,2,77918
53056,5845873.21092666,-171299.773375118,3,103184
53180,5863679.36911301,-171674.59016355,1,78104
53180,5863679.36911301,-171674.59016355,2,78103
53180,5863679.36911301,-171674.59016355,3,107863
53185,5868787.01416709,-171820.450714411,1,78113
53185,5868787.01416709,-171820.450714411,2,78111
53185,5868787.01416709,-171820.450714411,3,75520
53186,5873533.87690055,-171942.824457901,1,78112
53186,5873533.87690055,-171942.824457901,2,77690
53186,5873533.87690055,-171942.824457901,3,78113
53513,5904285.70155159,-172453.80254789,1,78601
53513,5904285.70155159,-172453.80254789,2,78600
53513,5904285.70155159,-172453.80254789,3,109891
53514,5904289.27568764,-172454.189021754,1,78603
53514,5904289.27568764,-172454.189021754,2,78601
53515,5930869.70404808,-172735.89655561,1,78602
53515,5930869.70404808,-172735.89655561,2,77786
53515,5930869.70404808,-172735.89655561,3,106390
53611,5797345.13179083,-169991.678317819,1,78757
53611,5797345.13179083,-169991.678317819,2,78755
53611,5797345.13179083,-169991.678317819,3,107689
53614,5803850.62697757,-170222.581142016,1,78760
53614,5803850.62697757,-170222.581142016,2,78759
53614,5803850.62697757,-170222.581142016,3,78757
54018,5820338.60044226,-170731.011984622,1,79381
54018,5820338.60044226,-170731.011984622,2,79380
54018,5820338.60044226,-170731.011984622,3,107693
54019,5849109.51724749,-171345.111626874,1,79383
54019,5849109.51724749,-171345.111626874,2,79385
54021,5849102.85720373,-171345.019917311,1,79385
54021,5849102.85720373,-171345.019917311,2,79384
54021,5849102.85720373,-171345.019917311,3,77919
54027,5828501.83187688,-170909.212191395,1,79395
54027,5828501.83187688,-170909.212191395,2,79393
54027,5828501.83187688,-170909.212191395,3,103845
54029,5835590.1956738,-171059.298267155,1,79398
54029,5835590.1956738,-171059.298267155,2,79396
54029,5835590.1956738,-171059.298267155,3,79395
54031,5841303.65437936,-171174.85496327,1,79400
54031,5841303.65437936,-171174.85496327,2,79399
54031,5841303.65437936,-171174.85496327,3,103844
54034,5850895.55630307,-171369.46850631,1,79406
54034,5850895.55630307,-171369.46850631,2,79404
54034,5850895.55630307,-171369.46850631,3,79383
54037,5856624.70000279,-171477.439417496,1,79409
54037,5856624.70000279,-171477.439417496,2,79410
54037,5856624.70000279,-171477.439417496,3,79413
54039,5853540.52102269,-171409.925992555,1,79413
54039,5853540.52102269,-171409.925992555,2,79412
54039,5853540.52102269,-171409.925992555,3,79406
54077,5944411.90407232,-172856.348428967,1,79472
54077,5944411.90407232,-172856.348428967,2,79470
54077,5944411.90407232,-172856.348428967,3,107747
54078,5950537.03994853,-172941.377503533,1,79471
54078,5950537.03994853,-172941.377503533,2,77775
54078,5950537.03994853,-172941.377503533,3,107743
70443,5961093.03751521,116007.115320905,1,103044
70443,5961093.03751521,116007.115320905,2,105633
70443,5961093.03751521,116007.115320905,3,106716
70444,6034963.28042969,6773.27863343554,1,103045
70444,6034963.28042969,6773.27863343554,2,109525
70444,6034963.28042969,6773.27863343554,3,109814
70445,6152335.19137802,-40626.4101819939,1,103046
70445,6152335.19137802,-40626.4101819939,2,107147
70445,6152335.19137802,-40626.4101819939,3,107153
70446,6083043.48102056,-130617.216472117,1,103047
70446,6083043.48102056,-130617.216472117,2,106709
70447,6090918.79807383,-125350.443509752,1,103048
70447,6090918.79807383,-125350.443509752,2,103201
70447,6090918.79807383,-125350.443509752,3,103401
70447,6090918.79807383,-125350.443509752,4,105044
70448,6095038.7460164,-126812.6159214,1,103049
70448,6095038.7460164,-126812.6159214,2,107240
70448,6095038.7460164,-126812.6159214,3,105262
70449,5922766.43171028,39704.8905912712,1,103050
70449,5922766.43171028,39704.8905912712,2,103051
70450,5922733.13782582,38101.3275814066,1,103420
70450,5922733.13782582,38101.3275814066,2,103052
70450,5922733.13782582,38101.3275814066,3,103051
70451,5913127.17662948,40391.7934623997,1,103054
70451,5913127.17662948,40391.7934623997,2,110710
70452,5927682.38922473,49251.9218824482,1,103053
70452,5927682.38922473,49251.9218824482,2,103050
70452,5927682.38922473,49251.9218824482,3,103652
70453,6073077.40070588,-174915.848752675,1,106497
70453,6073077.40070588,-174915.848752675,2,103055
70454,5942483.49337946,-15123.1056306016,1,108619
70454,5942483.49337946,-15123.1056306016,2,103056
70455,5846160.62557287,-8464.47893119019,1,103057
70455,5846160.62557287,-8464.47893119019,2,104099
70455,5846160.62557287,-8464.47893119019,3,104103
70456,5846602.0040808,-117548.815852616,1,103058
70456,5846602.0040808,-117548.815852616,2,103841
70456,5846602.0040808,-117548.815852616,3,105288
70456,5846602.0040808,-117548.815852616,4,103135
70457,6051310.05459429,-112413.710806442,1,103059
70457,6051310.05459429,-112413.710806442,2,103060
70458,6048272.5111809,-110979.522380098,1,103061
70458,6048272.5111809,-110979.522380098,2,110047
70458,6048272.5111809,-110979.522380098,3,110062
70459,6051275.07759652,-112480.803155867,1,103060
70459,6051275.07759652,-112480.803155867,2,110016
70459,6051275.07759652,-112480.803155867,3,103062
70459,6051275.07759652,-112480.803155867,4,103061
70460,6051323.0828918,-112422.839583881,1,103065
70460,6051323.0828918,-112422.839583881,2,103063
70460,6051323.0828918,-112422.839583881,3,103059
70461,6052492.86592376,-113199.652365962,1,103064
70461,6052492.86592376,-113199.652365962,2,103063
70461,6052492.86592376,-113199.652365962,3,110052
70462,6087424.92075325,-74463.1526910011,1,103066
70462,6087424.92075325,-74463.1526910011,2,103138
