rn,seq,eid,rev,nodea,nodeb
0,1,111993,False,77540,76473
0,2,113566,False,78255,77540
0,3,114630,False,78257,78255
0,4,114631,False,78256,78257
0,5,114628,False,77923,78256
0,6,114135,False,77358,77923
0,7,113296,False,77362,77358
0,8,113302,False,77363,77362
0,9,113301,False,76473,77363
1,1,111863,True,76377,76378
1,2,113117,True,77242,76377
1,3,113295,True,77358,77242
1,4,114135,True,77923,77358
1,5,114136,True,77924,77923
1,6,111865,True,76379,77924
1,7,111864,False,76378,76379
2,1,113118,False,77360,77242
2,2,113710,True,77639,77360
2,3,113298,True,77359,77639
2,4,113299,True,77361,77359
2,5,113300,True,77362,77361
2,6,113296,True,77358,77362
2,7,113295,False,77242,77358
3,1,111993,True,76473,77540
3,2,111996,True,76476,76473
3,3,114157,True,77938,76476
3,4,114523,True,78187,77938
3,5,113562,True,77539,78187
3,6,113564,True,77540,77539
4,1,111994,False,76477,76474
4,2,111998,True,76476,76477
4,3,111996,False,76473,76476
4,4,113301,True,77363,76473
4,5,111999,True,76475,77363
4,6,112522,True,76843,76475
4,7,111995,True,76474,76843
5,1,111999,False,77363,76475
5,2,113302,True,77362,77363
5,3,113300,False,77361,77362
5,4,113304,True,77364,77361
5,5,113303,False,77086,77364
5,6,112882,False,76844,77086
5,7,112524,False,76843,76844
5,8,112522,False,76475,76843
6,1,111308,True,75947,76896
6,2,114668,True,78283,75947
6,3,111486,True,76095,78283
6,4,111488,True,76096,76095
6,5,112598,True,76896,76096
7,1,111489,False,78511,76096
7,2,115012,False,77367,78511
7,3,113310,False,77368,77367
7,4,113309,False,77329,77368
7,5,113251,False,76896,77329
7,6,112598,False,76096,76896
8,1,112005,False,77331,76480
8,2,114086,True,77889,77331
8,3,113255,True,77330,77889
8,4,113252,False,77329,77330
8,5,113309,True,77368,77329
8,6,113256,True,77332,77368
8,7,113254,True,77328,77332
8,8,113250,False,76480,77328
9,1,111866,True,76380,77328
9,2,113305,True,77365,76380
9,3,112004,True,76481,77365
9,4,112003,True,76480,76481
9,5,113250,True,77328,76480
10,1,112003,False,76481,76480
10,2,113311,True,77370,76481
10,3,113313,True,77371,77370
10,4,113253,True,77331,77371
10,5,112005,True,76480,77331
11,1,111487,True,76094,76095
11,2,113349,True,77394,76094
11,3,113331,True,77382,77394
11,4,113306,True,77366,77382
11,5,113308,True,77367,77366
11,6,115012,True,78511,77367
11,7,111489,True,76096,78511
11,8,111488,False,76095,76096
12,1,111866,False,77328,76380
12,2,113254,False,77332,77328
12,3,113256,False,77368,77332
12,4,113310,True,77367,77368
12,5,113308,False,77366,77367
12,6,113307,True,77365,77366
12,7,113305,False,76380,77365
13,1,111486,False,78283,76095
13,2,114669,False,78281,78283
13,3,114666,False,76685,78281
13,4,112294,False,76483,76685
13,5,112009,False,77395,76483
13,6,113351,False,77394,77395
13,7,113349,False,76094,77394
13,8,111487,False,76095,76094
14,1,113318,False,78684,77374
14,2,115274,True,77421,78684
14,3,113389,False,77434,77421
14,4,113411,False,77443,77434
14,5,113424,False,77444,77443
14,6,113423,False,76493,77444
14,7,113319,False,77374,76493
15,1,113312,True,77369,77370
15,2,113326,True,77379,77369
15,3,113323,True,77377,77379
15,4,114919,True,78451,77377
15,5,113317,True,77373,78451
15,6,113316,False,77372,77373
15,7,114808,True,78378,77372
15,8,114811,True,78380,78378
15,9,114822,True,78386,78380
15,10,114971,True,78485,78386
15,11,113315,True,77371,78485
15,12,113313,False,77370,77371
16,1,112022,False,76494,76493
16,2,113325,True,77378,76494
16,3,113342,True,77390,77378
16,4,113321,True,77375,77390
16,5,113320,False,77374,77375
16,6,113319,True,76493,77374
17,1,112025,False,77376,76494
17,2,113324,True,77377,77376
17,3,113323,False,77379,77377
17,4,113362,True,77403,77379
17,5,113327,True,77378,77403
17,6,113325,False,76494,77378
18,1,113307,False,77366,77365
18,2,113329,True,77380,77366
18,3,113340,True,77388,77380
18,4,113341,True,77389,77388
18,5,113328,True,77365,77389
19,1,113306,False,77382,77366
19,2,113332,True,77381,77382
19,3,113338,True,77387,77381
19,4,113337,True,77386,77387
19,5,113330,True,77380,77386
19,6,113329,False,77366,77380
20,1,113337,False,77387,77386
20,2,113346,True,77392,77387
20,3,113352,True,77396,77392
20,4,113388,True,77421,77396
20,5,115347,True,78732,77421
20,6,113339,True,77386,78732
21,1,113330,False,77386,77380
21,2,113339,False,78732,77386
21,3,115347,False,77421,78732
21,4,115274,False,78684,77421
21,5,115273,False,75962,78684
21,6,113343,False,77391,75962
21,7,113345,False,77388,77391
21,8,113340,False,77380,77388
22,1,111323,False,77375,75962
22,2,113321,False,77390,77375
22,3,113344,True,77389,77390
22,4,113341,False,77388,77389
22,5,113345,True,77391,77388
22,6,113343,True,75962,77391
23,1,111323,True,75962,77375
23,2,115273,True,78684,75962
23,3,113318,True,77374,78684
23,4,113320,True,77375,77374
24,1,112006,True,76482,76685
24,2,112293,True,76684,76482
24,3,112008,True,76484,76684
24,4,112007,True,76483,76484
24,5,112294,True,76685,76483
25,1,112007,False,76484,76483
25,2,113347,True,77393,76484
25,3,113350,True,77395,77393
25,4,112009,True,76483,77395
