nid,x,y,nseq,eid
54658,822609.466961171,-66780.0254307363,1,80275
54658,822609.466961171,-66780.0254307363,2,80538
54772,640996.115765593,-64760.8595181167,1,80435
54772,640996.115765593,-64760.8595181167,2,80433
54772,640996.115765593,-64760.8595181167,3,115452
54773,650532.199599185,-65009.0663235046,1,80434
54773,650532.199599185,-65009.0663235046,2,80137
54773,650532.199599185,-65009.0663235046,3,80435
54781,879213.077299308,-66358.2660563012,1,80447
54781,879213.077299308,-66358.2660563012,2,80445
54781,879213.077299308,-66358.2660563012,3,112165
54846,784386.809439412,-66692.0943610873,1,80539
54846,784386.809439412,-66692.0943610873,2,81138
54847,822609.340766783,-66780.0248863485,1,80538
54847,822609.340766783,-66780.0248863485,2,80540
54847,822609.340766783,-66780.0248863485,3,113835
54954,707879.799278145,-66087.5624880396,1,80692
54954,707879.799278145,-66087.5624880396,2,80429
54954,707879.799278145,-66087.5624880396,3,114403
55210,899234.758000345,-66055.7154606331,1,81080
55210,899234.758000345,-66055.7154606331,2,81074
55210,899234.758000345,-66055.7154606331,3,112168
55253,784385.768444924,-66692.0728170145,1,81138
55253,784385.768444924,-66692.0728170145,2,80984
55253,784385.768444924,-66692.0728170145,3,82148
55486,687205.260558802,-65797.1141666321,1,81486
55486,687205.260558802,-65797.1141666321,2,80693
55486,687205.260558802,-65797.1141666321,3,81488
55487,669574.702966829,-65453.3219624191,1,81488
55487,669574.702966829,-65453.3219624191,2,81487
55487,669574.702966829,-65453.3219624191,3,114401
55569,843226.609512204,-66678.8669027294,1,81608
55569,843226.609512204,-66678.8669027294,2,81606
55569,843226.609512204,-66678.8669027294,3,80275
55570,860939.835398677,-66546.9346130423,1,81607
55570,860939.835398677,-66546.9346130423,2,80258
55570,860939.835398677,-66546.9346130423,3,112818
55906,724569.768981677,-66245.7900025875,1,82113
55906,724569.768981677,-66245.7900025875,2,82111
55906,724569.768981677,-66245.7900025875,3,115572
55931,746187.331929407,-66500.1124172936,1,82149
55931,746187.331929407,-66500.1124172936,2,82147
55931,746187.331929407,-66500.1124172936,3,114142
55932,774832.664068271,-66684.6294314472,1,82148
