rn,seq,eid,rev,nodea,nodeb
0,1,119935,False,82417,81967
0,2,120601,False,82689,82417
0,3,121003,True,82687,82689
0,4,120999,False,82686,82687
0,5,121001,True,82688,82686
0,6,121000,False,82371,82688
0,7,120533,False,82693,82371
0,8,121008,True,82692,82693
0,9,121006,False,82106,82692
0,10,120140,False,82691,82106
0,11,121005,True,82690,82691
0,12,121010,True,82694,82690
0,13,121009,False,81967,82694
1,1,119016,False,82694,81338
1,2,121010,False,82690,82694
1,3,121005,False,82691,82690
1,4,121004,False,82617,82691
1,5,120896,False,82699,82617
1,6,121017,True,82698,82699
1,7,121015,True,82696,82698
1,8,121012,False,82695,82696
1,9,121014,True,82697,82695
1,10,121013,False,82687,82697
1,11,121003,False,82689,82687
1,12,121002,False,82418,82689
1,13,120603,False,82419,82418
1,14,120602,False,81338,82419
2,1,118609,False,81337,81048
2,2,119934,True,81967,81337
2,3,121009,True,82694,81967
2,4,119016,True,81338,82694
2,5,120602,True,82419,81338
2,6,119015,True,81048,82419
3,1,119014,False,81966,81337
3,2,120600,True,82417,81966
3,3,119935,True,81967,82417
3,4,119934,False,81337,81967
4,1,118607,False,80556,81047
4,2,118608,False,81048,80556
4,3,119015,False,82419,81048
4,4,120603,True,82418,82419
4,5,121002,True,82689,82418
4,6,120601,True,82417,82689
4,7,120600,False,81966,82417
4,8,119933,False,81047,81966
5,1,117930,False,81047,80556
5,2,119933,True,81966,81047
5,3,119014,True,81337,81966
5,4,118609,True,81048,81337
5,5,118608,True,80556,81048
6,1,117930,True,80556,81047
6,2,118607,True,81047,80556
7,1,118033,False,82461,80634
7,2,120667,False,82462,82461
7,3,120666,False,81049,82462
7,4,118611,False,82439,81049
7,5,120635,False,82440,82439
7,6,120634,False,82700,82440
7,7,121018,False,81779,82700
7,8,119655,False,80635,81779
7,9,118036,False,81297,80635
7,10,118958,False,80634,81297
8,1,119658,False,82440,81781
8,2,120635,True,82439,82440
8,3,120633,False,81781,82439
9,1,118612,False,81725,81050
9,2,119578,False,81726,81725
9,3,119577,False,81782,81726
9,4,119660,True,81780,81782
9,5,119656,False,81779,81780
9,6,121018,True,82700,81779
9,7,120634,True,82440,82700
9,8,119658,True,81781,82440
9,9,119657,False,81050,81781
10,1,118610,False,80681,81049
10,2,119146,True,81431,80681
10,3,119579,True,81727,81431
10,4,119576,True,81725,81727
10,5,118612,True,81050,81725
10,6,119657,True,81781,81050
10,7,120633,True,82439,81781
10,8,118611,True,81049,82439
11,1,82320,False,81011,56050
11,2,118559,True,81008,81011
11,3,118555,True,81007,81008
11,4,118554,False,81010,81007
11,5,119580,True,81728,81010
11,6,118560,True,81009,81728
11,7,118556,False,56050,81009
12,1,82164,False,82702,55942
12,2,121021,True,82701,82702
12,3,124768,True,85294,82701
12,4,121019,True,80457,85294
12,5,117808,False,81007,80457
12,6,118555,False,81008,81007
12,7,118559,False,81011,81008
12,8,118558,False,55942,81011
13,1,118613,True,81051,82678
13,2,120981,True,82675,81051
13,3,120985,True,82678,82675
14,1,118594,False,82705,81038
14,2,121025,True,82704,82705
14,3,121023,False,82703,82704
14,4,121030,True,82708,82703
14,5,121029,False,82675,82708
14,6,120981,False,81051,82675
14,7,121133,True,82778,81051
14,8,121135,True,82779,82778
14,9,121028,True,82707,82779
14,10,121027,True,82706,82707
14,11,121026,False,81348,82706
14,12,119027,False,81038,81348
15,1,117882,False,81349,80517
15,2,119030,False,81347,81349
15,3,119028,False,82706,81347
15,4,121027,False,82707,82706
15,5,121139,True,82782,82707
15,6,121288,True,82884,82782
15,7,121033,True,82710,82884
15,8,121280,True,82878,82710
15,9,121451,True,82992,82878
15,10,121453,True,82993,82992
15,11,121032,True,82709,82993
15,12,121031,False,82704,82709
15,13,121025,False,82705,82704
15,14,121024,False,81034,82705
15,15,118589,False,81035,81034
15,16,118588,False,80517,81035
16,1,118574,True,81022,81348
16,2,118591,True,81037,81022
16,3,118593,True,81038,81037
16,4,119027,True,81348,81038
17,1,118574,False,81348,81022
17,2,121026,True,82706,81348
17,3,119028,True,81347,82706
17,4,119030,True,81349,81347
17,5,119029,False,81036,81349
17,6,118592,False,81037,81036
17,7,118591,False,81022,81037
18,1,117882,True,80517,81349
18,2,118588,True,81035,80517
18,3,118590,True,81036,81035
18,4,119029,True,81349,81036
19,1,118589,True,81034,81035
19,2,121024,True,82705,81034
19,3,118594,True,81038,82705
19,4,118593,False,81037,81038
19,5,118592,True,81036,81037
19,6,118590,False,81035,81036
20,1,119972,False,81765,81993
20,2,122010,True,83374,81765
20,3,122002,True,83369,83374
20,4,121037,True,82714,83369
20,5,119977,True,81996,82714
20,6,119976,True,81995,81996
20,7,119975,False,81994,81995
20,8,120642,True,82446,81994
20,9,119974,True,81993,82446
21,1,119865,False,82715,81919
21,2,121161,True,82796,82715
21,3,121040,True,82712,82796
21,4,121096,True,82751,82712
