nid,x,y,nseq,eid
6802,331228.390470652,75569.9583057444,1,9728
6802,331228.390470652,75569.9583057444,2,11819
6802,331228.390470652,75569.9583057444,3,11825
6985,597909.659962368,74204.771913885,1,9973
6985,597909.659962368,74204.771913885,2,10907
6985,597909.659962368,74204.771913885,3,11515
7089,637707.540561867,74893.1533173353,1,10119
7089,637707.540561867,74893.1533173353,2,10117
7089,637707.540561867,74893.1533173353,3,120866
7212,349361.869716832,75160.2272974132,1,10291
7212,349361.869716832,75160.2272974132,2,10293
7212,349361.869716832,75160.2272974132,3,11805
7239,521549.535821082,73794.1972603331,1,10328
7239,521549.535821082,73794.1972603331,2,10321
7239,521549.535821082,73794.1972603331,3,120975
7306,377553.466339137,74704.1492596029,1,10427
7306,377553.466339137,74704.1492596029,2,10425
7306,377553.466339137,74704.1492596029,3,120640
7312,428914.990561144,74078.7917493364,1,10434
7312,428914.990561144,74078.7917493364,2,9749
7312,428914.990561144,74078.7917493364,3,122202
7313,402940.476847133,74393.1365170273,1,10436
7313,402940.476847133,74393.1365170273,2,10435
7313,402940.476847133,74393.1365170273,3,121045
7483,531328.962686941,73875.0641026188,1,10685
7483,531328.962686941,73875.0641026188,2,10683
7483,531328.962686941,73875.0641026188,3,10328
7484,565660.915402,74121.0691928226,1,10684
7484,565660.915402,74121.0691928226,2,10679
7484,565660.915402,74121.0691928226,3,121846
7529,694348.463782926,25607.3490375024,1,118100
7529,694348.463782926,25607.3490375024,2,10757
7529,694348.463782926,25607.3490375024,3,10750
7530,691348.579801067,20095.8932054655,1,10757
7530,691348.579801067,20095.8932054655,2,10751
7530,691348.579801067,20095.8932054655,3,10546
7704,497390.508407133,73815.8322462114,1,11001
7704,497390.508407133,73815.8322462114,2,10329
7704,497390.508407133,73815.8322462114,3,120974
7707,725822.689114317,21265.5436813581,1,11005
7707,725822.689114317,21265.5436813581,2,9925
7707,725822.689114317,21265.5436813581,3,11015
7708,736735.202154446,21634.0478542641,1,11008
7708,736735.202154446,21634.0478542641,2,11007
7708,736735.202154446,21634.0478542641,3,120735
7713,699381.102560196,20356.222049903,1,11016
7713,699381.102560196,20356.222049903,2,11018
7714,720488.517996342,21087.4433166553,1,11015
7714,720488.517996342,21087.4433166553,2,11006
7714,720488.517996342,21087.4433166553,3,120733
7715,699367.84349214,20355.8207139233,1,11018
7715,699367.84349214,20355.8207139233,2,11017
7715,699367.84349214,20355.8207139233,3,10751
8054,594068.498430953,74211.9597178965,1,11515
8054,594068.498430953,74211.9597178965,2,11514
8054,594068.498430953,74211.9597178965,3,120865
8159,707713.29152458,43307.1339973182,1,118102
8159,707713.29152458,43307.1339973182,2,11666
8159,707713.29152458,43307.1339973182,3,11665
8254,341489.840871895,75340.44636818,1,11805
8254,341489.840871895,75340.44636818,2,11816
8261,337551.522651535,75433.3071437656,1,11817
8261,337551.522651535,75433.3071437656,2,11815
8261,337551.522651535,75433.3071437656,3,121095
8262,341476.402524542,75340.7601680231,1,11816
8262,341476.402524542,75340.7601680231,2,11810
8262,341476.402524542,75340.7601680231,3,11817
8268,322584.041931961,75717.2879986144,1,11825
8268,322584.041931961,75717.2879986144,2,11827
8268,322584.041931961,75717.2879986144,3,11829
8270,310259.485622631,75991.1781198257,1,11829
8270,310259.485622631,75991.1781198257,2,121103
8287,468281.550918838,73804.2403351307,1,11853
8287,468281.550918838,73804.2403351307,2,11002
8287,468281.550918838,73804.2403351307,3,118576
8288,453975.344533215,73884.9947875564,1,11855
8288,453975.344533215,73884.9947875564,2,11854
8288,453975.344533215,73884.9947875564,3,118575
8311,700198.850813731,76061.2766832554,1,11887
8311,700198.850813731,76061.2766832554,2,11888
8311,700198.850813731,76061.2766832554,3,120343
8351,653702.09911408,75174.9511557916,1,11943
8351,653702.09911408,75174.9511557916,2,11941
8351,653702.09911408,75174.9511557916,3,118839
8352,685790.790907939,75781.4499952165,1,11942
8352,685790.790907939,75781.4499952165,2,11892
8352,685790.790907939,75781.4499952165,3,118846
45554,592146.380968696,455574.490274645,1,66687
45554,592146.380968696,455574.490274645,2,66688
45554,592146.380968696,455574.490274645,3,68754
45555,592259.553178344,453553.716312807,1,73714
45555,592259.553178344,453553.716312807,2,66689
45556,592309.052293552,455149.888933653,1,66690
45556,592309.052293552,455149.888933653,2,66689
45556,592309.052293552,455149.888933653,3,66688
45558,769157.729765544,158382.073046718,1,66692
45558,769157.729765544,158382.073046718,2,122172
46212,794057.321401408,135111.288405261,1,67648
46212,794057.321401408,135111.288405261,2,88358
46212,794057.321401408,135111.288405261,3,67982
46413,596851.709721188,434752.492405002,1,67934
46413,596851.709721188,434752.492405002,2,117859
46434,584058.018493993,483018.736364848,1,67962
46434,584058.018493993,483018.736364848,2,120186
46447,788566.205792996,142301.258851956,1,67982
46447,788566.205792996,142301.258851956,2,67981
46447,788566.205792996,142301.258851956,3,67983
46461,634645.814995745,396944.570509767,1,68002
46461,634645.814995745,396944.570509767,2,118767
46461,634645.814995745,396944.570509767,3,73975
46966,586371.37621892,465667.519708068,1,68748
46966,586371.37621892,465667.519708068,2,119919
46966,586371.37621892,465667.519708068,3,68753
47132,683257.19787821,348718.039475939,1,69516
47132,683257.19787821,348718.039475939,2,69022
47132,683257.19787821,348718.039475939,3,69021
47463,706507.383846974,337792.211548061,1,69505
47463,706507.383846974,337792.211548061,2,69536
47463,706507.383846974,337792.211548061,3,69507
47471,692877.153295647,345287.547336402,1,73505
47471,692877.153295647,345287.547336402,2,69516
47471,692877.153295647,345287.547336402,3,69515
47484,707513.68125673,335670.236271364,1,69498
47484,707513.68125673,335670.236271364,2,118260
47484,707513.68125673,335670.236271364,3,69536
47485,698991.877843462,322607.734910056,1,69539
47485,698991.877843462,322607.734910056,2,118438
47512,689688.735806286,286857.624373621,1,69577
47512,689688.735806286,286857.624373621,2,73076
47640,695018.861071607,300603.848967418,1,69769
47640,695018.861071607,300603.848967418,2,69765
47640,695018.861071607,300603.848967418,3,117828
47643,695022.518557581,300615.0887112,1,69770
47643,695022.518557581,300615.0887112,2,69769
47643,695022.518557581,300615.0887112,3,118368
49336,722007.615428867,235306.90284156,1,72404
49336,722007.615428867,235306.90284156,2,120317
49337,726289.257669899,239101.396084227,1,72405
49337,726289.257669899,239101.396084227,2,72404
49337,726289.257669899,239101.396084227,3,72403
49353,696974.347150236,304502.275221125,1,72429
49353,696974.347150236,304502.275221125,2,72428
49353,696974.347150236,304502.275221125,3,118371
49354,697155.228545213,304800.766337806,1,72431
49354,697155.228545213,304800.766337806,2,72429
49354,697155.228545213,304800.766337806,3,118486
49364,701497.610397395,310440.730720123,1,72449
49364,701497.610397395,310440.730720123,2,72444
49364,701497.610397395,310440.730720123,3,119653
49367,701813.895492931,316283.274804883,1,72445
49367,701813.895492931,316283.274804883,2,118492
49367,701813.895492931,316283.274804883,3,72448
49368,701631.817614644,310756.834084654,1,72450
49368,701631.817614644,310756.834084654,2,72449
49368,701631.817614644,310756.834084654,3,122307
49404,763135.319157632,196459.706563314,1,117823
49404,763135.319157632,196459.706563314,2,118741
49404,763135.319157632,196459.706563314,3,72503
49775,686010.87193237,274339.711209732,1,73958
49775,686010.87193237,274339.711209732,2,73077
49776,689558.613524468,286706.817350486,1,73076
49776,689558.613524468,286706.817350486,2,69576
49776,689558.613524468,286706.817350486,3,119821
49808,747757.313713268,223026.775918642,1,74105
49808,747757.313713268,223026.775918642,2,73126
49808,747757.313713268,223026.775918642,3,73124
49809,734197.045646435,232932.665651021,1,72406
49809,734197.045646435,232932.665651021,2,73126
49809,734197.045646435,232932.665651021,3,73125
50049,698727.401844838,342491.746415157,1,73504
50049,698727.401844838,342491.746415157,2,73931
50049,698727.401844838,342491.746415157,3,73505
50184,597246.266146055,436276.675702187,1,73712
50184,597246.266146055,436276.675702187,2,67934
50184,597246.266146055,436276.675702187,3,73713
50185,590074.545775898,449992.975578423,1,73715
50185,590074.545775898,449992.975578423,2,119917
50186,591679.17655314,452871.520320961,1,73714
50186,591679.17655314,452871.520320961,2,72521
50186,591679.17655314,452871.520320961,3,73715
50190,769931.121566435,160633.306686581,1,73721
50190,769931.121566435,160633.306686581,2,118409
50190,769931.121566435,160633.306686581,3,73722
50191,764403.154362567,165733.155196716,1,73724
50191,764403.154362567,165733.155196716,2,118411
50193,677590.659621992,349849.421783478,1,69022
50193,677590.659621992,349849.421783478,2,73727
50193,677590.659621992,349849.421783478,3,73725
50194,653872.241390313,376957.276002073,1,73646
50194,653872.241390313,376957.276002073,2,117878
50194,653872.241390313,376957.276002073,3,73726
50328,705550.312665642,338330.932408832,1,73930
50328,705550.312665642,338330.932408832,2,69507
50328,705550.312665642,338330.932408832,3,73932
50329,700696.86418257,341214.252406619,1,73932
50329,700696.86418257,341214.252406619,2,73931
50329,700696.86418257,341214.252406619,3,73928
50348,686091.511479269,273536.238463592,1,73075
50348,686091.511479269,273536.238463592,2,119288
50348,686091.511479269,273536.238463592,3,73958
50358,613542.878152644,418673.807010485,1,73119
50358,613542.878152644,418673.807010485,2,121228
50358,613542.878152644,418673.807010485,3,120334
50358,613542.878152644,418673.807010485,4,73974
50361,724781.39399786,240175.623048111,1,72403
50361,724781.39399786,240175.623048111,2,73980
50361,724781.39399786,240175.623048111,3,73978
50362,701186.246870039,252680.39030495,1,73959
50362,701186.246870039,252680.39030495,2,120917
50362,701186.246870039,252680.39030495,3,73979
50408,767121.50856938,170873.053794806,1,74047
50408,767121.50856938,170873.053794806,2,74046
50408,767121.50856938,170873.053794806,3,118064
50409,767270.971767393,170968.589088722,1,74049
50409,767270.971767393,170968.589088722,2,74047
50410,772310.514656193,178667.685919398,1,73157
50410,772310.514656193,178667.685919398,2,74049
50410,772310.514656193,178667.685919398,3,74048
50444,763133.13650244,197120.043492528,1,74102
50444,763133.13650244,197120.043492528,2,72503
50444,763133.13650244,197120.043492528,3,74106
50446,748851.485538221,222329.380406254,1,74107
50446,748851.485538221,222329.380406254,2,118744
50446,748851.485538221,222329.380406254,3,74105
51043,584693.764986329,485182.67560118,1,75047
51043,584693.764986329,485182.67560118,2,67962
51043,584693.764986329,485182.67560118,3,75048
51044,584528.462130224,486853.795306649,1,75053
51044,584528.462130224,486853.795306649,2,75048
55329,591758.315124706,505007.998714517,1,81252
55329,591758.315124706,505007.998714517,2,121694
55329,591758.315124706,505007.998714517,3,81253
55330,590260.843711935,505762.030459586,1,81254
55330,590260.843711935,505762.030459586,2,81253
55330,590260.843711935,505762.030459586,3,82244
55565,420278.261903242,527264.395637378,1,80314
55565,420278.261903242,527264.395637378,2,120893
55565,420278.261903242,527264.395637378,3,81600
55652,449434.999630805,527464.643709137,1,117837
55652,449434.999630805,527464.643709137,2,81727
55652,449434.999630805,527464.643709137,3,81602
55713,371682.453421984,527275.617598504,1,121829
55713,371682.453421984,527275.617598504,2,81824
55713,371682.453421984,527275.617598504,3,81822
55714,333086.526313321,527696.52097072,1,117777
55714,333086.526313321,527696.52097072,2,81823
55714,333086.526313321,527696.52097072,3,81825
55895,506113.448531795,528595.082142225,1,120141
55895,506113.448531795,528595.082142225,2,82096
55895,506113.448531795,528595.082142225,3,82094
55896,488327.255587468,528061.707358133,1,117835
55896,488327.255587468,528061.707358133,2,82095
55896,488327.255587468,528061.707358133,3,81728
55898,410521.035486374,527410.449302951,1,81600
55898,410521.035486374,527410.449302951,2,82101
55898,410521.035486374,527410.449302951,3,82099
55899,378338.114938421,527327.985506821,1,82102
55899,378338.114938421,527327.985506821,2,121122
55899,378338.114938421,527327.985506821,3,82100
55942,236622.226626425,531889.23918073,1,118558
55942,236622.226626425,531889.23918073,2,82164
55942,236622.226626425,531889.23918073,3,82162
55999,574290.155217118,523075.051149369,1,82238
55999,574290.155217118,523075.051149369,2,121692
55999,574290.155217118,523075.051149369,3,82243
56050,256675.76685707,530874.718127695,1,118556
56050,256675.76685707,530874.718127695,2,82320
56050,256675.76685707,530874.718127695,3,82315
56154,313901.329030082,528279.221367701,1,117778
56154,313901.329030082,528279.221367701,2,82477
56154,313901.329030082,528279.221367701,3,82475
56155,295527.216762118,529103.519532461,1,82477
56155,295527.216762118,529103.519532461,2,82476
56155,295527.216762118,529103.519532461,3,82322
56158,566291.40731603,529199.878887464,1,82243
56158,566291.40731603,529199.878887464,2,82483
56158,566291.40731603,529199.878887464,3,82481
56159,527101.987345917,529176.265412623,1,121689
56159,527101.987345917,529176.265412623,2,82482
56159,527101.987345917,529176.265412623,3,82479
56305,311877.402083202,151651.548352016,1,82669
56305,311877.402083202,151651.548352016,2,82667
56305,311877.402083202,151651.548352016,3,120844
56316,280738.495760611,422856.702431288,1,84493
56316,280738.495760611,422856.702431288,2,82680
56316,280738.495760611,422856.702431288,3,82682
56325,317360.854501465,352769.200936381,1,82693
56325,317360.854501465,352769.200936381,2,82692
56325,317360.854501465,352769.200936381,3,120363
56326,317327.533025042,351771.597200292,1,82696
56326,317327.533025042,351771.597200292,2,82695
56326,317327.533025042,351771.597200292,3,118136
56489,317438.393144651,355090.394322126,1,82920
56489,317438.393144651,355090.394322126,2,82616
56489,317438.393144651,355090.394322126,3,120592
56624,311788.041805127,145944.651551234,1,83118
56624,311788.041805127,145944.651551234,2,83116
56624,311788.041805127,145944.651551234,3,121932
56625,311557.283314069,135184.762969701,1,83117
