rn,seq,eid,rev,nodea,nodeb
0,1,115640,True,78942,79542
0,2,115818,True,79076,78942
0,3,115815,True,79074,79076
0,4,115852,True,79101,79074
0,5,116485,True,79547,79101
0,6,117585,True,80296,79547
0,7,116284,True,79410,80296
0,8,116654,True,79663,79410
0,9,116477,True,79542,79663
1,1,91320,False,62937,62297
1,2,92277,False,62938,62937
1,3,92276,False,79590,62938
1,4,116551,False,79591,79590
1,5,116550,False,79409,79591
1,6,116285,False,80297,79409
1,7,117588,True,80298,80297
1,8,117587,True,80296,80298
1,9,117585,False,79547,80296
1,10,116489,False,79549,79547
1,11,116488,False,62297,79549
2,1,116147,True,79311,79591
2,2,116281,True,79408,79311
2,3,116283,True,79409,79408
2,4,116550,True,79591,79409
3,1,116282,True,79407,79408
3,2,116553,True,79593,79407
3,3,116286,True,79410,79593
3,4,117586,True,80297,79410
3,5,116285,True,79409,80297
3,6,116283,False,79408,79409
4,1,116284,False,80296,79410
4,2,117587,False,80298,80296
4,3,117588,False,80297,80298
4,4,117586,False,79410,80297
5,1,116286,False,79593,79410
5,2,116554,False,79664,79593
5,3,116656,True,79663,79664
5,4,116654,False,79410,79663
6,1,116147,False,79591,79311
6,2,116551,True,79590,79591
6,3,116549,False,79541,79590
6,4,116478,False,79592,79541
6,5,116655,True,79664,79592
6,6,116554,True,79593,79664
6,7,116553,False,79407,79593
6,8,116282,False,79408,79407
6,9,116281,False,79311,79408
7,1,92273,False,79304,62936
7,2,116139,False,79305,79304
7,3,116138,False,79078,79305
7,4,115822,False,79076,79078
7,5,115818,False,78942,79076
7,6,115640,False,79542,78942
7,7,117589,True,80299,79542
7,8,116552,True,79592,80299
7,9,116478,True,79541,79592
7,10,116476,False,62935,79541
7,11,92274,False,62936,62935
8,1,116477,False,79663,79542
8,2,116656,False,79664,79663
8,3,116655,False,79592,79664
8,4,116552,False,80299,79592
8,5,117589,False,79542,80299
9,1,117369,True,80145,80302
9,2,117460,True,80210,80145
9,3,117462,True,80211,80210
9,4,117371,True,80147,80211
9,5,117370,False,80146,80147
9,6,189794,True,129962,80146
9,7,117592,True,80302,129962
10,1,117369,False,80302,80145
10,2,189793,True,129961,80302
10,3,117593,True,80301,129961
10,4,117591,True,80300,80301
10,5,117590,False,80210,80300
10,6,117460,False,80145,80210
11,1,117591,False,80301,80300
11,2,117596,True,80304,80301
11,3,117595,True,80303,80304
11,4,117594,False,80300,80303
12,1,116363,False,80149,79463
12,2,117374,False,80213,80149
12,3,117466,False,80209,80213
12,4,117461,False,80303,80209
12,5,117595,False,80304,80303
12,6,192875,True,132120,80304
12,7,117598,True,80305,132120
12,8,117597,False,79463,80305
13,1,117461,True,80209,80303
13,2,117466,True,80213,80209
13,3,117465,False,80212,80213
13,4,117464,True,80211,80212
13,5,117462,False,80210,80211
13,6,117590,True,80300,80210
13,7,117594,True,80303,80300
14,1,116049,False,80147,79241
14,2,117371,False,80211,80147
14,3,117464,False,80212,80211
14,4,117463,False,80306,80212
14,5,117599,False,80148,80306
14,6,117372,False,80072,80148
14,7,117260,False,79521,80072
14,8,116446,False,79241,79521
15,1,117264,False,80148,80074
15,2,117599,True,80306,80148
15,3,117463,True,80212,80306
15,4,117465,True,80213,80212
15,5,117374,True,80149,80213
15,6,117373,False,80075,80149
15,7,117266,False,80074,80075
16,1,115984,False,80308,79196
16,2,117602,True,80307,80308
16,3,117600,False,79216,80307
16,4,117604,True,80309,79216
16,5,117603,False,79195,80309
16,6,115985,False,79196,79195
17,1,115601,True,78909,79100
17,2,115816,True,79075,78909
17,3,115819,True,79077,79075
17,4,117601,True,80308,79077
17,5,115984,True,79196,80308
17,6,115851,True,79100,79196
18,1,90553,False,80055,61782
18,2,117237,False,80054,80055
18,3,117235,False,80307,80054
18,4,117602,False,80308,80307
18,5,117601,False,79077,80308
18,6,115820,False,79073,79077
18,7,115814,False,62358,79073
18,8,91416,False,61782,62358
19,1,115645,True,78947,79274
19,2,117375,True,80150,78947
19,3,116694,True,79691,80150
19,4,116698,True,79693,79691
19,5,116723,True,79710,79693
19,6,116093,True,79274,79710
20,1,115645,False,79274,78947
20,2,117176,True,80016,79274
20,3,116528,True,79576,80016
20,4,116094,True,79273,79576
20,5,116525,True,79573,79273
20,6,117610,True,80314,79573
20,7,117377,True,80152,80314
20,8,116092,True,78947,80152
21,1,116002,False,80310,79209
21,2,117606,False,80311,80310
21,3,117608,False,80313,80311
21,4,117611,False,80314,80313
21,5,117610,False,79573,80314
21,6,116526,False,80376,79573
21,7,117702,False,80424,80376
21,8,117769,False,79210,80424
21,9,116004,False,79209,79210
22,1,116693,False,79690,79129
22,2,116695,False,79691,79690
22,3,116694,False,80150,79691
22,4,117376,False,80312,80150
22,5,117609,True,80313,80312
22,6,117608,True,80311,80313
22,7,117606,True,80310,80311
22,8,117605,False,79899,80310
22,9,117003,False,79129,79899
23,1,116092,False,80152,78947
23,2,117378,True,80151,80152
23,3,117607,True,80312,80151
23,4,117376,True,80150,80312
23,5,117375,False,78947,80150
