nid,x,y,nseq,eid
1,338280.816372555,179017.649998461,1,1
1,338280.816372555,179017.649998461,2,3669
1,338280.816372555,179017.649998461,3,3696
168,340057.966184218,142584.184974826,1,209
168,340057.966184218,142584.184974826,2,116876
168,340057.966184218,142584.184974826,3,3670
170,341569.86061197,108070.843546816,1,211
170,341569.86061197,108070.843546816,2,117710
170,341569.86061197,108070.843546816,3,3734
229,346065.71665142,387171.237580023,1,309
229,346065.71665142,387171.237580023,2,117426
229,346065.71665142,387171.237580023,3,290
244,343575.578606213,360150.904522526,1,441
244,343575.578606213,360150.904522526,2,308
246,340387.749352289,327103.373296987,1,1215
246,340387.749352289,327103.373296987,2,311
344,342045.482958975,344563.725112387,1,447
344,342045.482958975,344563.725112387,2,442
345,343511.861900673,359588.1533262,1,443
345,343511.861900673,359588.1533262,2,442
345,343511.861900673,359588.1533262,3,441
348,342027.09219137,344374.459544198,1,446
348,342027.09219137,344374.459544198,2,117758
348,342027.09219137,344374.459544198,3,447
385,336101.182017996,222370.139751824,1,500
385,336101.182017996,222370.139751824,2,116646
385,336101.182017996,222370.139751824,3,3690
419,337662.123649169,300359.52557479,1,556
419,337662.123649169,300359.52557479,2,3700
419,337662.123649169,300359.52557479,3,551
424,349611.891855429,423748.481018265,1,560
424,349611.891855429,423748.481018265,2,115738
424,349611.891855429,423748.481018265,3,558
426,349611.785343247,423747.37114518,1,559
426,349611.785343247,423747.37114518,2,117102
426,349611.785343247,423747.37114518,3,560
638,354928.782001228,478129.086812128,1,3087
638,354928.782001228,478129.086812128,2,858
884,338787.116320975,311451.47878673,1,1213
884,338787.116320975,311451.47878673,2,116728
884,338787.116320975,311451.47878673,3,1214
885,339378.279616745,317646.357893027,1,1214
885,339378.279616745,317646.357893027,2,1216
886,340376.584988634,326993.744182122,1,550
886,340376.584988634,326993.744182122,2,117470
886,340376.584988634,326993.744182122,3,1215
957,349912.527059637,426882.28645095,1,1317
957,349912.527059637,426882.28645095,2,558
957,349912.527059637,426882.28645095,3,1319
1470,334065.117519097,265436.577698057,1,2075
1470,334065.117519097,265436.577698057,2,116307
1470,334065.117519097,265436.577698057,3,2071
1474,334414.583408257,257170.992081501,1,2073
1474,334414.583408257,257170.992081501,2,3689
1474,334414.583408257,257170.992081501,3,2075
1553,363675.441627003,564365.658044177,1,3782
1553,363675.441627003,564365.658044177,2,2195
1769,361404.398716386,541643.066176445,1,2516
1769,361404.398716386,541643.066176445,2,2511
1773,361380.604069257,541401.523079396,1,3537
1773,361380.604069257,541401.523079396,2,2517
1774,361401.004319548,541608.608255639,1,2513
1774,361401.004319548,541608.608255639,2,2517
1774,361401.004319548,541608.608255639,3,2516
2156,353004.415175757,458658.742498132,1,3093
2156,353004.415175757,458658.742498132,2,3088
2157,354790.747402789,477251.430068968,1,3087
2157,354790.747402789,477251.430068968,2,3089
2157,354790.747402789,477251.430068968,3,116297
2160,352972.07836856,458321.814120636,1,3091
2160,352972.07836856,458321.814120636,2,117087
2160,352972.07836856,458321.814120636,3,3093
2161,351894.574986962,447402.594331066,1,3094
2161,351894.574986962,447402.594331066,2,115739
2161,351894.574986962,447402.594331066,3,3095
2162,351936.68910566,447830.153714234,1,3095
2162,351936.68910566,447830.153714234,2,3096
2175,367222.669575238,598161.465185273,1,3114
2175,367222.669575238,598161.465185273,2,116046
2175,367222.669575238,598161.465185273,3,3116
2460,358099.251702083,508726.500105585,1,3541
2460,358099.251702083,508726.500105585,2,117161
2460,358099.251702083,508726.500105585,3,3538
2461,360713.577037976,534755.52358041,1,3533
2461,360713.577037976,534755.52358041,2,3538
2461,360713.577037976,534755.52358041,3,3537
2463,357800.488726398,505594.229463528,1,3540
2463,357800.488726398,505594.229463528,2,116295
2463,357800.488726398,505594.229463528,3,3542
2464,357906.640503907,506706.865695767,1,3536
2464,357906.640503907,506706.865695767,2,3542
2464,357906.640503907,506706.865695767,3,3541
2548,338918.215638375,166473.294600511,1,3662
2548,338918.215638375,166473.294600511,2,116885
2548,338918.215638375,166473.294600511,3,3669
2561,334971.27266181,243717.778249848,1,2076
2561,334971.27266181,243717.778249848,2,115994
2561,334971.27266181,243717.778249848,3,3689
2565,336481.660277764,214659.780141353,1,503
