rn,seq,eid,rev,nodea,nodeb
0,1,151613,True,103648,107673
0,2,157077,True,107365,103648
0,3,152372,True,104197,107365
0,4,152366,True,104193,104197
0,5,152369,True,104195,104193
0,6,157967,True,107974,104195
0,7,157539,True,107673,107974
1,1,151620,False,104194,103655
1,2,152370,True,104195,104194
1,3,152369,False,104193,104195
1,4,152367,True,103654,104193
1,5,151621,False,103655,103654
2,1,151614,True,103649,107973
2,2,152368,True,104194,103649
2,3,151620,True,103655,104194
2,4,151622,True,103656,103655
2,5,151628,True,103660,103656
2,6,157985,True,107986,103660
2,7,157965,True,107973,107986
3,1,151614,False,107973,103649
3,2,158003,True,107999,107973
3,3,157976,True,107980,107999
3,4,157966,True,107972,107980
3,5,157974,True,107979,107972
3,6,157968,True,107974,107979
3,7,157967,False,104195,107974
3,8,152370,False,104194,104195
3,9,152368,False,103649,104194
4,1,157115,False,107674,107391
4,2,157541,False,107977,107674
4,3,157978,True,107981,107977
4,4,157975,True,107979,107981
4,5,157974,False,107972,107979
4,6,157966,False,107980,107972
4,7,157977,True,107978,107980
4,8,157973,False,107390,107978
4,9,157116,False,107391,107390
5,1,157539,False,107974,107673
5,2,157968,False,107979,107974
5,3,157975,False,107981,107979
5,4,157978,False,107977,107981
5,5,157972,False,107673,107977
6,1,156341,True,106872,107391
6,2,157111,True,107388,106872
6,3,157537,True,107672,107388
6,4,157540,True,107674,107672
6,5,157115,True,107391,107674
7,1,151613,False,107673,103648
7,2,157972,True,107977,107673
7,3,157541,True,107674,107977
7,4,157540,False,107672,107674
7,5,157538,True,107671,107672
7,6,157536,False,107365,107671
7,7,157077,False,103648,107365
8,1,157113,False,107677,107388
8,2,157545,True,107676,107677
8,3,157543,True,107675,107676
8,4,157542,False,107671,107675
8,5,157538,False,107672,107671
8,6,157537,False,107388,107672
9,1,152372,False,107365,104197
9,2,157536,True,107671,107365
9,3,157542,True,107675,107671
9,4,157078,True,107364,107675
9,5,157959,True,107968,107364
9,6,157076,True,104197,107968
10,1,151615,False,104196,103650
10,2,152373,False,104197,104196
10,3,157076,False,107968,104197
10,4,157960,True,107967,107968
10,5,157958,True,107966,107967
10,6,157957,False,103669,107966
10,7,151640,False,103651,103669
10,8,151617,False,103652,103651
10,9,151616,False,103650,103652
11,1,151626,False,103654,103658
11,2,152367,False,104193,103654
11,3,152366,False,104197,104193
11,4,152373,True,104196,104197
11,5,152371,False,103658,104196
12,1,151615,True,103650,104196
12,2,151616,True,103652,103650
12,3,151618,True,103653,103652
12,4,151627,True,103659,103653
12,5,151623,True,103657,103659
12,6,151625,True,103658,103657
12,7,152371,True,104196,103658
13,1,151617,True,103651,103652
13,2,151640,True,103669,103651
13,3,151642,True,103670,103669
13,4,157980,True,107983,103670
13,5,151619,True,103653,107983
13,6,151618,False,103652,103653
14,1,151621,True,103654,103655
14,2,151626,True,103658,103654
14,3,151625,False,103657,103658
14,4,151624,True,103656,103657
14,5,151622,False,103655,103656
15,1,151623,False,103659,103657
15,2,157104,True,107384,103659
15,3,151629,True,103660,107384
15,4,151628,False,103656,103660
15,5,151624,False,103657,103656
16,1,151619,False,107983,103653
16,2,157981,True,107982,107983
16,3,157979,False,107383,107982
16,4,157105,False,107384,107383
16,5,157104,False,103659,107384
16,6,151627,False,103653,103659
17,1,151629,False,107384,103660
17,2,157106,False,107984,107384
17,3,157984,True,107985,107984
17,4,157983,False,104201,107985
17,5,152378,False,107382,104201
17,6,157103,False,107378,107382
17,7,157098,False,107379,107378
17,8,157097,False,107988,107379
17,9,157988,True,107987,107988
17,10,157986,True,107986,107987
17,11,157985,False,103660,107986
18,1,157364,False,107407,107556
18,2,157802,False,107855,107407
18,3,157801,False,107985,107855
18,4,157984,False,107984,107985
18,5,157982,False,107989,107984
18,6,158016,True,108008,107989
18,7,157991,True,107990,108008
18,8,157990,False,107556,107990
19,1,157100,False,107855,107381
19,2,157802,True,107407,107855
19,3,157140,False,107856,107407
19,4,157805,True,107857,107856
19,5,157804,False,107381,107857
20,1,152378,True,104201,107382
20,2,157983,True,107985,104201
20,3,157801,True,107855,107985
20,4,157100,True,107381,107855
20,5,157102,True,107382,107381
21,1,157098,True,107378,107379
21,2,157103,True,107382,107378
21,3,157102,False,107381,107382
21,4,157804,True,107857,107381
21,5,157101,True,107380,107857
21,6,157099,False,107379,107380
22,1,151634,True,103664,105552
22,2,157987,True,107988,103664
22,3,157097,True,107379,107988
22,4,157099,True,107380,107379
22,5,157108,True,107386,107380
22,6,154360,True,105554,107386
22,7,154357,True,105552,105554
23,1,151634,False,105552,103664
23,2,154359,False,105553,105552
23,3,154358,False,108000,105553
23,4,158006,True,108001,108000
23,5,158005,True,107999,108001
23,6,158003,False,107973,107999
23,7,157965,False,107986,107973
23,8,157986,False,107987,107986
23,9,157988,False,107988,107987
23,10,157987,False,103664,107988
24,1,151496,False,107978,103559
24,2,157977,False,107980,107978
24,3,157976,False,107999,107980
24,4,158005,False,108001,107999
24,5,158006,False,108000,108001
24,6,158004,False,107123,108000
24,7,156719,False,107124,107123
24,8,156718,False,103559,107124
25,1,151495,True,103558,103559
25,2,152747,True,104453,103558
25,3,156497,True,106975,104453
25,4,157114,True,107390,106975
25,5,157973,True,107978,107390
25,6,151496,True,103559,107978
26,1,152748,False,106974,104453
26,2,157112,True,107389,106974
26,3,156498,True,106975,107389
26,4,156497,False,104453,106975
27,1,156341,False,107391,106872
27,2,157116,True,107390,107391
27,3,157114,False,106975,107390
27,4,156498,False,107389,106975
27,5,157544,True,107677,107389
27,6,157113,True,107388,107677
27,7,157111,False,106872,107388
28,1,152868,False,107966,104534
