nid,x,y,nseq,eid
40438,200530.85882386,147177.894605006,1,59327
40438,200530.85882386,147177.894605006,2,59329
40438,200530.85882386,147177.894605006,3,155492
40439,217504.377394215,146769.94992772,1,59326
40439,217504.377394215,146769.94992772,2,59328
40439,217504.377394215,146769.94992772,3,155482
42060,141534.571401979,149372.051542372,1,61712
42060,141534.571401979,149372.051542372,2,59501
42060,141534.571401979,149372.051542372,3,154486
42340,144488.04375687,149213.175982912,1,62125
42340,144488.04375687,149213.175982912,2,62123
42340,144488.04375687,149213.175982912,3,61712
42341,159134.869798328,148476.82428139,1,62124
42341,159134.869798328,148476.82428139,2,61452
42341,159134.869798328,148476.82428139,3,154506
42342,144517.337977148,149211.605006404,1,62126
42342,144517.337977148,149211.605006404,2,62125
42342,144517.337977148,149211.605006404,3,157674
43031,171559.508685647,147862.318098952,1,63159
43031,171559.508685647,147862.318098952,2,63157
43031,171559.508685647,147862.318098952,3,62124
43034,172406.388569572,147826.48014781,1,63164
43034,172406.388569572,147826.48014781,2,63162
43034,172406.388569572,147826.48014781,3,154508
43035,194452.66791989,147344.231968705,1,63163
43035,194452.66791989,147344.231968705,2,59341
43035,194452.66791989,147344.231968705,3,63164
43199,129509.728173794,150070.821571861,1,63404
43199,129509.728173794,150070.821571861,2,61713
43199,129509.728173794,150070.821571861,3,154485
103251,680184.671825821,19037.3054599248,1,151127
103251,680184.671825821,19037.3054599248,2,151166
103252,609558.255449917,295615.534729677,1,151128
103252,609558.255449917,295615.534729677,2,151151
103253,758818.27202652,206427.328129588,1,153051
103253,758818.27202652,206427.328129588,2,151129
103254,521054.355173284,294973.203262205,1,151130
103254,521054.355173284,294973.203262205,2,156215
103255,786581.456466144,151610.806973346,1,151131
103255,786581.456466144,151610.806973346,2,154589
103255,786581.456466144,151610.806973346,3,152131
103256,261792.629679421,223503.274066742,1,151132
103256,261792.629679421,223503.274066742,2,154107
103257,746191.333136477,110704.23517001,1,151133
103257,746191.333136477,110704.23517001,2,157417
103257,746191.333136477,110704.23517001,3,157416
103257,746191.333136477,110704.23517001,4,156831
103258,751165.876615281,114126.180146623,1,151134
103258,751165.876615281,114126.180146623,2,151561
103259,697940.024967313,227108.074456153,1,151135
103259,697940.024967313,227108.074456153,2,152013
103259,697940.024967313,227108.074456153,3,157357
103260,527205.661207246,259287.167250171,1,151401
103260,527205.661207246,259287.167250171,2,151136
103261,455990.657836705,142637.640349887,1,151137
103261,455990.657836705,142637.640349887,2,151652
103262,247991.929005973,167241.975412251,1,151138
103262,247991.929005973,167241.975412251,2,157969
103262,247991.929005973,167241.975412251,3,156269
103263,444579.122288104,142705.126532798,1,151139
103263,444579.122288104,142705.126532798,2,158057
103263,444579.122288104,142705.126532798,3,151430
103264,629378.120166362,225777.493557107,1,154366
103264,629378.120166362,225777.493557107,2,151140
103265,634568.076275348,235296.099365235,1,151141
103265,634568.076275348,235296.099365235,2,151706
103266,659290.166323347,236284.540389803,1,151142
103266,659290.166323347,236284.540389803,2,156309
103266,659290.166323347,236284.540389803,3,153662
103267,543360.773176051,140937.786530063,1,151143
103267,543360.773176051,140937.786530063,2,156786
103267,543360.773176051,140937.786530063,3,153694
103268,446501.330770533,161955.644755267,1,151144
103268,446501.330770533,161955.644755267,2,152219
103269,321312.940905239,201692.723768226,1,151145
103269,321312.940905239,201692.723768226,2,153107
103269,321312.940905239,201692.723768226,3,154165
103270,494371.745795564,231060.90279853,1,151146
103270,494371.745795564,231060.90279853,2,151236
103270,494371.745795564,231060.90279853,3,152145
103271,709932.939788104,60383.0675438364,1,151147
103271,709932.939788104,60383.0675438364,2,151992
103271,709932.939788104,60383.0675438364,3,152080
