rn,seq,eid,rev,nodea,nodeb
0,1,123213,False,84519,84224
0,2,123616,False,84583,84519
0,3,123708,False,84931,84583
0,4,124232,False,85058,84931
0,5,124424,True,84536,85058
0,6,123638,False,84532,84536
0,7,123633,False,85057,84532
0,8,124628,True,85199,85057
0,9,124629,True,85200,85199
0,10,124529,True,85132,85200
0,11,124422,True,85056,85132
0,12,124525,True,85129,85056
0,13,124471,True,85092,85129
0,14,124425,True,84225,85092
0,15,123215,False,84226,84225
0,16,123214,False,84224,84226
1,1,123614,False,84522,84519
1,2,123619,True,84521,84522
1,3,123617,False,84520,84521
1,4,123707,True,84583,84520
1,5,123616,True,84519,84583
2,1,123615,False,84582,84520
2,2,124231,True,84931,84582
2,3,123708,True,84583,84931
2,4,123707,False,84520,84583
3,1,123287,True,84283,84521
3,2,123288,True,84284,84283
3,3,123706,True,84582,84284
3,4,123615,True,84520,84582
3,5,123617,True,84521,84520
4,1,123217,False,84284,84227
4,2,123288,False,84283,84284
4,3,123287,False,84521,84283
4,4,123619,False,84522,84521
4,5,123618,False,84923,84522
4,6,124220,False,84227,84923
5,1,123213,True,84224,84519
5,2,123214,True,84226,84224
5,3,123216,True,84227,84226
5,4,124220,True,84923,84227
5,5,123618,True,84522,84923
5,6,123614,True,84519,84522
6,1,123215,True,84225,84226
6,2,124230,True,84930,84225
6,3,123286,True,84284,84930
6,4,123217,True,84227,84284
6,5,123216,False,84226,84227
7,1,123286,False,84930,84284
7,2,124423,True,85058,84930
7,3,124232,True,84931,85058
7,4,124231,False,84582,84931
7,5,123706,False,84284,84582
8,1,123639,False,84536,84535
8,2,124424,False,85058,84536
8,3,124423,False,84930,85058
8,4,124230,False,84225,84930
8,5,124425,False,85092,84225
8,6,124472,True,85091,85092
8,7,124470,True,85090,85091
8,8,124469,False,84535,85090
9,1,123424,False,85222,84386
9,2,124665,False,85269,85222
9,3,124732,False,85268,85269
9,4,124730,False,85242,85268
9,5,124690,False,84981,85242
9,6,124307,False,84979,84981
9,7,124305,False,84980,84979
9,8,124304,False,84718,84980
9,9,123916,False,84720,84718
9,10,123915,False,84386,84720
10,1,124305,True,84979,84980
10,2,124307,True,84981,84979
10,3,124306,False,84980,84981
11,1,123231,True,84239,85242
11,2,124688,True,85240,84239
11,3,124473,True,85093,85240
11,4,123910,True,84717,85093
11,5,123912,True,84718,84717
11,6,124304,True,84980,84718
11,7,124306,True,84981,84980
11,8,124690,True,85242,84981
12,1,123404,False,84926,84371
12,2,124226,False,85352,84926
12,3,124858,True,85351,85352
12,4,124856,False,85236,85351
12,5,124684,False,85237,85236
12,6,124683,False,84371,85237
13,1,124496,True,85108,85328
13,2,231016,True,158325,85108
13,3,124498,True,85110,158325
