nid,x,y,nseq,eid
25501,276860.953414342,133214.219249095,1,37315
25501,276860.953414342,133214.219249095,2,37442
25501,276860.953414342,133214.219249095,3,124308
25502,326823.053618194,103784.309932473,1,123422
25502,326823.053618194,103784.309932473,2,37314
25502,326823.053618194,103784.309932473,3,37316
27017,199504.357306527,135933.287949604,1,39594
27017,199504.357306527,135933.287949604,2,39129
27017,199504.357306527,135933.287949604,3,124309
27407,325993.005803293,69424.3217455654,1,123420
27407,325993.005803293,69424.3217455654,2,40203
27407,325993.005803293,69424.3217455654,3,40202
54360,841559.925088958,166440.282289838,1,79883
54360,841559.925088958,166440.282289838,2,123624
54360,841559.925088958,166440.282289838,3,80198
54420,792509.781550764,301020.692557211,1,123517
54420,792509.781550764,301020.692557211,2,79956
54420,792509.781550764,301020.692557211,3,79955
54529,825471.156408499,197439.095211743,1,80098
54529,825471.156408499,197439.095211743,2,124802
54567,845290.309189785,154952.991848404,1,80146
54567,845290.309189785,154952.991848404,2,123394
54604,841496.320944963,166962.260110377,1,80199
54604,841496.320944963,166962.260110377,2,80198
55230,840716.938912496,169798.73091593,1,81105
55230,840716.938912496,169798.73091593,2,81107
55231,842955.085182382,168101.72020416,1,81104
55231,842955.085182382,168101.72020416,2,81106
55231,842955.085182382,168101.72020416,3,81105
55232,842073.950398015,167786.729985254,1,81106
55232,842073.950398015,167786.729985254,2,80199
55232,842073.950398015,167786.729985254,3,81107
55462,802242.634099644,271236.549069279,1,81450
55462,802242.634099644,271236.549069279,2,82515
55462,802242.634099644,271236.549069279,3,82512
55495,841353.932146863,160020.08245002,1,81500
55495,841353.932146863,160020.08245002,2,124043
55943,852519.577623463,127153.479880739,1,81140
55943,852519.577623463,127153.479880739,2,124312
55943,852519.577623463,127153.479880739,3,82163
55944,847061.893419465,108507.311539214,1,82165
55944,847061.893419465,108507.311539214,2,123413
55952,824873.507595448,217284.452572066,1,82170
55952,824873.507595448,217284.452572066,2,82178
55952,824873.507595448,217284.452572066,3,82174
55953,826057.509021304,199565.370100923,1,82176
55953,826057.509021304,199565.370100923,2,80098
55953,826057.509021304,199565.370100923,3,82177
55954,822692.035016592,212597.730171962,1,82179
55954,822692.035016592,212597.730171962,2,124805
55954,822692.035016592,212597.730171962,3,124517
55955,826118.15589593,214614.843970729,1,82175
