rn,seq,eid,rev,nodea,nodeb
0,1,126925,False,87158,86730
0,2,127540,True,87157,87158
0,3,127536,False,87148,87157
0,4,127638,True,87227,87148
0,5,127541,True,87160,87227
0,6,127641,True,87229,87160
0,7,127547,True,87165,87229
0,8,127539,True,87159,87165
0,9,127538,False,86730,87159
1,1,127537,False,87161,87158
1,2,127559,True,87172,87161
1,3,127544,True,87162,87172
1,4,127543,False,87157,87162
1,5,127540,False,87158,87157
2,1,126925,True,86730,87158
2,2,127538,True,87159,86730
2,3,126927,True,86732,87159
2,4,126926,True,86731,86732
2,5,127554,True,87169,86731
2,6,127542,True,87161,87169
2,7,127537,True,87158,87161
3,1,126927,False,87159,86732
3,2,127539,False,87165,87159
3,3,127548,True,87164,87165
3,4,127546,False,87163,87164
3,5,127550,True,87166,87163
3,6,127549,False,86884,87166
3,7,127140,False,86732,86884
4,1,127141,False,87166,86882
4,2,127550,False,87163,87166
4,3,127545,False,87167,87163
4,4,127813,True,87344,87167
4,5,127552,True,86882,87344
5,1,127136,False,87171,86881
5,2,127558,True,87170,87171
5,3,127556,False,86911,87170
5,4,127178,False,87064,86911
5,5,127400,False,87065,87064
5,6,127399,False,86885,87065
5,7,127142,False,86881,86885
6,1,127178,True,86911,87064
6,2,127556,True,87170,86911
6,3,127806,True,87340,87170
6,4,127254,True,86965,87340
6,5,127398,True,87064,86965
7,1,126930,False,86884,86734
7,2,127549,True,87166,86884
7,3,127141,True,86882,87166
7,4,127137,True,86881,86882
7,5,127142,True,86885,86881
7,6,127139,True,86883,86885
7,7,127138,False,86734,86883
8,1,126929,False,86734,86733
8,2,127138,True,86883,86734
8,3,127143,True,86886,86883
8,4,127553,True,87168,86886
8,5,126931,True,86733,87168
9,1,126926,False,86732,86731
9,2,127140,True,86884,86732
9,3,126930,True,86734,86884
9,4,126929,True,86733,86734
9,5,126928,True,86731,86733
10,1,126928,False,86733,86731
10,2,126931,False,87168,86733
10,3,127555,True,87169,87168
10,4,127554,False,86731,87169
11,1,127144,False,86887,86886
11,2,127145,False,87173,86887
11,3,127561,True,87172,87173
11,4,127559,False,87161,87172
11,5,127542,False,87169,87161
