nid,x,y,nseq,eid
63082,354537.72687545,143770.971024753,1,92462
63082,354537.72687545,143770.971024753,2,126935
63082,354537.72687545,143770.971024753,3,93503
63093,368181.998823279,76844.8383258361,1,92478
63093,368181.998823279,76844.8383258361,2,92728
63280,367748.658521365,72196.4710459653,1,127846
63280,367748.658521365,72196.4710459653,2,92729
63281,368442.812461947,75850.8035749631,1,92730
63281,368442.812461947,75850.8035749631,2,127856
63281,368442.812461947,75850.8035749631,3,92728
63317,374435.666743419,64757.8613029372,1,126919
63317,374435.666743419,64757.8613029372,2,92785
63317,374435.666743419,64757.8613029372,3,92780
63320,373177.614129889,66321.1449491684,1,92781
63320,373177.614129889,66321.1449491684,2,126921
63320,373177.614129889,66321.1449491684,3,92784
63384,353921.724075719,162421.451985982,1,92880
63384,353921.724075719,162421.451985982,2,127338
63384,353921.724075719,162421.451985982,3,93697
63853,351947.202364447,208117.677773443,1,93492
63853,351947.202364447,208117.677773443,2,127563
63853,351947.202364447,208117.677773443,3,93497
63856,354199.800159772,154224.836022062,1,92878
63856,354199.800159772,154224.836022062,2,127334
63856,354199.800159772,154224.836022062,3,93502
63943,355401.616278421,130562.578261402,1,93617
63943,355401.616278421,130562.578261402,2,126933
63943,355401.616278421,130562.578261402,3,93620
63959,368945.843628921,82297.4352063356,1,93644
63959,368945.843628921,82297.4352063356,2,127063
63959,368945.843628921,82297.4352063356,3,93645
63996,353196.531999206,179146.454388654,1,93498
63996,353196.531999206,179146.454388654,2,127565
63996,353196.531999206,179146.454388654,3,93696
63997,360268.3568795,91866.4877690562,1,93698
63997,360268.3568795,91866.4877690562,2,127118
63997,360268.3568795,91866.4877690562,3,93700
63998,356430.924917095,109121.120766653,1,93654
63998,356430.924917095,109121.120766653,2,93701
63998,356430.924917095,109121.120766653,3,93699
63999,355006.356451419,99260.2705640824,1,127859
63999,355006.356451419,99260.2705640824,2,93701
67039,342424.822090178,35244.281166291,1,98143
67039,342424.822090178,35244.281166291,2,98231
67039,342424.822090178,35244.281166291,3,127036
67121,356532.97514561,41079.1601541631,1,98238
67121,356532.97514561,41079.1601541631,2,98795
67121,356532.97514561,41079.1601541631,3,99485
67134,291328.358967526,23111.326773495,1,98253
67134,291328.358967526,23111.326773495,2,99041
67134,291328.358967526,23111.326773495,3,127153
67267,350613.22102893,38408.285529628,1,98418
67267,350613.22102893,38408.285529628,2,100192
67313,249520.425042099,24795.1175628441,1,98474
67313,249520.425042099,24795.1175628441,2,100266
67313,249520.425042099,24795.1175628441,3,127233
67314,266310.951420071,24100.3707585524,1,98473
67314,266310.951420071,24100.3707585524,2,98400
67314,266310.951420071,24100.3707585524,3,127268
67408,328943.933808504,21954.2533144892,1,98596
67408,328943.933808504,21954.2533144892,2,98814
67408,328943.933808504,21954.2533144892,3,127359
67409,330956.41466076,22508.5246573271,1,98599
67409,330956.41466076,22508.5246573271,2,98597
67409,330956.41466076,22508.5246573271,3,98596
67498,339438.203474059,32557.4527037834,1,98720
67498,339438.203474059,32557.4527037834,2,102566
