rn,seq,eid,rev,nodea,nodeb
0,1,128717,True,88020,90860
0,2,128719,True,88022,88020
0,3,128718,False,88021,88022
0,4,131596,True,89988,88021
0,5,131599,True,89990,89988
0,6,132885,True,90860,89990
1,1,128716,False,89987,88021
1,2,132879,True,90856,89987
1,3,131598,True,89989,90856
1,4,131597,True,89988,89989
1,5,131596,False,88021,89988
2,1,131597,False,89989,89988
2,2,132882,True,90858,89989
2,3,131600,True,89990,90858
2,4,131599,False,89988,89990
3,1,131598,False,90856,89989
3,2,132881,True,90857,90856
3,3,132880,False,90859,90857
3,4,132884,True,90858,90859
3,5,132882,False,89989,90858
4,1,131600,False,90858,89990
4,2,132884,False,90859,90858
4,3,132883,False,88379,90859
4,4,132886,True,90860,88379
4,5,132885,False,89990,90860
5,1,132143,False,90861,90357
5,2,133434,True,91227,90861
5,3,132889,True,90862,91227
5,4,132888,False,90357,90862
6,1,129210,False,90357,88380
6,2,132888,True,90862,90357
6,3,133429,True,91224,90862
6,4,132145,True,90358,91224
6,5,132144,True,90356,90358
6,6,132142,False,88380,90356
7,1,128550,False,88022,87895
7,2,128719,False,88020,88022
7,3,128717,False,90860,88020
7,4,132886,False,88379,90860
7,5,129207,False,90356,88379
7,6,132144,False,90358,90356
7,7,132145,False,91224,90358
7,8,133435,True,91228,91224
7,9,133445,True,91235,91228
7,10,133450,True,91239,91235
7,11,133452,True,91240,91239
7,12,133431,True,91225,91240
7,13,133430,False,91226,91225
7,14,133433,True,91223,91226
7,15,133428,True,91222,91223
7,16,133427,False,90200,91222
7,17,131917,False,87895,90200
8,1,132889,False,91227,90862
8,2,133439,True,91230,91227
8,3,133438,False,91229,91230
8,4,133437,True,91228,91229
8,5,133435,False,91224,91228
8,6,133429,False,90862,91224
9,1,132148,False,91230,90359
9,2,133439,False,91227,91230
9,3,133434,False,90861,91227
9,4,132887,False,90359,90861
10,1,131601,False,89992,89991
10,2,132147,True,90360,89992
10,3,131603,True,89991,90360
11,1,129207,True,88379,90356
11,2,132883,True,90859,88379
11,3,132880,True,90857,90859
11,4,129209,True,88381,90857
11,5,129208,True,88380,88381
11,6,132142,True,90356,88380
12,1,129208,False,88381,88380
12,2,131602,True,89992,88381
12,3,131601,True,89991,89992
12,4,132146,True,90359,89991
12,5,132887,True,90861,90359
12,6,132143,True,90357,90861
12,7,129210,True,88380,90357
13,1,131603,False,90360,89991
13,2,133444,True,91234,90360
13,3,133436,True,91229,91234
13,4,133438,True,91230,91229
13,5,132148,True,90359,91230
13,6,132146,False,89991,90359
14,1,129211,False,88996,88382
14,2,133462,True,91246,88996
14,3,133459,True,91244,91246
14,4,130105,True,88995,91244
14,5,133446,True,91236,88995
14,6,133442,True,91233,91236
14,7,130103,True,88382,91233
15,1,129211,True,88382,88996
