nid,x,y,nseq,eid
87381,181123.082469411,176945.28544859,1,128103
87381,181123.082469411,176945.28544859,2,128041
87381,181123.082469411,176945.28544859,3,127869
87382,162478.100537852,163137.446529164,1,127870
87382,162478.100537852,163137.446529164,2,129072
87382,162478.100537852,163137.446529164,3,132695
87383,167690.271059022,158927.537087768,1,127871
87383,167690.271059022,158927.537087768,2,129605
87384,173036.277416488,146779.657415286,1,127872
87384,173036.277416488,146779.657415286,2,130739
87384,173036.277416488,146779.657415286,3,130733
87385,187021.09721912,164193.760098634,1,127873
87385,187021.09721912,164193.760098634,2,132666
87385,187021.09721912,164193.760098634,3,130630
87385,187021.09721912,164193.760098634,4,130632
87386,178006.365297248,233296.466523146,1,127874
87386,178006.365297248,233296.466523146,2,129010
87387,157676.067667502,236356.607904977,1,127875
87387,157676.067667502,236356.607904977,2,128049
87388,143409.87956706,227891.310195203,1,129809
87388,143409.87956706,227891.310195203,2,127876
87388,143409.87956706,227891.310195203,3,130888
87388,143409.87956706,227891.310195203,4,128054
87389,192922.078936589,223641.194208185,1,127877
87389,192922.078936589,223641.194208185,2,131553
87390,111460.975224357,125706.287558751,1,127878
87390,111460.975224357,125706.287558751,2,131657
87391,173945.013192163,208031.374116281,1,127879
87391,173945.013192163,208031.374116281,2,128768
87392,102870.426067255,118006.422375686,1,127880
87392,102870.426067255,118006.422375686,2,128418
87393,154905.202427017,215551.167728875,1,127881
87393,154905.202427017,215551.167728875,2,130843
87393,154905.202427017,215551.167728875,3,130857
87394,151697.814790732,217999.362005355,1,128508
87394,151697.814790732,217999.362005355,2,127882
87395,143077.068911329,221573.318627922,1,127883
87395,143077.068911329,221573.318627922,2,130913
87396,179058.003476077,133127.256710029,1,127884
87396,179058.003476077,133127.256710029,2,130972
87396,179058.003476077,133127.256710029,3,133058
87397,184886.816629112,138677.940411033,1,129821
87397,184886.816629112,138677.940411033,2,127885
87398,179465.885546202,140642.899666353,1,127886
87398,179465.885546202,140642.899666353,2,127887
87398,179465.885546202,140642.899666353,3,130743
87399,178981.3271683,136089.591314573,1,130969
87399,178981.3271683,136089.591314573,2,127888
87400,179694.686917676,138627.868895513,1,127889
87400,179694.686917676,138627.868895513,2,129531
87400,179694.686917676,138627.868895513,3,127887
87401,181455.320526816,137083.467274762,1,131641
87401,181455.320526816,137083.467274762,2,127890
87401,181455.320526816,137083.467274762,3,127889
87402,183410.774803664,134472.133454533,1,129192
87402,183410.774803664,134472.133454533,2,127891
87403,179052.787637157,232846.685736994,1,127895
87403,179052.787637157,232846.685736994,2,127893
87404,179219.544588144,232505.220516687,1,127896
87404,179219.544588144,232505.220516687,2,127892
87404,179219.544588144,232505.220516687,3,127894
87405,179014.7664438,232685.63389455,1,127894
87405,179014.7664438,232685.63389455,2,128526
87405,179014.7664438,232685.63389455,3,127895
87406,179931.641743793,232399.590221214,1,129424
