rn,seq,eid,rev,nodea,nodeb
0,1,134300,True,91809,92349
0,2,134429,True,91913,91809
0,3,134384,True,91880,91913
0,4,134383,True,91879,91880
0,5,135059,True,92349,91879
1,1,134429,False,91809,91913
1,2,134478,True,91948,91809
1,3,134477,True,91914,91948
1,4,134431,False,91913,91914
2,1,134477,False,91948,91914
2,2,134939,True,92272,91948
2,3,134940,True,92273,92272
2,4,134938,True,91914,92273
3,1,134430,False,91914,91882
3,2,134938,False,92273,91914
3,3,135686,True,92773,92273
3,4,134941,True,91882,92773
4,1,134384,False,91913,91880
4,2,134431,True,91914,91913
4,3,134430,True,91882,91914
4,4,134388,False,91880,91882
5,1,134383,False,91880,91879
5,2,134386,True,91881,91880
5,3,134942,True,92275,91881
5,4,134944,True,92276,92275
5,5,134385,True,91879,92276
6,1,134386,False,91880,91881
6,2,134388,True,91882,91880
6,3,134611,True,92045,91882
6,4,134387,True,91881,92045
7,1,134611,False,91882,92045
7,2,134941,False,92773,91882
7,3,135706,True,92046,92773
7,4,134614,False,92045,92046
8,1,134298,False,92044,91807
8,2,134612,True,92045,92044
8,3,134614,True,92046,92045
8,4,134613,True,91807,92046
9,1,134387,False,92045,91881
9,2,134612,False,92044,92045
9,3,134949,False,92278,92044
9,4,134948,False,92275,92278
9,5,134942,False,91881,92275
10,1,134658,False,92772,92076
10,2,135688,False,92273,92772
10,3,134940,False,92272,92273
10,4,134937,False,92076,92272
11,1,134409,True,91897,92076
11,2,134955,True,92282,91897
11,3,135684,True,92772,92282
11,4,134658,True,92076,92772
12,1,134391,False,92771,91883
12,2,135685,True,92772,92771
12,3,135684,False,92282,92772
12,4,134956,False,91883,92282
13,1,135685,False,92771,92772
13,2,135687,True,92773,92771
13,3,135686,False,92273,92773
13,4,135688,True,92772,92273
14,1,134613,False,92046,91807
14,2,135706,False,92773,92046
14,3,135687,False,92771,92773
14,4,135683,False,92051,92771
14,5,134622,False,91807,92051
15,1,134389,False,91884,91883
15,2,134620,True,92051,91884
15,3,135683,True,92771,92051
15,4,134391,True,91883,92771
16,1,134619,False,91807,92050
16,2,134622,True,92051,91807
16,3,134623,True,92052,92051
16,4,134978,True,92296,92052
16,5,134950,True,92279,92296
16,6,134621,True,92050,92279
17,1,134390,False,92053,91884
17,2,134625,True,92052,92053
17,3,134623,False,92051,92052
17,4,134620,False,91884,92051
18,1,134943,True,92274,92278
18,2,134952,True,92280,92274
18,3,135057,True,92348,92280
18,4,134945,True,92276,92348
18,5,134944,False,92275,92276
18,6,134948,True,92278,92275
19,1,134610,False,92277,92044
19,2,134947,True,92274,92277
19,3,134943,False,92278,92274
19,4,134949,True,92044,92278
20,1,134298,True,91807,92044
20,2,134619,True,92050,91807
20,3,134946,True,92277,92050
20,4,134610,True,92044,92277
21,1,134621,False,92279,92050
21,2,134953,True,92281,92279
21,3,134951,True,92277,92281
21,4,134946,False,92050,92277
22,1,134947,False,92277,92274
22,2,134951,False,92281,92277
22,3,134987,True,92302,92281
22,4,134954,True,92280,92302
22,5,134952,False,92274,92280
23,1,134955,False,91897,92282
23,2,135770,False,92774,91897
23,3,135690,False,92283,92774
23,4,134958,False,92282,92283
24,1,135030,False,92283,92330
24,2,135690,True,92774,92283
24,3,135689,False,92338,92774
24,4,135043,False,92330,92338
25,1,134393,True,91885,92330
25,2,135028,True,92328,91885
25,3,134394,True,91886,92328
25,4,134957,True,92283,91886
25,5,135030,True,92330,92283
26,1,134392,False,91883,91886
26,2,134956,True,92282,91883
26,3,134958,True,92283,92282
26,4,134957,False,91886,92283
27,1,134317,True,91825,91886
27,2,134967,True,92289,91825
27,3,134624,True,92053,92289
27,4,134390,True,91884,92053
27,5,134389,True,91883,91884
