nid,x,y,nseq,eid
4543,245412.206166593,470944.891980043,1,134604
4543,245412.206166593,470944.891980043,2,6250
4543,245412.206166593,470944.891980043,3,6249
5123,248355.338298355,573767.270221844,1,134470
5123,248355.338298355,573767.270221844,2,7143
5123,248355.338298355,573767.270221844,3,7121
5124,248695.342281727,585943.214201379,1,134471
5124,248695.342281727,585943.214201379,2,7145
5124,248695.342281727,585943.214201379,3,7144
5137,246792.889448878,520327.982953604,1,135390
5137,246792.889448878,520327.982953604,2,7165
5137,246792.889448878,520327.982953604,3,6248
5138,246909.381983858,524300.247085065,1,134527
5138,246909.381983858,524300.247085065,2,7167
5138,246909.381983858,524300.247085065,3,7166
5141,243114.520626498,389253.574939465,1,134332
5141,243114.520626498,389253.574939465,2,7171
5141,243114.520626498,389253.574939465,3,6253
5145,244456.355342113,436512.333162289,1,135397
5145,244456.355342113,436512.333162289,2,7177
5145,244456.355342113,436512.333162289,3,7176
5149,240921.925989665,311575.277643179,1,7185
5149,240921.925989665,311575.277643179,2,7182
5149,240921.925989665,311575.277643179,3,6746
5151,242117.742466152,354706.121058566,1,7171
5151,242117.742466152,354706.121058566,2,7185
5151,242117.742466152,354706.121058566,3,7184
5167,235570.780126196,115804.120486852,1,7363
5167,235570.780126196,115804.120486852,2,7207
5167,235570.780126196,115804.120486852,3,7206
5271,236857.053339674,161589.966571889,1,134769
5271,236857.053339674,161589.966571889,2,7363
5271,236857.053339674,161589.966571889,3,7342
5272,238908.042214285,237141.730531531,1,134331
5272,238908.042214285,237141.730531531,2,7365
5272,238908.042214285,237141.730531531,3,7364
25866,251186.972654297,669022.620152056,1,37852
25866,251186.972654297,669022.620152056,2,135531
25866,251186.972654297,669022.620152056,3,37850
25866,251186.972654297,669022.620152056,4,7107
26466,479858.80891335,664810.401749186,1,135671
26466,479858.80891335,664810.401749186,2,38765
26466,479858.80891335,664810.401749186,3,38764
26520,547310.434078035,665141.190713745,1,134540
26520,547310.434078035,665141.190713745,2,38850
26520,547310.434078035,665141.190713745,3,38848
26521,513367.194728338,664899.064568706,1,37172
26521,513367.194728338,664899.064568706,2,134546
26521,513367.194728338,664899.064568706,3,38849
26767,310481.558481973,667529.82605685,1,37851
26767,310481.558481973,667529.82605685,2,135508
26767,310481.558481973,667529.82605685,3,39225
26811,597461.871630611,665513.334940844,1,39164
26811,597461.871630611,665513.334940844,2,134641
26811,597461.871630611,665513.334940844,3,39292
26813,657515.21391361,666236.723688257,1,134640
26813,657515.21391361,666236.723688257,2,39295
26813,657515.21391361,666236.723688257,3,39293
26814,781634.477798938,670171.841875055,1,39297
26814,781634.477798938,670171.841875055,2,135756
26814,781634.477798938,670171.841875055,3,39299
26815,661651.141698871,666308.017041344,1,134690
26815,661651.141698871,666308.017041344,2,39298
26815,661651.141698871,666308.017041344,3,39296
27357,452656.517641301,664764.727129089,1,38765
27357,452656.517641301,664764.727129089,2,40127
27357,452656.517641301,664764.727129089,3,40125
27358,437162.065250187,665716.371951039,1,40127
27358,437162.065250187,665716.371951039,2,40126
27358,437162.065250187,665716.371951039,3,39227
27516,390369.650668398,666179.85309704,1,40367
27516,390369.650668398,666179.85309704,2,135452
27516,390369.650668398,666179.85309704,3,40369
27517,369839.360541251,666470.215780434,1,40369
27517,369839.360541251,666470.215780434,2,40368
27517,369839.360541251,666470.215780434,3,39228
91807,474205.653966665,454893.904454987,1,134613
91807,474205.653966665,454893.904454987,2,134298
91807,474205.653966665,454893.904454987,3,134619
91807,474205.653966665,454893.904454987,4,134622
91808,492631.792580696,549186.390383162,1,134299
91808,492631.792580696,549186.390383162,2,134593
91808,492631.792580696,549186.390383162,3,134595
91809,477409.20472137,458095.985211012,1,135039
91809,477409.20472137,458095.985211012,2,134300
91809,477409.20472137,458095.985211012,3,134429
