rn,seq,eid,rev,nodea,nodeb
0,1,124949,True,85425,85506
0,2,125160,True,85579,85425
0,3,125162,True,85580,85579
0,4,125593,True,85873,85580
0,5,126146,True,86227,85873
0,6,126148,True,86228,86227
0,7,126590,True,86505,86228
0,8,125061,True,85507,86505
0,9,125060,True,85506,85507
0,10,124950,True,85426,85960
0,11,125729,True,85960,85426
1,1,125060,False,85507,85506
1,2,125666,True,85920,85507
1,3,125062,True,85506,85920
2,1,125062,False,85920,85506
2,2,125667,True,85919,85920
2,3,125665,True,85506,85919
3,1,124950,False,85960,85426
3,2,125729,False,85426,85960
4,1,125061,False,86505,85507
4,2,126591,True,86504,86505
4,3,126589,True,85920,86504
4,4,125666,False,85507,85920
5,1,125667,False,85920,85919
5,2,126589,False,86504,85920
5,3,126591,False,86505,86504
5,4,126590,False,86228,86505
5,5,126149,False,86260,86228
5,6,126196,False,86257,86260
5,7,126192,False,86506,86257
5,8,126597,True,86509,86506
5,9,126593,True,85919,86509
6,1,124949,False,85506,85425
6,2,125665,False,85919,85506
6,3,126593,False,86509,85919
6,4,126792,True,86635,86509
6,5,126599,True,86510,86635
6,6,126796,True,86638,86510
6,7,126598,True,86508,86638
6,8,126596,False,85579,86508
6,9,125160,False,85425,85579
7,1,124938,False,85483,85417
7,2,125972,True,86111,85483
7,3,125027,True,85482,86111
7,4,125529,True,85832,85482
7,5,125255,True,85646,85832
7,6,125025,True,85481,85646
7,7,125023,False,85417,85481
8,1,124905,False,85476,85391
8,2,125017,False,85509,85476
8,3,125065,False,85771,85509
8,4,125439,True,85770,85771
8,5,125437,False,85391,85770
9,1,125255,False,85832,85646
9,2,125531,True,85833,85832
9,3,125530,True,85831,85833
9,4,125528,False,85830,85831
9,5,125527,True,85829,85830
9,6,125525,False,85646,85829
10,1,125015,False,85831,85476
10,2,125530,False,85833,85831
10,3,125531,False,85832,85833
10,4,125676,True,85926,85832
10,5,125675,False,85475,85926
10,6,125016,False,85476,85475
11,1,124905,True,85391,85476
11,2,125437,True,85770,85391
11,3,125526,True,85830,85770
11,4,125528,True,85831,85830
11,5,125015,True,85476,85831
12,1,124922,False,85926,85405
12,2,125676,False,85832,85926
12,3,125529,False,85482,85832
12,4,125024,False,85405,85482
13,1,124920,True,85403,85404
13,2,125013,True,85475,85403
13,3,125675,True,85926,85475
13,4,124922,True,85405,85926
13,5,124921,False,85404,85405
14,1,124938,True,85417,85483
14,2,125023,True,85481,85417
14,3,124967,True,85441,85481
14,4,124969,True,85442,85441
14,5,125082,True,85522,85442
14,6,125026,True,85483,85522
15,1,124967,False,85481,85441
15,2,125254,False,85645,85481
