nid,x,y,nseq,eid
3817,672323.049891151,6150297.16903323,1,5215
3817,672323.049891151,6150297.16903323,2,126100
4847,686964.535629625,6035375.55576518,1,6715
4847,686964.535629625,6035375.55576518,2,6714
4847,686964.535629625,6035375.55576518,3,6830
4923,685225.157475751,6032762.19373579,1,6830
4923,685225.157475751,6032762.19373579,2,16098
5545,687195.013359601,6043133.5771288,1,7784
5545,687195.013359601,6043133.5771288,2,7785
5545,687195.013359601,6043133.5771288,3,7790
5549,684369.862328024,6041351.44115394,1,7791
5549,684369.862328024,6041351.44115394,2,125114
5550,685212.925847557,6042268.16039025,1,7790
5550,685212.925847557,6042268.16039025,2,7787
5550,685212.925847557,6042268.16039025,3,7791
5691,680334.601503279,6085208.50226048,1,8012
5691,680334.601503279,6085208.50226048,2,8008
5691,680334.601503279,6085208.50226048,3,125111
6033,735897.315682897,6163312.13346651,1,8563
6033,735897.315682897,6163312.13346651,2,8562
6033,735897.315682897,6163312.13346651,3,125117
6034,733335.884233033,6235417.25971513,1,8567
6034,733335.884233033,6235417.25971513,2,125119
6034,733335.884233033,6235417.25971513,3,125142
6336,690754.477975762,6051871.44556954,1,9032
6336,690754.477975762,6051871.44556954,2,9018
6336,690754.477975762,6051871.44556954,3,125110
6337,689995.141594088,6043785.5711771,1,9034
6337,689995.141594088,6043785.5711771,2,9033
6337,689995.141594088,6043785.5711771,3,7784
6338,687268.699187991,6038879.13127217,1,9035
6338,687268.699187991,6038879.13127217,2,6715
6338,687268.699187991,6038879.13127217,3,9037
6339,685199.19534778,6040014.85860883,1,8617
6339,685199.19534778,6040014.85860883,2,9037
6339,685199.19534778,6040014.85860883,3,9036
11417,685595.929900762,6029827.13716853,1,16098
11417,685595.929900762,6029827.13716853,2,9145
11417,685595.929900762,6029827.13716853,3,34755
12104,212791.729504511,6526318.42987663,1,125058
12104,212791.729504511,6526318.42987663,2,17091
12104,212791.729504511,6526318.42987663,3,17093
16421,215322.235687743,6472904.28221975,1,23543
16421,215322.235687743,6472904.28221975,2,23349
16421,215322.235687743,6472904.28221975,3,125045
16422,211301.8538367,6484389.99033058,1,125140
16422,211301.8538367,6484389.99033058,2,23545
16422,211301.8538367,6484389.99033058,3,23544
22020,212073.913151054,6512045.55656733,1,17091
22020,212073.913151054,6512045.55656733,2,32111
22020,212073.913151054,6512045.55656733,3,32109
22349,444916.126838109,6256446.13457436,1,32612
22349,444916.126838109,6256446.13457436,2,27460
22349,444916.126838109,6256446.13457436,3,36388
22556,214090.199738404,6557115.254454,1,126189
22556,214090.199738404,6557115.254454,2,32936
22556,214090.199738404,6557115.254454,3,32014
22935,219267.49208182,6469184.60501516,1,33519
22935,219267.49208182,6469184.60501516,2,33515
22935,219267.49208182,6469184.60501516,3,35115
22936,246141.161239427,6443810.52517161,1,33516
22936,246141.161239427,6443810.52517161,2,33511
22936,246141.161239427,6443810.52517161,3,125041
23452,211654.704125539,6501533.45797563,1,125057
23452,211654.704125539,6501533.45797563,2,34314
23452,211654.704125539,6501533.45797563,3,34311
23453,211934.024823804,6508088.01790313,1,32111
23453,211934.024823804,6508088.01790313,2,34316
23453,211934.024823804,6508088.01790313,3,34315
23734,592057.480406381,6118028.42214449,1,34756
23734,592057.480406381,6118028.42214449,2,34754
23734,592057.480406381,6118028.42214449,3,126120
23735,665543.295242481,6048752.5003027,1,34755
23735,665543.295242481,6048752.5003027,2,16100
23735,665543.295242481,6048752.5003027,3,125112
23966,218401.439374905,6470000.64889236,1,35115
23966,218401.439374905,6470000.64889236,2,23365
23966,218401.439374905,6470000.64889236,3,125046
23967,215464.97626403,6472769.60329173,1,35117
23967,215464.97626403,6472769.60329173,2,35116
