rn,seq,eid,rev,nodea,nodeb
0,1,147405,False,100796,100797
0,2,149848,True,102401,100796
0,3,147408,True,100799,102401
0,4,147407,False,95594,100799
0,5,149365,True,102081,95594
0,6,147409,True,100798,102081
0,7,147406,True,100797,100798
1,1,140982,False,100797,96532
1,2,147406,False,100798,100797
1,3,147409,False,102081,100798
1,4,149367,True,102082,102081
1,5,149366,False,98600,102082
1,6,144075,False,96532,98600
2,1,139617,False,98646,95594
2,2,144144,False,98647,98646
2,3,144143,False,98643,98647
2,4,144137,False,96557,98643
2,5,141023,False,98666,96557
2,6,144173,False,98667,98666
2,7,144172,False,102083,98667
2,8,149368,False,98592,102083
2,9,144062,False,98594,98592
2,10,144068,False,98598,98594
2,11,144074,False,98599,98598
2,12,144073,False,98601,98599
2,13,144078,False,98602,98601
2,14,144077,False,102082,98602
2,15,149367,False,102081,102082
2,16,149365,False,95594,102081
3,1,144056,True,98587,98591
3,2,144175,True,98669,98587
3,3,144064,True,98593,98669
3,4,144061,True,98591,98593
4,1,144057,True,98588,98592
4,2,144058,True,98589,98588
4,3,144097,True,98615,98589
4,4,144092,True,98612,98615
4,5,144089,True,98610,98612
4,6,146491,True,100201,98610
4,7,144067,True,98595,100201
4,8,144066,True,98594,98595
4,9,144062,True,98592,98594
5,1,144057,False,98592,98588
5,2,149368,True,102083,98592
5,3,144172,True,98667,102083
5,4,144063,True,98591,98667
5,5,144061,False,98593,98591
5,6,144065,True,98590,98593
5,7,144060,True,98589,98590
5,8,144058,False,98588,98589
6,1,144066,False,98595,98594
6,2,144069,True,98596,98595
6,3,144072,True,98598,98596
6,4,144068,True,98594,98598
7,1,144067,False,100201,98595
7,2,146491,False,98610,100201
7,3,144091,False,98611,98610
7,4,144090,False,98606,98611
7,5,144083,False,98596,98606
7,6,144069,False,98595,98596
8,1,140983,False,98597,96531
8,2,144076,True,98601,98597
8,3,144073,True,98599,98601
8,4,144074,True,98598,98599
8,5,144072,False,98596,98598
8,6,144083,True,98606,98596
8,7,144079,True,98603,98606
8,8,144070,True,96531,98603
9,1,144071,False,98600,98597
9,2,149366,True,102082,98600
9,3,144077,True,98602,102082
9,4,144078,True,98601,98602
9,5,144076,False,98597,98601
10,1,140983,True,96531,98597
10,2,140985,True,96533,96531
10,3,140984,False,96532,96533
10,4,144075,True,98600,96532
10,5,144071,True,98597,98600
11,1,138847,True,95055,96533
11,2,140991,True,96537,95055
11,3,140997,True,96541,96537
11,4,144108,True,98623,96541
11,5,148856,True,101745,98623
11,6,147404,True,100796,101745
11,7,147405,True,100797,100796
11,8,140982,True,96532,100797
11,9,140984,True,96533,96532
12,1,138847,False,96533,95055
12,2,140985,False,96531,96533
12,3,144070,False,98603,96531
12,4,144081,True,98604,98603
12,5,144080,False,96539,98604
12,6,140995,False,95055,96539
13,1,140988,False,98604,96534
13,2,144081,False,98603,98604
13,3,144079,False,98606,98603
13,4,144084,True,98605,98606
13,5,144082,False,96534,98605
14,1,144084,False,98606,98605
14,2,144090,True,98611,98606
14,3,144087,True,98608,98611
14,4,144086,True,98607,98608
14,5,144085,False,98605,98607
15,1,140679,False,98607,96324
15,2,144086,False,98608,98607
15,3,144087,False,98611,98608
15,4,144091,True,98610,98611
15,5,144089,False,98612,98610
15,6,144094,True,98613,98612
15,7,144093,True,98609,98613
15,8,144088,False,96324,98609
16,1,144092,False,98615,98612
16,2,144099,True,98616,98615
16,3,144098,False,98614,98616
16,4,144102,True,98619,98614
16,5,144096,True,98609,98619
16,6,144093,False,98613,98609
16,7,144094,False,98612,98613
17,1,143854,False,98616,98451
17,2,144099,False,98615,98616
17,3,144097,False,98589,98615
17,4,144060,False,98590,98589
17,5,144059,False,98617,98590
17,6,144100,False,98451,98617
18,1,140679,True,96324,98607
18,2,144088,True,98609,96324
18,3,140989,True,96536,98609
18,4,140986,True,96534,96536
18,5,144082,True,98605,96534
18,6,144085,True,98607,98605
19,1,140989,False,98609,96536
19,2,144096,False,98619,98609
19,3,144103,True,98618,98619
19,4,144101,False,96536,98618
20,1,139608,False,96535,95587
20,2,140990,False,98618,96535
20,3,144103,False,98619,98618
20,4,144102,False,98614,98619
20,5,144095,False,98621,98614
20,6,144106,True,98620,98621
20,7,144104,False,95587,98620
21,1,140986,False,96536,96534
21,2,144101,True,98618,96536
21,3,140990,True,96535,98618
21,4,140992,True,96538,96535
21,5,140994,True,96539,96538
21,6,144080,True,98604,96539
21,7,140988,True,96534,98604
22,1,140991,False,95055,96537
22,2,140995,True,96539,95055
22,3,140994,False,96538,96539
22,4,140993,True,96537,96538
23,1,140987,False,96540,96535
23,2,140998,True,96541,96540
23,3,140997,False,96537,96541
23,4,140993,False,96538,96537
23,5,140992,False,96535,96538
24,1,140996,False,98622,96540
24,2,144109,True,98623,98622
24,3,144108,False,96541,98623
24,4,140998,False,96540,96541
25,1,139608,True,95587,96535
25,2,144104,True,98620,95587
25,3,144147,True,98650,98620
25,4,144149,True,98651,98650
25,5,147826,True,101071,98651
25,6,144107,True,98622,101071
25,7,140996,True,96540,98622
25,8,140987,True,96535,96540
26,1,138325,False,98627,94677
26,2,144114,True,98626,98627
26,3,144112,False,98628,98626
26,4,144122,True,98633,98628
26,5,144116,True,98625,98633
26,6,144118,True,98630,98625
26,7,144128,True,98637,98630
26,8,144111,True,98624,98637
26,9,144110,False,94677,98624
27,1,141000,False,98629,96543
27,2,144131,True,98639,98629
27,3,144119,True,98630,98639
27,4,144118,False,98625,98630
27,5,144116,False,98633,98625
27,6,144123,True,98632,98633
27,7,144121,True,98631,98632
27,8,144120,False,96543,98631
28,1,140228,False,96542,96018
28,2,141001,False,98631,96542
28,3,144121,False,98632,98631
28,4,144123,False,98633,98632
28,5,144122,False,98628,98633
28,6,144115,False,96018,98628
29,1,140999,False,96543,96542
29,2,144120,True,98631,96543
29,3,141001,True,96542,98631
30,1,138894,False,98638,95089
30,2,144130,True,98637,98638
30,3,144128,False,98630,98637
30,4,144119,False,98639,98630
30,5,144132,True,98635,98639
30,6,144125,False,98634,98635
30,7,144127,True,98636,98634
30,8,144126,False,95089,98636
31,1,142205,False,96243,97345
31,2,151015,True,103171,96243
31,3,144124,True,98634,103171
31,4,144125,True,98635,98634
31,5,144133,True,98641,98635
31,6,143804,True,98417,98641
31,7,143803,True,98416,98417
31,8,143802,False,97344,98416
31,9,142206,False,97345,97344
32,1,139613,False,98416,95591
32,2,143803,False,98417,98416
32,3,143804,False,98641,98417
32,4,144134,True,98640,98641
32,5,144136,True,98642,98640
32,6,144135,False,95591,98642
33,1,136155,True,93123,95591
33,2,139610,True,95589,93123
33,3,142211,True,97349,95589
33,4,142204,True,97344,97349
33,5,143802,True,98416,97344
33,6,139613,True,95591,98416
34,1,139609,True,95588,96545
34,2,141005,True,96547,95588
34,3,144117,True,98629,96547
34,4,141000,True,96543,98629
34,5,140999,True,96542,96543
34,6,140228,True,96018,96542
34,7,140230,True,96019,96018
34,8,141003,True,96545,96019
35,1,136198,True,93163,96544
35,2,139611,True,95590,93163
35,3,139614,True,95592,95590
35,4,141002,True,96544,95592
36,1,139615,False,98642,95592
36,2,144136,False,98640,98642
36,3,144134,False,98641,98640
36,4,144133,False,98635,98641
36,5,144132,False,98639,98635
36,6,144131,False,98629,98639
36,7,144117,False,96547,98629
36,8,141006,False,96544,96547
36,9,141002,False,95592,96544
37,1,139611,False,93163,95590
37,2,141004,False,100290,93163
37,3,146626,True,100289,100290
37,4,146624,False,95590,100289
