nid,x,y,nseq,eid
27705,504589.266573674,164503.102495421,1,42495
27705,504589.266573674,164503.102495421,2,40606
27724,506052.302863269,218083.736243499,1,42272
27724,506052.302863269,218083.736243499,2,40631
28109,489885.577986054,126150.877469944,1,41176
28109,489885.577986054,126150.877469944,2,138536
28110,494769.049875063,129368.24334907,1,41175
28110,494769.049875063,129368.24334907,2,41166
28110,494769.049875063,129368.24334907,3,138538
28125,507857.551925474,137911.51953642,1,41200
28125,507857.551925474,137911.51953642,2,42466
28125,507857.551925474,137911.51953642,3,148477
28165,500638.261294651,133185.009292906,1,41261
28165,500638.261294651,133185.009292906,2,41921
28165,500638.261294651,133185.009292906,3,150804
28582,509850.813047736,139186.515062042,1,41883
28582,509850.813047736,139186.515062042,2,41200
28582,509850.813047736,139186.515062042,3,41884
28652,497603.012427609,131233.379700882,1,41990
28652,497603.012427609,131233.379700882,2,41989
28652,497603.012427609,131233.379700882,3,41175
28672,504828.230357699,174087.077885455,1,42981
28672,504828.230357699,174087.077885455,2,143711
28672,504828.230357699,174087.077885455,3,42018
28839,505741.915568459,207105.001195618,1,43000
28839,505741.915568459,207105.001195618,2,42273
28840,506051.712526274,218013.321025476,1,42274
28840,506051.712526274,218013.321025476,2,148075
28840,506051.712526274,218013.321025476,3,42272
28988,504583.554072999,164348.636767559,1,42496
28988,504583.554072999,164348.636767559,2,43026
28988,504583.554072999,164348.636767559,3,42495
29027,504124.672554312,135442.599960593,1,42554
29027,504124.672554312,135442.599960593,2,42553
29027,504124.672554312,135442.599960593,3,41261
29032,495930.514361176,115208.708042487,1,42561
29032,495930.514361176,115208.708042487,2,140583
29203,494805.055090245,118706.253570624,1,42546
29203,494805.055090245,118706.253570624,2,150439
29203,494805.055090245,118706.253570624,3,42818
29214,496279.398562167,116307.471794904,1,42834
29214,496279.398562167,116307.471794904,2,147610
29214,496279.398562167,116307.471794904,3,42835
29215,496311.134932911,116485.50553168,1,42835
29215,496311.134932911,116485.50553168,2,42837
29216,496308.488276688,116529.226614264,1,42819
29216,496308.488276688,116529.226614264,2,42837
29216,496308.488276688,116529.226614264,3,42836
29261,508270.922192486,141958.890136032,1,42905
29261,508270.922192486,141958.890136032,2,41884
29261,508270.922192486,141958.890136032,3,42907
29262,506951.863984219,143950.600488198,1,42633
29262,506951.863984219,143950.600488198,2,42907
29262,506951.863984219,143950.600488198,3,42906
29312,504807.893231017,173314.336580172,1,42616
29312,504807.893231017,173314.336580172,2,42984
29312,504807.893231017,173314.336580172,3,42981
29313,504744.301282786,170901.479804328,1,42982
29313,504744.301282786,170901.479804328,2,148190
29313,504744.301282786,170901.479804328,3,42983
29314,504744.699413796,170916.569937642,1,42983
29314,504744.699413796,170916.569937642,2,141988
29314,504744.699413796,170916.569937642,3,42984
29324,505264.629392317,189621.828142356,1,42998
29324,505264.629392317,189621.828142356,2,143712
29324,505264.629392317,189621.828142356,3,42999
29325,505272.259398959,190081.080817446,1,42999
29325,505272.259398959,190081.080817446,2,149434
29325,505272.259398959,190081.080817446,3,43001
29326,505624.919839685,203514.276577045,1,42996
29326,505624.919839685,203514.276577045,2,149139
29326,505624.919839685,203514.276577045,3,43000
29339,504301.211065454,157322.910966177,1,43048
29339,504301.211065454,157322.910966177,2,43022
29343,504576.158504335,164148.686155496,1,42499
29343,504576.158504335,164148.686155496,2,43029
29343,504576.158504335,164148.686155496,3,43026
29344,504333.536187753,158747.669629987,1,43027
29344,504333.536187753,158747.669629987,2,43022
29344,504333.536187753,158747.669629987,3,43028
29345,504335.582754607,158837.940971731,1,43028
29345,504335.582754607,158837.940971731,2,148185
29345,504335.582754607,158837.940971731,3,43029
29358,504907.727719824,146936.675843457,1,43047
29358,504907.727719824,146936.675843457,2,148478
29358,504907.727719824,146936.675843457,3,43049
29359,504290.912805572,157152.623148175,1,43020
29359,504290.912805572,157152.623148175,2,147968
29359,504290.912805572,157152.623148175,3,43048
29360,504047.975921759,148963.400627669,1,43049
29360,504047.975921759,148963.400627669,2,149629
29360,504047.975921759,148963.400627669,3,43050
70182,509948.264456939,259794.63213136,1,102667
70182,509948.264456939,259794.63213136,2,138830
70182,509948.264456939,259794.63213136,3,102669
70324,521116.083692484,307811.680227089,1,102876
70324,521116.083692484,307811.680227089,2,102880
70324,521116.083692484,307811.680227089,3,102877
70326,521046.785950997,307512.901508096,1,103011
70326,521046.785950997,307512.901508096,2,138328
70326,521046.785950997,307512.901508096,3,102880
70340,506305.121106978,232247.556859563,1,102900
70340,506305.121106978,232247.556859563,2,40631
70340,506305.121106978,232247.556859563,3,102901
70341,504434.271076019,236253.089511662,1,136174
70341,504434.271076019,236253.089511662,2,102902
70419,511403.093203059,266039.785677185,1,103010
70419,511403.093203059,266039.785677185,2,138832
70419,511403.093203059,266039.785677185,3,103012
70420,518736.550244234,297571.364748192,1,102888
70420,518736.550244234,297571.364748192,2,138331
70420,518736.550244234,297571.364748192,3,103011
70421,512115.251838991,269102.104376454,1,103012
70421,512115.251838991,269102.104376454,2,103013
88163,454921.691197466,74487.7331006053,1,128910
88163,454921.691197466,74487.7331006053,2,136228
88163,454921.691197466,74487.7331006053,3,132876
88181,468650.070216741,90535.1138587158,1,133045
88181,468650.070216741,90535.1138587158,2,128931
88181,468650.070216741,90535.1138587158,3,128933
88480,466406.014632596,83497.8720488819,1,129349
88480,466406.014632596,83497.8720488819,2,129351
88480,466406.014632596,83497.8720488819,3,138217
88667,411906.91251312,150191.281283367,1,129620
88667,411906.91251312,150191.281283367,2,128494
88667,411906.91251312,150191.281283367,3,136499
88758,435913.493646963,135995.268759624,1,129754
88758,435913.493646963,135995.268759624,2,129756
88758,435913.493646963,135995.268759624,3,132871
88859,437485.621552137,135093.354727946,1,129905
88859,437485.621552137,135093.354727946,2,129903
88859,437485.621552137,135093.354727946,3,129754
89000,470711.49395959,116846.670061698,1,130113
89000,470711.49395959,116846.670061698,2,130111
89000,470711.49395959,116846.670061698,3,147997
89015,471873.175356519,97873.2399926094,1,139207
89015,471873.175356519,97873.2399926094,2,130132
89015,471873.175356519,97873.2399926094,3,130134
89730,443305.091698286,131688.950026386,1,131211
89730,443305.091698286,131688.950026386,2,131210
89730,443305.091698286,131688.950026386,3,138363
90005,473881.507020203,115101.516971491,1,131623
90005,473881.507020203,115101.516971491,2,131621
90005,473881.507020203,115101.516971491,3,142338
90006,474396.657978322,104853.150149758,1,131622
90006,474396.657978322,104853.150149758,2,131624
90006,474396.657978322,104853.150149758,3,136963
90152,421445.785500086,144674.235426607,1,131848
90152,421445.785500086,144674.235426607,2,131846
90152,421445.785500086,144674.235426607,3,149023
90470,468300.211149984,89848.3064197527,1,138244
