rn,seq,eid,rev,nodea,nodeb
0,1,163394,False,113102,111812
0,2,165333,True,113103,113102
0,3,165339,True,113107,113103
0,4,165332,True,113101,113107
0,5,165330,False,112081,113101
0,6,163791,False,112082,112081
0,7,163790,False,111812,112082
1,1,165331,False,113109,113102
1,2,165342,True,113108,113109
1,3,166477,True,113851,113108
1,4,165340,True,113107,113851
1,5,165339,False,113103,113107
1,6,165333,False,113102,113103
2,1,165332,False,113107,113101
2,2,165340,False,113851,113107
2,3,167254,True,114364,113851
2,4,166478,True,113849,114364
2,5,166474,False,113848,113849
2,6,167785,True,114718,113848
2,7,166476,True,113850,114718
2,8,166475,False,113101,113850
3,1,162034,False,113850,110900
3,2,166476,False,114718,113850
3,3,167785,False,113848,114718
3,4,166473,False,110900,113848
4,1,86692,False,110891,59091
4,2,163787,True,112080,110891
4,3,163789,True,112081,112080
4,4,165330,True,113101,112081
4,5,166475,True,113850,113101
4,6,162034,True,110900,113850
4,7,162021,True,110890,110900
4,8,162019,True,110889,110890
4,9,162018,False,59783,110889
4,10,87709,False,59092,59783
4,11,86694,False,59091,59092
5,1,87711,False,110889,59784
5,2,162019,False,110890,110889
5,3,162021,False,110900,110890
5,4,166473,True,113848,110900
5,5,166474,True,113849,113848
5,6,162035,True,110899,113849
5,7,162033,False,59784,110899
6,1,163652,False,114057,111988
6,2,166790,True,114058,114057
6,3,166789,False,111988,114058
7,1,160169,False,109086,109600
7,2,166788,True,114057,109086
7,3,163652,True,111988,114057
7,4,163654,True,111989,111988
7,5,163657,True,111991,111989
7,6,162037,True,110901,111991
7,7,162040,True,110904,110901
7,8,162036,True,110896,110904
7,9,162028,False,109600,110896
8,1,159357,False,110895,109010
8,2,162027,False,110896,110895
8,3,162036,False,110904,110896
8,4,162041,True,110903,110904
8,5,162039,False,109850,110903
8,6,162042,True,110902,109850
8,7,162038,False,109010,110902
9,1,162044,False,114062,110906
9,2,166796,True,114060,114062
9,3,166792,False,114059,114060
9,4,166794,True,114061,114059
9,5,166793,False,110906,114061
10,1,160517,False,110906,109850
