nid,x,y,nseq,eid
51730,399569.799905399,-47084.6511828743,1,75952
51730,399569.799905399,-47084.6511828743,2,75954
51730,399569.799905399,-47084.6511828743,3,159593
51798,407241.967239048,190191.929832736,1,76049
51798,407241.967239048,190191.929832736,2,76051
51798,407241.967239048,190191.929832736,3,159744
52201,405838.066064635,132266.187632521,1,76642
52201,405838.066064635,132266.187632521,2,76641
52201,405838.066064635,132266.187632521,3,161803
52218,406049.195245587,142023.298433763,1,76669
52218,406049.195245587,142023.298433763,2,76667
52218,406049.195245587,142023.298433763,3,165611
52639,406271.553139995,151682.707494787,1,77291
52639,406271.553139995,151682.707494787,2,76671
52639,406271.553139995,151682.707494787,3,79859
52783,405586.722578795,122552.489733405,1,77518
52783,405586.722578795,122552.489733405,2,77516
52783,405586.722578795,122552.489733405,3,76642
52784,405343.200822874,112912.99773384,1,77517
52784,405343.200822874,112912.99773384,2,76640
52784,405343.200822874,112912.99773384,3,160450
52835,399425.873921014,-53449.2257192151,1,77600
52835,399425.873921014,-53449.2257192151,2,77596
52835,399425.873921014,-53449.2257192151,3,75952
52837,399253.17462933,-58932.2182071641,1,77598
52837,399253.17462933,-58932.2182071641,2,77479
52837,399253.17462933,-58932.2182071641,3,162757
53135,407491.647419531,200068.183226804,1,78036
53135,407491.647419531,200068.183226804,2,76050
53135,407491.647419531,200068.183226804,3,159718
53240,399882.487420678,-37488.4837206998,1,158901
53240,399882.487420678,-37488.4837206998,2,78191
53240,399882.487420678,-37488.4837206998,3,77191
53240,399882.487420678,-37488.4837206998,4,162350
53422,405078.818507332,103130.412042166,1,78467
53422,405078.818507332,103130.412042166,2,78466
53422,405078.818507332,103130.412042166,3,160449
53424,404557.933998983,89293.5581744087,1,78470
53424,404557.933998983,89293.5581744087,2,78469
53424,404557.933998983,89293.5581744087,3,163309
53955,404170.139513708,74037.8368406324,1,79284
53955,404170.139513708,74037.8368406324,2,79282
53955,404170.139513708,74037.8368406324,3,163335
53956,403771.72212304,64460.5306480945,1,79283
53956,403771.72212304,64460.5306480945,2,75783
53956,403771.72212304,64460.5306480945,3,159267
53961,402676.61577965,40195.1725161597,1,79291
53961,402676.61577965,40195.1725161597,2,76541
53961,402676.61577965,40195.1725161597,3,159265
53963,403546.65379716,59621.9956635479,1,79295
53963,403546.65379716,59621.9956635479,2,79294
53963,403546.65379716,59621.9956635479,3,79283
54079,407681.028310232,209475.548616501,1,79473
54079,407681.028310232,209475.548616501,2,79474
54079,407681.028310232,209475.548616501,3,79478
54082,408037.500776164,227123.609382547,1,79478
54082,408037.500776164,227123.609382547,2,79477
54082,408037.500776164,227123.609382547,3,108443
54137,400874.934961494,-13428.395397551,1,79560
54137,400874.934961494,-13428.395397551,2,78207
54137,400874.934961494,-13428.395397551,3,162352
54138,401288.397195595,-428.352624396,1,79562
54138,401288.397195595,-428.352624396,2,79561
54138,401288.397195595,-428.352624396,3,79712
54232,402233.333625889,28779.0173304069,1,79706
54232,402233.333625889,28779.0173304069,2,79701
54232,402233.333625889,28779.0173304069,3,163639
54234,401996.285184857,23007.7142325938,1,79703
54234,401996.285184857,23007.7142325938,2,75850
54234,401996.285184857,23007.7142325938,3,79706
54239,401583.378046341,9290.57150801379,1,79712
54239,401583.378046341,9290.57150801379,2,79559
54239,401583.378046341,9290.57150801379,3,79714
54240,401837.331420221,19017.6175936094,1,79714
54240,401837.331420221,19017.6175936094,2,79713
54240,401837.331420221,19017.6175936094,3,163637
54275,407017.509045837,180734.691860629,1,79766
54275,407017.509045837,180734.691860629,2,79764
54275,407017.509045837,180734.691860629,3,159741
54339,406773.633655718,171164.169699704,1,79860
54339,406773.633655718,171164.169699704,2,79858
54339,406773.633655718,171164.169699704,3,167543
54340,406526.217954624,161372.930591769,1,79859
54340,406526.217954624,161372.930591769,2,77292
54340,406526.217954624,161372.930591769,3,167540
57896,483958.008382688,-104748.693510632,1,84990
57896,483958.008382688,-104748.693510632,2,87841
57896,483958.008382688,-104748.693510632,3,159602
57951,432540.214304084,-62530.8244294973,1,85057
57951,432540.214304084,-62530.8244294973,2,85056
57951,432540.214304084,-62530.8244294973,3,162621
58013,427034.668240159,-61075.2837501764,1,85135
58013,427034.668240159,-61075.2837501764,2,86970
58379,572801.094535574,-121904.420632341,1,85648
58379,572801.094535574,-121904.420632341,2,85360
58379,572801.094535574,-121904.420632341,3,159515
58470,578097.22995952,-122930.484408106,1,85778
58470,578097.22995952,-122930.484408106,2,85777
58470,578097.22995952,-122930.484408106,3,85648
58550,490338.404126093,-111981.301635543,1,85897
58550,490338.404126093,-111981.301635543,2,85895
58550,490338.404126093,-111981.301635543,3,84990
58608,432916.641042311,-65798.3123104897,1,85979
58608,432916.641042311,-65798.3123104897,2,84934
58608,432916.641042311,-65798.3123104897,3,85983
58610,432635.515463803,-64090.9757267729,1,85983
58610,432635.515463803,-64090.9757267729,2,85982
58610,432635.515463803,-64090.9757267729,3,159483
58961,427480.95460018,-60662.221519072,1,86502
58961,427480.95460018,-60662.221519072,2,86501
58961,427480.95460018,-60662.221519072,3,166097
59019,399231.6639088,-59656.8559722135,1,86588
59019,399231.6639088,-59656.8559722135,2,86586
59019,399231.6639088,-59656.8559722135,3,77598
59087,416141.229000855,-63538.1550909544,1,86687
59087,416141.229000855,-63538.1550909544,2,86686
59087,416141.229000855,-63538.1550909544,3,86824
59090,553798.810303544,-104389.727154205,1,86691
59090,553798.810303544,-104389.727154205,2,86056
59090,553798.810303544,-104389.727154205,3,160588
59091,531426.945314853,-118255.413669856,1,86692
59091,531426.945314853,-118255.413669856,2,86694
59092,531409.265964895,-118267.192300931,1,86694
59092,531409.265964895,-118267.192300931,2,86693
59092,531409.265964895,-118267.192300931,3,87709
59181,415112.994317694,-62946.1509189922,1,86824
59181,415112.994317694,-62946.1509189922,2,86823
59181,415112.994317694,-62946.1509189922,3,162749
59203,590314.709265297,-132713.059419326,1,86857
59203,590314.709265297,-132713.059419326,2,86855
59203,590314.709265297,-132713.059419326,3,160402
59204,591126.177293652,-135950.43876982,1,86856
59204,591126.177293652,-135950.43876982,2,86852
59204,591126.177293652,-135950.43876982,3,159126
59232,459845.08058609,-97098.7988797553,1,86900
59232,459845.08058609,-97098.7988797553,2,86898
59232,459845.08058609,-97098.7988797553,3,87988
59280,426377.51549146,-61485.7242071447,1,86971
59280,426377.51549146,-61485.7242071447,2,86969
59280,426377.51549146,-61485.7242071447,3,165625
59281,426735.168858855,-61315.806942418,1,86970
59281,426735.168858855,-61315.806942418,2,85327
59281,426735.168858855,-61315.806942418,3,86971
59284,428264.249702214,-59499.5470928106,1,86976
59284,428264.249702214,-59499.5470928106,2,86975
59284,428264.249702214,-59499.5470928106,3,86502
59287,432066.85958138,-59981.4921245615,1,86980
59287,432066.85958138,-59981.4921245615,2,86977
59287,432066.85958138,-59981.4921245615,3,86982
59288,429028.988110801,-58866.4673989354,1,86982
59288,429028.988110801,-58866.4673989354,2,86981
59288,429028.988110801,-58866.4673989354,3,86976
59290,444332.329276511,-75621.111274132,1,86985
59290,444332.329276511,-75621.111274132,2,85026
59290,444332.329276511,-75621.111274132,3,166249
59296,433579.499502536,-66544.5693584509,1,86996
59296,433579.499502536,-66544.5693584509,2,86994
59296,433579.499502536,-66544.5693584509,3,159482
59297,440916.189477386,-68716.2092382957,1,86995
