rn,seq,eid,rev,nodea,nodeb
0,1,11835,False,115190,8271
0,2,169631,True,115989,115190
0,3,169467,True,115881,115989
0,4,168450,True,115192,115881
0,5,168449,False,115191,115192
0,6,168448,True,115189,115191
0,7,168445,False,8097,115189
0,8,11837,False,8275,8097
0,9,11836,False,8271,8275
1,1,11897,False,115189,8318
1,2,168448,False,115191,115189
1,3,168447,False,115669,115191
1,4,169151,True,115668,115669
1,5,169149,False,115087,115668
1,6,168308,False,8318,115087
2,1,168309,False,115673,115086
2,2,171063,True,116955,115673
2,3,169158,True,115672,116955
2,4,169154,False,115668,115672
2,5,169151,False,115669,115668
2,6,169150,False,115674,115669
2,7,169157,True,115671,115674
2,8,170863,True,116821,115671
2,9,169153,True,115670,116821
2,10,169152,False,115086,115670
3,1,169155,False,115672,115673
3,2,169158,False,116955,115672
3,3,171063,False,115673,116955
4,1,11586,False,8103,6765
4,2,11898,False,115087,8103
4,3,169149,True,115668,115087
4,4,169154,True,115672,115668
4,5,169155,True,115673,115672
4,6,168309,True,115086,115673
4,7,169152,True,115670,115086
4,8,170861,True,116820,115670
4,9,168307,True,115085,116820
4,10,168306,False,6765,115085
5,1,82702,False,115069,56332
5,2,168286,False,115302,115069
5,3,168607,True,115304,115302
5,4,168609,True,115305,115304
5,5,169209,True,115711,115305
5,6,168606,True,115301,115711
5,7,168604,False,56332,115301
6,1,168605,False,116877,115302
6,2,170946,False,115303,116877
6,3,168608,False,115304,115303
6,4,168607,False,115302,115304
7,1,168608,True,115303,115304
7,2,170356,True,116480,115303
7,3,170087,True,116297,116480
7,4,171347,True,117148,116297
7,5,168610,True,115305,117148
7,6,168609,False,115304,115305
8,1,168468,True,115207,115451
8,2,168623,True,115315,115207
8,3,168470,True,115209,115315
8,4,168469,False,115208,115209
8,5,168955,True,115542,115208
8,6,170701,True,116712,115542
8,7,168823,True,115451,116712
9,1,168623,False,115207,115315
9,2,168822,False,115842,115207
9,3,169415,False,116961,115842
9,4,171071,False,115843,116961
9,5,169414,False,115315,115843
10,1,168625,False,115843,115316
10,2,171071,True,116961,115843
10,3,169415,True,115842,116961
10,4,169413,False,115841,115842
10,5,171273,True,117098,115841
10,6,169412,True,115840,117098
10,7,169850,True,116140,115840
10,8,169852,True,116141,116140
10,9,169410,True,115839,116141
10,10,169409,False,115549,115839
10,11,168965,False,115316,115549
11,1,168246,False,115188,115036
11,2,168444,False,115186,115188
11,3,168442,False,115209,115186
11,4,168470,False,115315,115209
11,5,169414,True,115843,115315
11,6,168625,True,115316,115843
11,7,168965,True,115549,115316
11,8,168624,True,115314,115549
11,9,168622,False,115036,115314
12,1,84683,False,57759,57675
12,2,84808,False,57760,57759
12,3,84807,False,116833,57760
12,4,170882,False,116414,116833
12,5,170261,False,116416,116414
12,6,170260,False,115844,116416
12,7,169416,False,116415,115844
12,8,170259,False,115526,116415
12,9,168936,False,115527,115526
12,10,168935,False,57675,115527
13,1,170254,False,115526,116412
13,2,170259,True,116415,115526
13,3,170258,False,116416,116415
13,4,170261,True,116414,116416
13,5,170257,False,116413,116414
13,6,209117,True,143185,116413
13,7,210961,True,144418,143185
13,8,171322,True,117130,144418
13,9,170256,True,116412,117130
14,1,169416,True,115844,116415
14,2,170260,True,116416,115844
14,3,170258,True,116415,116416
15,1,169849,False,116899,116138
15,2,170982,True,116902,116899
15,3,170981,False,116750,116902
15,4,170757,False,116900,116750
15,5,170983,True,116901,116900
15,6,171074,True,116964,116901
15,7,170980,True,116138,116964
16,1,170979,False,116963,116900
16,2,171073,True,116962,116963
16,3,171075,True,116964,116962
16,4,171074,False,116901,116964
16,5,170983,False,116900,116901
17,1,169417,True,115845,116749
17,2,202156,True,138640,115845
17,3,198983,True,136493,138640
17,4,171129,True,117001,136493
17,5,169893,True,116169,117001
17,6,169891,True,116168,116169
17,7,170755,True,116749,116168
18,1,169892,False,116969,116168
18,2,171084,True,116970,116969
18,3,171083,False,116138,116970
18,4,170980,False,116964,116138
18,5,171075,False,116962,116964
18,6,171073,False,116963,116962
18,7,171072,False,116749,116963
18,8,170755,False,116168,116749
19,1,169126,False,115205,115653
19,2,169908,True,116181,115205
19,3,169903,True,116177,116181
19,4,169128,True,115654,116177
19,5,169420,True,115848,115654
19,6,169401,True,115834,115848
19,7,169127,True,115653,115834
20,1,169128,False,116177,115654
20,2,169904,False,116176,116177
20,3,169902,False,115847,116176
20,4,169421,False,115848,115847
20,5,169420,False,115654,115848
21,1,169401,False,115848,115834
21,2,169421,True,115847,115848
21,3,169596,True,115968,115847
21,4,169598,True,115969,115968
21,5,171080,True,116968,115969
21,6,171103,True,116983,116968
21,7,169419,True,115846,116983
21,8,169418,False,115834,115846
21,9,169422,True,115849,117137
21,10,171332,True,117137,115849
22,1,169422,False,117137,115849
22,2,171332,False,115849,117137
23,1,169599,False,116967,115969
23,2,171106,True,116985,116967
23,3,171079,True,116966,116985
23,4,171077,False,116965,116966
23,5,171081,True,116968,116965
23,6,171080,False,115969,116968
24,1,168624,False,115549,115314
24,2,169409,True,115839,115549
24,3,170069,True,116285,115839
24,4,169425,True,115852,116285
24,5,168966,True,115548,115852
24,6,169423,True,115850,115548
24,7,200450,True,137496,115850
24,8,168964,True,115547,137496
24,9,168963,False,115314,115547
25,1,169410,False,116141,115839
25,2,169854,False,117205,116141
25,3,171436,False,116978,117205
25,4,171098,False,116979,116978
25,5,171096,False,116285,116979
25,6,170069,False,115839,116285
26,1,168966,False,115852,115548
26,2,169429,True,115855,115852
26,3,169426,True,115851,115855
26,4,169427,True,115853,115851
26,5,203825,True,139743,115853
26,6,203612,True,139599,139743
26,7,203614,True,139600,139599
26,8,169424,True,115850,139600
26,9,169423,False,115548,115850
27,1,169851,True,116139,116279
27,2,170051,True,116273,116139
27,3,169856,True,116143,116273
27,4,169855,False,116142,116143
27,5,170073,True,116288,116142
27,6,171102,True,116982,116288
27,7,171094,True,116977,116982
27,8,171095,True,116978,116977
27,9,171436,True,117205,116978
27,10,169854,True,116141,117205
27,11,169852,False,116140,116141
27,12,170059,True,116279,116140
28,1,169425,False,116285,115852
28,2,171096,True,116979,116285
28,3,170072,True,116287,116979
28,4,170071,False,116286,116287
28,5,170074,True,116288,116286
28,6,170073,False,116142,116288
28,7,169853,False,115855,116142
28,8,169429,False,115852,115855
29,1,168259,False,116148,115048
29,2,169863,False,116144,116148
29,3,169858,False,116145,116144
29,4,169857,False,115049,116145
29,5,168260,False,116980,115049
29,6,171099,False,116977,116980
29,7,171094,False,116982,116977
29,8,171102,False,116288,116982
29,9,170074,False,116286,116288
29,10,170070,False,115048,116286
30,1,168260,True,115049,116980
30,2,169857,True,116145,115049
30,3,169859,True,116146,116145
30,4,171097,True,116980,116146
31,1,169858,True,116144,116145
31,2,169863,True,116148,116144
31,3,169862,False,116147,116148
31,4,169861,True,116146,116147
31,5,169859,False,116145,116146
32,1,168259,True,115048,116148
32,2,170070,True,116286,115048
32,3,170071,True,116287,116286
32,4,169860,True,116147,116287
32,5,169862,True,116148,116147
33,1,169860,False,116287,116147
33,2,170072,False,116979,116287
33,3,171098,True,116978,116979
33,4,171095,False,116977,116978
33,5,171099,True,116980,116977
33,6,171097,False,116146,116980
33,7,169861,False,116147,116146
34,1,169426,False,115855,115851
34,2,169853,True,116142,115855
34,3,169855,True,116143,116142
34,4,170363,True,116484,116143
34,5,203837,True,139751,116484
34,6,169430,True,115854,139751
34,7,203833,True,139749,115854
34,8,169428,True,115853,139749
34,9,169427,False,115851,115853
35,1,169431,False,115706,115856
35,2,171076,True,116965,115706
35,3,171077,True,116966,116965
35,4,169433,True,115857,116966
35,5,169435,True,115859,115857
35,6,169436,True,115860,115859
35,7,169442,True,115864,115860
35,8,169432,True,115856,115864
36,1,169433,False,116966,115857
36,2,171079,False,116985,116966
36,3,171108,True,116986,116985
36,4,171107,False,116875,116986
36,5,170941,False,115859,116875
36,6,169435,False,115857,115859
37,1,168748,False,115861,115400
37,2,169439,True,115860,115861
37,3,169436,False,115859,115860
37,4,170941,True,116875,115859
37,5,169440,True,115862,116875
37,6,170936,True,116871,115862
37,7,170178,True,116359,116871
37,8,169438,True,115858,116359
37,9,169434,False,115400,115858
38,1,169437,False,115863,115861
38,2,169456,True,115873,115863
38,3,169443,True,115864,115873
38,4,169442,False,115860,115864
38,5,169439,False,115861,115860
39,1,168251,False,115056,115041
39,2,168270,False,115704,115056
39,3,169199,False,115700,115704
39,4,169202,False,115856,115700
39,5,169432,False,115864,115856
39,6,169443,False,115873,115864
39,7,169456,False,115863,115873
39,8,169441,False,115041,115863
39,9,168745,False,115398,115398
40,1,168745,True,115398,115398
41,1,168746,False,115041,115399
41,2,169441,True,115863,115041
41,3,169437,True,115861,115863
41,4,168748,True,115400,115861
41,5,169434,True,115858,115400
41,6,170176,True,116357,115858
41,7,168747,True,115399,116357
42,1,168251,True,115041,115056
42,2,168746,True,115399,115041
42,3,168269,True,115057,115399
42,4,168268,True,115056,115057
43,1,168744,False,116984,115397
43,2,171105,True,116983,116984
43,3,171103,False,116968,116983
43,4,171081,False,116965,116968
43,5,171076,False,115706,116965
43,6,169201,False,115876,115706
43,7,169462,False,115877,115876
43,8,169461,False,115397,115877
44,1,168755,False,115045,115405
44,2,171115,True,116991,115045
44,3,171114,False,115406,116991
44,4,168757,False,115405,115406
45,1,168354,False,115396,115120
45,2,168742,True,115393,115396
45,3,169449,True,115868,115393
45,4,168738,True,115392,115868
45,5,168736,False,115394,115392
45,6,168756,True,115406,115394
45,7,171114,True,116991,115406
45,8,171104,True,116984,116991
45,9,168744,True,115397,116984
45,10,169461,True,115877,115397
45,11,168743,True,115395,115877
45,12,168740,False,115120,115395
46,1,168353,False,115393,115121
