nid,x,y,nseq,eid
6757,906718.067305483,148653.403459177,1,9677
6757,906718.067305483,148653.403459177,2,11712
6757,906718.067305483,148653.403459177,3,11828
6765,917090.549496582,89959.2268050083,1,9685
6765,917090.549496582,89959.2268050083,2,168306
6765,917090.549496582,89959.2268050083,3,11586
6927,926212.609139879,-143552.578840076,1,169641
6927,926212.609139879,-143552.578840076,2,9894
6928,926014.092896181,-127740.459516078,1,9901
6928,926014.092896181,-127740.459516078,2,9896
6932,926013.391020862,-128484.485173972,1,9900
6932,926013.391020862,-128484.485173972,2,9894
6932,926013.391020862,-128484.485173972,3,9901
6996,924640.407915146,-13196.5559285464,1,11429
6996,924640.407915146,-13196.5559285464,2,9990
7006,925820.663578682,-111617.881837802,1,10001
7006,925820.663578682,-111617.881837802,2,9896
7006,925820.663578682,-111617.881837802,3,10003
7008,925820.648940133,-111617.077392679,1,10003
7008,925820.648940133,-111617.077392679,2,168868
7008,925820.648940133,-111617.077392679,3,10004
7397,922992.384316537,56030.1288381218,1,10557
7397,922992.384316537,56030.1288381218,2,170235
7397,922992.384316537,56030.1288381218,3,11946
7775,924774.701746573,-29600.7626059158,1,11109
7775,924774.701746573,-29600.7626059158,2,11106
7778,925108.636906823,-55388.4822857557,1,11112
7778,925108.636906823,-55388.4822857557,2,11110
7779,924807.513582119,-33640.5721056427,1,11104
7779,924807.513582119,-33640.5721056427,2,169650
7779,924807.513582119,-33640.5721056427,3,11109
7780,925229.10796035,-65147.7248447659,1,11774
7780,925229.10796035,-65147.7248447659,2,11113
7781,925109.453411675,-55452.9721889229,1,11108
7781,925109.453411675,-55452.9721889229,2,11113
7781,925109.453411675,-55452.9721889229,3,11112
7872,924161.398749707,49418.2436021977,1,11434
7872,924161.398749707,49418.2436021977,2,11247
7873,924166.637393301,49757.8365517955,1,10560
7873,924166.637393301,49757.8365517955,2,11247
7873,924166.637393301,49757.8365517955,3,11246
7992,924730.222803198,-24144.5866839064,1,11426
7992,924730.222803198,-24144.5866839064,2,170270
7992,924730.222803198,-24144.5866839064,3,11430
7995,924696.487566394,-20021.5962910989,1,11424
7995,924696.487566394,-20021.5962910989,2,11430
7995,924696.487566394,-20021.5962910989,3,11429
7997,923792.001510846,48786.2766256817,1,11435
7997,923792.001510846,48786.2766256817,2,11743
7997,923792.001510846,48786.2766256817,3,170236
7998,924145.493834204,49391.0311073832,1,11434
7998,924145.493834204,49391.0311073832,2,11248
7998,924145.493834204,49391.0311073832,3,11435
8027,924214.221490051,43616.3878131233,1,11478
8027,924214.221490051,43616.3878131233,2,11930
8027,924214.221490051,43616.3878131233,3,11742
8032,924236.986701455,36383.6775985427,1,11502
8032,924236.986701455,36383.6775985427,2,11484
8045,924315.543384669,24703.0512747377,1,11506
8045,924315.543384669,24703.0512747377,2,11503
8046,924238.99353576,36113.287836524,1,11486
8046,924238.99353576,36113.287836524,2,168850
8046,924238.99353576,36113.287836524,3,11502
8047,924510.479990091,-1392.70578552442,1,11504
8047,924510.479990091,-1392.70578552442,2,9990
8047,924510.479990091,-1392.70578552442,3,11505
8048,924504.199242031,-506.898216239289,1,11505
8048,924504.199242031,-506.898216239289,2,11507
8049,924323.057954745,24082.1232739017,1,11501
8049,924323.057954745,24082.1232739017,2,169012
8049,924323.057954745,24082.1232739017,3,11506
8097,910384.044656432,127807.837589789,1,11578
8097,910384.044656432,127807.837589789,2,168445
8097,910384.044656432,127807.837589789,3,11837
8103,914219.787290386,106165.043436478,1,11588
8103,914219.787290386,106165.043436478,2,11586
8103,914219.787290386,106165.043436478,3,11898
8189,908240.862773997,139804.617867701,1,9738
8189,908240.862773997,139804.617867701,2,11834
8189,908240.862773997,139804.617867701,3,11712
8209,924206.465260071,44399.7070232977,1,11742
8209,924206.465260071,44399.7070232977,2,11744
8210,924200.242330748,45027.9033972371,1,11458
8210,924200.242330748,45027.9033972371,2,11744
8210,924200.242330748,45027.9033972371,3,11743
8232,925376.366670991,-77398.8605748154,1,11780
8232,925376.366670991,-77398.8605748154,2,11775
8233,925228.854288765,-65172.1671383763,1,11776
8233,925228.854288765,-65172.1671383763,2,11775
8233,925228.854288765,-65172.1671383763,3,11774
8236,925465.940725937,-83983.2984840541,1,11779
8236,925465.940725937,-83983.2984840541,2,168870
8236,925465.940725937,-83983.2984840541,3,11780
8271,909543.855908075,132411.049604469,1,11831
8271,909543.855908075,132411.049604469,2,11836
8271,909543.855908075,132411.049604469,3,11835
8274,908814.141959206,136544.47395736,1,11713
8274,908814.141959206,136544.47395736,2,168446
