rn,seq,eid,rev,nodea,nodeb
0,1,171511,False,118923,117269
0,2,173900,False,118925,118923
0,3,173899,False,118419,118925
0,4,173160,False,118936,118419
0,5,173916,False,117671,118936
0,6,172060,False,117672,117671
0,7,172059,False,117654,117672
0,8,172035,False,118204,117654
0,9,172837,False,118200,118204
0,10,172832,False,118201,118200
0,11,172831,False,117269,118201
1,1,172832,True,118200,118201
1,2,172837,True,118204,118200
1,3,172836,False,118203,118204
1,4,172835,True,118202,118203
1,5,172833,False,118201,118202
2,1,65573,False,117332,44710
2,2,171596,False,117335,117332
2,3,171595,False,117655,117335
2,4,172834,True,118203,117655
2,5,172836,True,118204,118203
2,6,172035,True,117654,118204
2,7,172059,True,117672,117654
2,8,172033,True,117653,117672
2,9,172032,False,44710,117653
3,1,172034,False,118202,117655
3,2,172835,False,118203,118202
3,3,172834,False,117655,118203
4,1,171511,True,117269,118923
4,2,172831,True,118201,117269
4,3,172833,True,118202,118201
4,4,172034,True,117655,118202
4,5,171595,True,117335,117655
4,6,171593,True,117334,117335
4,7,173897,True,118923,117334
5,1,65562,False,44827,44703
5,2,65741,False,44825,44827
5,3,65739,False,117333,44825
5,4,171919,True,117574,117333
5,5,171594,True,117334,117574
5,6,171593,False,117335,117334
5,7,171596,True,117332,117335
5,8,171591,False,44711,117332
5,9,65572,False,44703,44711
6,1,171519,False,117339,117275
6,2,171601,True,117338,117339
6,3,172838,True,118205,117338
6,4,173443,True,118617,118205
6,5,173445,True,118618,118617
6,6,171599,True,117337,118618
6,7,171598,False,117275,117337
7,1,171600,False,118208,117339
7,2,172843,True,118207,118208
7,3,172841,True,118206,118207
7,4,172840,True,118205,118206
7,5,172838,False,117338,118205
7,6,171601,False,117339,117338
8,1,171512,False,118927,117270
8,2,173912,True,118933,118927
8,3,173907,True,118929,118933
8,4,173906,False,118928,118929
8,5,173905,True,117270,118928
9,1,172853,False,118934,118215
9,2,173914,False,118929,118934
9,3,173907,False,118933,118929
9,4,173913,False,118932,118933
9,5,173911,False,118215,118932
10,1,172079,True,117685,118930
10,2,172084,True,117689,117685
10,3,172083,False,117688,117689
10,4,172082,True,117687,117688
10,5,172080,False,117686,117687
10,6,172852,True,118215,117686
10,7,173911,True,118932,118215
10,8,173908,True,118930,118932
11,1,171520,False,117829,117276
11,2,172285,False,117832,117829
11,3,172286,False,117831,117832
11,4,172284,False,117270,117831
11,5,173905,False,118928,117270
11,6,173904,False,118221,118928
11,7,172863,False,118935,118221
11,8,173915,False,117276,118935
12,1,173903,False,118931,118927
12,2,173910,True,118930,118931
12,3,173908,False,118932,118930
12,4,173913,True,118933,118932
12,5,173912,False,118927,118933
13,1,171512,True,117270,118927
13,2,172284,True,117831,117270
13,3,172282,True,117830,117831
13,4,173909,True,118931,117830
13,5,173903,True,118927,118931
14,1,171517,False,117828,117274
14,2,172283,True,117830,117828
14,3,172282,False,117831,117830
14,4,172286,True,117832,117831
14,5,172285,True,117829,117832
14,6,172281,False,117274,117829
15,1,172079,False,118930,117685
15,2,173910,False,118931,118930
15,3,173909,False,117830,118931
15,4,172283,False,117828,117830
15,5,172280,False,117689,117828
15,6,172084,False,117685,117689
16,1,171447,True,117214,118213
16,2,172078,True,117686,117214
16,3,172080,True,117687,117686
16,4,173453,True,118623,117687
16,5,173424,True,118605,118623
16,6,173420,True,118601,118605
16,7,172849,True,118213,118601
17,1,171447,False,118213,117214
17,2,173608,True,118729,118213
17,3,172850,True,118212,118729
17,4,172848,False,117273,118212
17,5,171516,False,118214,117273
17,6,172862,True,118221,118214
17,7,173904,True,118928,118221
17,8,173906,True,118929,118928
17,9,173914,True,118934,118929
17,10,172853,True,118215,118934
17,11,172852,False,117686,118215
17,12,172078,False,117214,117686
18,1,171514,True,117271,117272
18,2,173247,True,118480,117271
18,3,173245,True,118479,118480
18,4,172839,True,118206,118479
18,5,174076,True,119040,118206
18,6,172860,True,118220,119040
18,7,172851,True,118214,118220
18,8,171516,True,117273,118214
18,9,171515,False,117272,117273
19,1,172839,False,118479,118206
19,2,173927,True,118944,118479
19,3,173929,True,118945,118944
19,4,173918,True,118937,118945
19,5,173917,False,118617,118937
19,6,173443,False,118205,118617
19,7,172840,False,118206,118205
20,1,171517,True,117274,117828
20,2,171518,True,117275,117274
20,3,171598,True,117337,117275
20,4,172081,True,117688,117337
20,5,172083,True,117689,117688
20,6,172280,True,117828,117689
21,1,171518,False,117274,117275
21,2,172281,True,117829,117274
21,3,171520,True,117276,117829
21,4,172842,True,118208,117276
21,5,171600,True,117339,118208
21,6,171519,True,117275,117339
22,1,172841,False,118207,118206
22,2,172861,False,118220,118207
22,3,172860,False,119040,118220
22,4,174076,False,118206,119040
23,1,172842,False,117276,118208
23,2,173915,True,118935,117276
23,3,172863,True,118221,118935
23,4,172862,False,118214,118221
23,5,172851,False,118220,118214
23,6,172861,True,118207,118220
23,7,172843,False,118208,118207
24,1,172897,False,118894,118244
24,2,173880,True,118913,118894
24,3,173853,True,118893,118913
24,4,173851,False,118243,118893
24,5,172898,False,118244,118243
25,1,171627,True,117359,117835
25,2,172085,True,117691,117359
25,3,172087,True,117692,117691
25,4,174071,True,119037,117692
25,5,172895,True,118242,119037
25,6,172896,True,118243,118242
25,7,173851,True,118893,118243
25,8,172287,True,117834,118893
25,9,172289,True,117835,117834
26,1,172288,True,117833,118820
26,2,172293,True,117837,117833
26,3,172292,False,117836,117837
26,4,172465,True,117957,117836
26,5,172291,True,117835,117957
26,6,172289,False,117834,117835
26,7,173848,True,118891,117834
26,8,173739,True,118820,118891
27,1,172287,False,118893,117834
27,2,173853,False,118913,118893
27,3,173881,False,118911,118913
27,4,173878,False,118892,118911
27,5,173850,False,118891,118892
27,6,173848,False,117834,118891
28,1,173739,False,118891,118820
28,2,173850,True,118892,118891
28,3,173849,False,118819,118892
28,4,173742,False,118820,118819
29,1,171627,False,117835,117359
29,2,172291,False,117957,117835
29,3,172466,False,118222,117957
29,4,172868,True,118225,118222
29,5,172866,True,118223,118225
29,6,172865,False,117690,118223
29,7,172086,False,117691,117690
29,8,172085,False,117359,117691
30,1,172858,False,118223,118219
30,2,172866,False,118225,118223
30,3,172874,True,118229,118225
30,4,172869,True,118224,118229
30,5,172867,False,118219,118224
31,1,172086,True,117690,117691
31,2,172865,True,118223,117690
31,3,172858,True,118219,118223
31,4,172854,True,118216,118219
31,5,172088,True,117692,118216
31,6,172087,False,117691,117692
32,1,172869,False,118229,118224
32,2,172875,True,118227,118229
32,3,172871,False,118226,118227
32,4,172873,True,118228,118226
32,5,172872,False,118224,118228
33,1,172088,False,118216,117692
33,2,172856,False,118217,118216
33,3,172855,False,118209,118217
33,4,172845,False,119038,118209
33,5,174073,True,119037,119038
33,6,174071,False,117692,119037
34,1,172854,False,118219,118216
34,2,172867,True,118224,118219
34,3,172872,True,118228,118224
34,4,172859,True,118218,118228
34,5,172857,False,118217,118218
34,6,172856,True,118216,118217
35,1,172845,True,118209,119038
35,2,172855,True,118217,118209
35,3,172857,True,118218,118217
35,4,172847,True,118211,118218
35,5,172846,False,118210,118211
35,6,174072,True,119038,118210
36,1,172101,False,118231,117702
36,2,172880,True,118232,118231
36,3,172879,False,118211,118232
36,4,172847,False,118218,118211
36,5,172859,False,118228,118218
36,6,172873,False,118226,118228
36,7,172870,False,118230,118226
36,8,172877,True,117702,118230
37,1,171606,True,117343,118227
37,2,172941,True,118272,117343
