nid,x,y,nseq,eid
21249,428127.467059693,27248.4539964165,1,30903
21249,428127.467059693,27248.4539964165,2,30901
21249,428127.467059693,27248.4539964165,3,171560
23739,245185.671162273,30581.450620407,1,34762
23739,245185.671162273,30581.450620407,2,27787
23739,245185.671162273,30581.450620407,3,172039
23740,203592.76680484,30987.890335041,1,34764
23740,203592.76680484,30987.890335041,2,34763
23740,203592.76680484,30987.890335041,3,171533
24689,321452.45832832,27923.3270528553,1,36208
24689,321452.45832832,27923.3270528553,2,36206
24689,321452.45832832,27923.3270528553,3,173284
24690,337807.320925009,27784.7410794181,1,36207
24690,337807.320925009,27784.7410794181,2,30899
24690,337807.320925009,27784.7410794181,3,173283
24709,308884.458405864,28282.8916278485,1,36236
24709,308884.458405864,28282.8916278485,2,17095
24709,308884.458405864,28282.8916278485,3,172045
24710,259930.230269818,30066.3691526574,1,36238
24710,259930.230269818,30066.3691526574,2,36237
24710,259930.230269818,30066.3691526574,3,172046
24732,92426.337495997,34566.8846383801,1,36271
24732,92426.337495997,34566.8846383801,2,36269
24732,92426.337495997,34566.8846383801,3,171756
24733,149892.852716798,32479.9643249505,1,36270
24733,149892.852716798,32479.9643249505,2,17100
24733,149892.852716798,32479.9643249505,3,171755
44198,687741.080209909,462709.988350114,1,64830
44198,687741.080209909,462709.988350114,2,65519
44198,687741.080209909,462709.988350114,3,65367
44250,680432.802598429,208558.887699122,1,65501
44250,680432.802598429,208558.887699122,2,64901
44250,680432.802598429,208558.887699122,3,171475
44298,681980.637456903,265514.183752568,1,64968
44298,681980.637456903,265514.183752568,2,172056
44400,679872.838009958,221880.701508018,1,65471
44400,679872.838009958,221880.701508018,2,65118
44400,679872.838009958,221880.701508018,3,65502
44643,678796.173551266,237447.367465772,1,65472
44643,678796.173551266,237447.367465772,2,65471
44662,680189.872571749,213810.203657717,1,65503
44662,680189.872571749,213810.203657717,2,65501
44663,679939.22065413,220452.054517866,1,65502
44663,679939.22065413,220452.054517866,2,65499
44663,679939.22065413,220452.054517866,3,65503
44667,682438.470593015,242704.713908606,1,65513
44667,682438.470593015,242704.713908606,2,65508
44667,682438.470593015,242704.713908606,3,171476
44670,683914.354249928,260842.982008689,1,65509
44670,683914.354249928,260842.982008689,2,171961
44670,683914.354249928,260842.982008689,3,65512
44671,682434.198808893,242793.486946248,1,65514
44671,682434.198808893,242793.486946248,2,65513
44675,707762.293589331,451508.058046287,1,65515
44675,707762.293589331,451508.058046287,2,65731
44675,707762.293589331,451508.058046287,3,65519
44703,670942.677942061,331913.507967897,1,65562
44703,670942.677942061,331913.507967897,2,65572
44710,659382.475152306,299179.697120609,1,65573
44710,659382.475152306,299179.697120609,2,172032
44711,671019.014530552,331451.217519211,1,65572
44711,671019.014530552,331451.217519211,2,65574
44711,671019.014530552,331451.217519211,3,171591
44752,684913.877346667,266793.579803941,1,65637
44752,684913.877346667,266793.579803941,2,65635
44752,684913.877346667,266793.579803941,3,64968
44763,688008.821886858,273253.151567083,1,65651
44763,688008.821886858,273253.151567083,2,65637
44763,688008.821886858,273253.151567083,3,65653
44764,681614.006420565,282474.967055709,1,65575
