rn,state,county,tract,seq,eid,rev,nodea,nodeb
0,42,1,30101,1,175688,False,120267,120266
0,42,1,30101,2,181849,True,124471,120267
0,42,1,30101,3,181851,True,124472,124471
0,42,1,30101,4,178132,True,121962,124472
0,42,1,30101,5,175690,True,120266,121962
1,42,1,30102,1,181850,True,124470,124471
1,42,1,30102,2,181855,True,124474,124470
1,42,1,30102,3,181854,False,124473,124474
1,42,1,30102,4,181859,True,124478,124473
1,42,1,30102,5,181866,True,124482,124478
1,42,1,30102,6,183569,True,125632,124482
1,42,1,30102,7,181853,True,124472,125632
1,42,1,30102,8,181851,False,124471,124472
2,42,1,30200,1,175689,False,125918,120267
2,42,1,30200,2,183995,True,125917,125918
2,42,1,30200,3,183993,False,125919,125917
2,42,1,30200,4,183997,True,125916,125919
2,42,1,30200,5,183992,False,124474,125916
2,42,1,30200,6,181855,False,124470,124474
2,42,1,30200,7,181850,False,124471,124470
2,42,1,30200,8,181849,False,120267,124471
3,42,1,30300,1,180315,True,123444,123445
3,42,1,30300,2,180320,True,123448,123444
3,42,1,30300,3,180319,False,123447,123448
3,42,1,30300,4,183996,True,125919,123447
3,42,1,30300,5,183993,True,125917,125919
3,42,1,30300,6,180318,True,123446,125917
3,42,1,30300,7,180316,False,123445,123446
4,42,1,30400,1,175832,True,120368,123448
4,42,1,30400,2,181309,True,124112,120368
4,42,1,30400,3,181305,True,124109,124112
4,42,1,30400,4,181951,True,124541,124109
4,42,1,30400,5,176054,True,120527,124541
4,42,1,30400,6,176050,True,120524,120527
4,42,1,30400,7,180317,True,123447,120524
4,42,1,30400,8,180319,True,123448,123447
5,42,1,30500,1,176052,False,124016,120524
5,42,1,30500,2,181170,False,124018,124016
5,42,1,30500,3,181169,False,125916,124018
5,42,1,30500,4,183997,False,125919,125916
5,42,1,30500,5,183996,False,123447,125919
5,42,1,30500,6,180317,False,120524,123447
6,42,1,30600,1,175285,False,124017,119977
6,42,1,30600,2,181872,True,124486,124017
6,42,1,30600,3,181860,True,124479,124486
6,42,1,30600,4,181852,True,124473,124479
6,42,1,30600,5,181854,True,124474,124473
6,42,1,30600,6,183992,True,125916,124474
6,42,1,30600,7,181169,True,124018,125916
6,42,1,30600,8,181170,True,124016,124018
6,42,1,30600,9,181167,False,120525,124016
6,42,1,30600,10,176051,False,119977,120525
7,42,1,30700,1,177055,False,119775,121220
7,42,1,30700,2,183819,True,125799,119775
7,42,1,30700,3,181868,True,124484,125799
7,42,1,30700,4,181864,True,124478,124484
7,42,1,30700,5,181859,False,124473,124478
7,42,1,30700,6,181852,False,124479,124473
7,42,1,30700,7,181861,True,124477,124479
7,42,1,30700,8,181858,False,124476,124477
7,42,1,30700,9,181863,True,124480,124476
7,42,1,30700,10,181862,False,121220,124480
8,42,1,30800,1,177482,False,124483,121514
8,42,1,30800,2,183628,True,125672,124483
8,42,1,30800,3,181870,True,124482,125672
8,42,1,30800,4,181866,False,124478,124482
8,42,1,30800,5,181864,False,124484,124478
8,42,1,30800,6,181869,True,124481,124484
8,42,1,30800,7,181865,False,121514,124481
9,42,1,30900,1,175013,False,124481,119775
9,42,1,30900,2,181869,False,124484,124481
9,42,1,30900,3,181868,False,125799,124484
9,42,1,30900,4,183819,False,119775,125799
10,42,1,31000,1,175013,True,119775,124481
10,42,1,31000,2,177055,True,121220,119775
10,42,1,31000,3,177053,True,121219,121220
10,42,1,31000,4,176427,True,120787,121219
10,42,1,31000,5,176426,True,120786,120787
10,42,1,31000,6,177481,True,121514,120786
10,42,1,31000,7,181865,True,124481,121514
11,42,1,31101,1,176427,False,121219,120787
11,42,1,31101,2,177054,False,122383,121219
11,42,1,31101,3,178746,True,122382,122383
11,42,1,31101,4,178744,False,120787,122382
12,42,1,31102,1,177052,True,120390,121218
12,42,1,31102,2,177453,True,121494,120390
12,42,1,31102,3,178745,True,122383,121494
12,42,1,31102,4,177054,True,121219,122383
12,42,1,31102,5,177053,False,121220,121219
12,42,1,31102,6,181862,True,124480,121220
12,42,1,31102,7,177056,True,121218,124480
13,42,1,31201,1,98007,False,120295,66941
13,42,1,31201,2,175731,False,120296,120295
13,42,1,31201,3,175734,False,124477,120296
13,42,1,31201,4,181861,False,124479,124477
13,42,1,31201,5,181860,False,124486,124479
13,42,1,31201,6,181874,True,124487,124486
13,42,1,31201,7,181873,True,124485,124487
13,42,1,31201,8,181871,False,66941,124485
14,42,1,31202,1,98005,False,120297,66940
14,42,1,31202,2,175736,True,120299,120297
14,42,1,31202,3,175735,False,119335,120299
14,42,1,31202,4,174448,False,120298,119335
14,42,1,31202,5,181857,True,124476,120298
14,42,1,31202,6,181858,True,124477,124476
14,42,1,31202,7,175734,True,120296,124477
14,42,1,31202,8,175731,True,120295,120296
14,42,1,31202,9,175730,False,66940,120295
15,42,1,31203,1,175732,False,120389,120297
15,42,1,31203,2,175864,False,120390,120389
15,42,1,31203,3,177052,False,121218,120390
15,42,1,31203,4,177056,False,124480,121218
15,42,1,31203,5,181863,False,124476,124480
15,42,1,31203,6,181857,False,120298,124476
15,42,1,31203,7,175733,False,120299,120298
15,42,1,31203,8,175736,False,120297,120299
16,42,1,31300,1,174448,True,119335,120298
16,42,1,31300,2,175735,True,120299,119335
16,42,1,31300,3,175733,True,120298,120299
17,42,1,31401,1,175284,False,119976,119662
17,42,1,31401,2,175286,False,120525,119976
17,42,1,31401,3,181167,True,124016,120525
17,42,1,31401,4,176052,True,120524,124016
17,42,1,31401,5,176050,False,120527,120524
