rn,seq,eid,rev,nodea,nodeb
0,1,184791,False,126638,126489
0,2,185006,True,126637,126638
0,3,185351,True,126868,126637
0,4,185230,True,126787,126868
0,5,185004,True,126636,126787
0,6,185003,False,126489,126636
1,1,184791,True,126489,126638
1,2,185003,True,126636,126489
1,3,185220,True,126780,126636
1,4,185224,True,126783,126780
1,5,184808,True,126503,126783
1,6,184810,True,126504,126503
1,7,185005,True,126638,126504
2,1,99983,False,126781,68383
2,2,185227,True,126783,126781
2,3,185224,False,126780,126783
2,4,185221,True,126779,126780
2,5,185219,False,126665,126779
2,6,185044,False,126782,126665
2,7,185226,True,126784,126782
2,8,185225,False,68383,126784
3,1,185004,False,126787,126636
3,2,185231,True,126786,126787
3,3,185229,False,126785,126786
3,4,185233,True,126788,126785
3,5,185232,False,126779,126788
3,6,185221,False,126780,126779
3,7,185220,False,126636,126780
4,1,185044,True,126665,126782
4,2,185219,True,126779,126665
4,3,185232,True,126788,126779
4,4,185235,True,126790,126788
4,5,185223,True,126782,126790
5,1,99984,False,126784,68382
5,2,185226,False,126782,126784
5,3,185223,False,126790,126782
5,4,185238,True,126792,126790
5,5,185289,True,126828,126792
5,6,185236,True,126789,126828
5,7,185234,False,68382,126789
6,1,185228,False,126791,126785
6,2,185239,True,126792,126791
6,3,185238,False,126790,126792
6,4,185235,False,126788,126790
6,5,185233,False,126785,126788
7,1,184997,False,126705,126633
7,2,185105,True,126704,126705
7,3,185103,True,126703,126704
7,4,185102,False,126632,126703
7,5,184998,False,126633,126632
8,1,184998,True,126632,126633
8,2,185102,True,126703,126632
8,3,185288,True,126827,126703
8,4,185000,True,126634,126827
8,5,184999,False,126633,126634
9,1,185000,False,126827,126634
9,2,185290,True,126828,126827
9,3,185289,False,126792,126828
9,4,185239,False,126791,126792
9,5,185237,False,126634,126791
10,1,184953,True,126602,126786
10,2,185104,True,126705,126602
10,3,184997,True,126633,126705
10,4,184999,True,126634,126633
10,5,185237,True,126791,126634
10,6,185228,True,126785,126791
10,7,185229,True,126786,126785
11,1,184636,True,126379,126381
11,2,185086,True,126693,126379
11,3,184725,True,126444,126693
11,4,184721,True,126441,126444
11,5,184638,True,126381,126441
12,1,184636,False,126381,126379
12,2,184728,True,126446,126381
12,3,184727,True,126445,126446
12,4,185020,True,126648,126445
12,5,184639,True,126380,126648
12,6,184637,True,126379,126380
13,1,184729,False,126627,126445
13,2,184991,False,126650,126627
13,3,185336,True,126859,126650
13,4,185023,True,126649,126859
13,5,185021,True,126648,126649
13,6,185020,False,126445,126648
14,1,185023,False,126859,126649
14,2,185338,True,126860,126859
14,3,185337,False,126797,126860
14,4,185247,False,126649,126797
15,1,184992,False,126660,126628
15,2,185038,False,126793,126660
15,3,185242,False,126860,126793
15,4,185338,False,126859,126860
15,5,185336,False,126650,126859
15,6,185022,False,126628,126650
16,1,184990,False,126587,126627
16,2,185036,True,126660,126587
16,3,184992,True,126628,126660
16,4,185022,True,126650,126628
16,5,184991,True,126627,126650
17,1,185011,False,126794,126642
17,2,185244,True,126796,126794
17,3,185246,True,126797,126796
17,4,185337,True,126860,126797
17,5,185242,True,126793,126860
17,6,185240,False,126661,126793
17,7,185037,False,126642,126661
18,1,185212,False,126795,126774
18,2,185245,True,126796,126795
18,3,185244,False,126794,126796
18,4,185241,False,126774,126794
19,1,185007,False,126691,126639
19,2,185087,False,126693,126691
19,3,185086,False,126379,126693
19,4,185243,True,126795,126379
19,5,185212,True,126774,126795
19,6,185211,False,126639,126774
20,1,184637,False,126380,126379
20,2,184639,False,126648,126380
20,3,185021,False,126649,126648
20,4,185247,True,126797,126649
20,5,185246,False,126796,126797
20,6,185245,False,126795,126796
20,7,185243,False,126379,126795
21,1,184613,False,126629,126359
21,2,184995,True,126630,126629
21,3,184994,False,126555,126630
21,4,184885,False,126359,126555
22,1,184886,False,126630,126554
22,2,184995,False,126629,126630
22,3,184993,False,126640,126629
22,4,185009,False,126641,126640
22,5,185013,False,126643,126641
22,6,185012,False,126554,126643
23,1,184883,False,126643,126552
23,2,185013,True,126641,126643
23,3,185009,True,126640,126641
23,4,185008,False,126639,126640
23,5,185211,True,126774,126639
23,6,185241,True,126794,126774
23,7,185011,True,126642,126794
23,8,185010,False,126552,126642
24,1,41142,False,126358,28086
24,2,184674,True,126408,126358
24,3,185083,True,126691,126408
24,4,185007,True,126639,126691
24,5,185008,True,126640,126639
24,6,184993,True,126629,126640
24,7,184613,True,126359,126629
24,8,184612,False,28086,126359
25,1,184694,True,126420,126443
25,2,184696,True,126422,126420
25,3,184695,False,126421,126422
25,4,184722,True,126442,126421
25,5,184724,True,126443,126442
26,1,184671,False,126690,126405
26,2,185085,True,126692,126690
26,3,185084,False,126444,126692
26,4,184725,False,126693,126444
26,5,185087,True,126691,126693
26,6,185083,False,126408,126691
26,7,184675,False,126405,126408
27,1,184644,False,126422,126385
27,2,184696,False,126420,126422
27,3,184694,False,126443,126420
27,4,184726,False,126692,126443
27,5,185085,False,126690,126692
27,6,185082,False,126451,126690
27,7,184736,False,126448,126451
27,8,184732,False,126449,126448
27,9,184731,False,126385,126449
28,1,184703,False,126646,126426
28,2,185055,True,126674,126646
28,3,185019,True,126647,126674
28,4,185018,False,126426,126647
29,1,185017,False,126694,126646
29,2,185248,True,126798,126694
29,3,185090,True,126695,126798
29,4,185089,False,126674,126695
