nid,x,y,nseq,eid
27982,72284.7359649513,32747.4028711972,1,40992
27982,72284.7359649513,32747.4028711972,2,40991
27982,72284.7359649513,32747.4028711972,3,184646
28086,76035.3444596442,61854.2850483584,1,41142
28086,76035.3444596442,61854.2850483584,2,41144
28086,76035.3444596442,61854.2850483584,3,184612
28633,75300.9725549904,94339.2362388575,1,41961
28633,75300.9725549904,94339.2362388575,2,41960
28633,75300.9725549904,94339.2362388575,3,98549
28698,75382.5940844815,91238.2414561003,1,42059
28698,75382.5940844815,91238.2414561003,2,42056
28698,75382.5940844815,91238.2414561003,3,184857
28699,75784.177174161,76802.6301018006,1,42057
28699,75784.177174161,76802.6301018006,2,41143
28699,75784.177174161,76802.6301018006,3,184856
29187,71336.1360996003,36194.8582450395,1,184765
29187,71336.1360996003,36194.8582450395,2,42794
29187,71336.1360996003,36194.8582450395,3,40815
29188,75490.4797407441,46955.0902366305,1,42796
29188,75490.4797407441,46955.0902366305,2,42795
29188,75490.4797407441,46955.0902366305,3,184676
67372,75210.8461818646,102747.516048827,1,102539
67372,75210.8461818646,102747.516048827,2,98549
67372,75210.8461818646,102747.516048827,3,98551
67486,97710.6410312221,103474.555552208,1,184607
67486,97710.6410312221,103474.555552208,2,98704
67486,97710.6410312221,103474.555552208,3,98702
67487,94772.0919165247,103397.622165126,1,184630
67487,94772.0919165247,103397.622165126,2,98703
67487,94772.0919165247,103397.622165126,3,98705
67574,100144.270465605,103721.092985593,1,184609
67574,100144.270465605,103721.092985593,2,98825
67574,100144.270465605,103721.092985593,3,98827
68318,109814.128680056,92438.3799575862,1,99893
68318,109814.128680056,92438.3799575862,2,185002
68318,109814.128680056,92438.3799575862,3,99889
68322,109816.965005744,90381.6731212021,1,184663
68322,109816.965005744,90381.6731212021,2,185059
68322,109816.965005744,90381.6731212021,3,99894
68323,109814.248035234,92351.8467783579,1,99891
68323,109814.248035234,92351.8467783579,2,99894
68323,109814.248035234,92351.8467783579,3,99893
68326,113298.64262985,90521.7636214487,1,99905
68326,113298.64262985,90521.7636214487,2,99898
68326,113298.64262985,90521.7636214487,3,99896
68330,113105.656463131,84582.2003472414,1,99911
68330,113105.656463131,84582.2003472414,2,99906
68331,113385.149347885,90535.989085984,1,99907
68331,113385.149347885,90535.989085984,2,184604
68331,113385.149347885,90535.989085984,3,99905
68334,112700.317383037,82187.1330718954,1,184689
68334,112700.317383037,82187.1330718954,2,99912
68335,113513.824767277,83373.9170258026,1,99904
68335,113513.824767277,83373.9170258026,2,184680
68335,113513.824767277,83373.9170258026,3,99911
68338,126974.870883435,65039.8095778065,1,185271
68338,126974.870883435,65039.8095778065,2,99917
68339,126975.064876822,65048.5895545362,1,99369
68339,126975.064876822,65048.5895545362,2,99917
68339,126975.064876822,65048.5895545362,3,99916
68382,121186.911376827,72293.6243268055,1,99982
68382,121186.911376827,72293.6243268055,2,185234
68382,121186.911376827,72293.6243268055,3,99984
68383,115260.094860119,76893.3093931766,1,99913
68383,115260.094860119,76893.3093931766,2,185225
68383,115260.094860119,76893.3093931766,3,99983
68387,130127.315491222,57829.3862799236,1,184628
68387,130127.315491222,57829.3862799236,2,99989
68387,130127.315491222,57829.3862799236,3,99985
68391,131151.221103637,52470.2560753515,1,99994
68391,131151.221103637,52470.2560753515,2,184626
68391,131151.221103637,52470.2560753515,3,99995
69470,109822.888123793,100148.915897592,1,101600
69470,109822.888123793,100148.915897592,2,184717
69470,109822.888123793,100148.915897592,3,101601
69471,109822.967519699,101816.400548365,1,101601
69471,109822.967519699,101816.400548365,2,101602
69472,103470.16818673,103782.159453358,1,101605
69472,103470.16818673,103782.159453358,2,101603
69472,103470.16818673,103782.159453358,3,98826
69473,109823.064341846,103903.143812775,1,101604
69473,109823.064341846,103903.143812775,2,101602
69473,109823.064341846,103903.143812775,3,101605
70094,92453.549672856,103342.01217142,1,98703
70094,92453.549672856,103342.01217142,2,102540
70094,92453.549672856,103342.01217142,3,102538
70095,85017.1708202453,103124.29790327,1,184871
70095,85017.1708202453,103124.29790327,2,102539
70095,85017.1708202453,103124.29790327,3,98550
70411,126286.808368222,65542.6680088303,1,102999
70411,126286.808368222,65542.6680088303,2,99916
70411,126286.808368222,65542.6680088303,3,103001
126352,106444.354273612,77584.8280189046,1,184760
126352,106444.354273612,77584.8280189046,2,184603
126353,113302.281355359,89614.0760902221,1,184648
126353,113302.281355359,89614.0760902221,2,184606
126353,113302.281355359,89614.0760902221,3,184604
126354,112072.661007241,90324.6089000676,1,99898
126354,112072.661007241,90324.6089000676,2,184713
126354,112072.661007241,90324.6089000676,3,184605
126355,98964.7522456447,103278.51557742,1,184632
126355,98964.7522456447,103278.51557742,2,184608
126356,99030.6870034312,103616.726927794,1,98825
126356,99030.6870034312,103616.726927794,2,184608
126356,99030.6870034312,103616.726927794,3,184607
126357,100715.017269362,103731.461437697,1,185201
126357,100715.017269362,103731.461437697,2,184610
126357,100715.017269362,103731.461437697,3,184609
126358,75875.8289702019,57071.7371153453,1,184674
126358,75875.8289702019,57071.7371153453,2,184611
126358,75875.8289702019,57071.7371153453,3,41142
126359,76094.6067716329,63648.0807416498,1,184613
126359,76094.6067716329,63648.0807416498,2,184612
126359,76094.6067716329,63648.0807416498,3,184885
126360,119544.393374512,50531.3015090451,1,185052
126360,119544.393374512,50531.3015090451,2,185110
126360,119544.393374512,50531.3015090451,3,185292
126360,119544.393374512,50531.3015090451,4,184614
126361,105041.590907565,71304.8122780742,1,184615
126361,105041.590907565,71304.8122780742,2,184640
126362,111253.192256949,87423.2102572244,1,184616
126362,111253.192256949,87423.2102572244,2,185046
126362,111253.192256949,87423.2102572244,3,185078
126363,95733.6519158391,44345.9574010607,1,184617
126363,95733.6519158391,44345.9574010607,2,184768
126364,110264.757098151,88991.9212415789,1,184618
126364,110264.757098151,88991.9212415789,2,184661
126364,110264.757098151,88991.9212415789,3,184903
126365,106939.835190848,72172.6149513174,1,184621
126365,106939.835190848,72172.6149513174,2,184619
126365,106939.835190848,72172.6149513174,3,184615
126366,107229.285846978,69933.3394136982,1,184951
126366,107229.285846978,69933.3394136982,2,184620
126366,107229.285846978,69933.3394136982,3,184619
126367,112827.786940471,50080.7413009255,1,184622
126367,112827.786940471,50080.7413009255,2,184622
126368,108307.794596376,41941.1951154974,1,184623
126368,108307.794596376,41941.1951154974,2,184623
126369,107992.749265186,46766.6257597074,1,184624
126369,107992.749265186,46766.6257597074,2,184624
126370,115625.764542953,45032.6407183061,1,185217
126370,115625.764542953,45032.6407183061,2,184625
126371,131682.025692151,46060.5995705406,1,102975
126371,131682.025692151,46060.5995705406,2,184627
126371,131682.025692151,46060.5995705406,3,184626
126372,123998.600044221,51357.1519876413,1,184629
126372,123998.600044221,51357.1519876413,2,184627
126372,123998.600044221,51357.1519876413,3,185315
126373,131066.598830206,53318.3692323674,1,99995
126373,131066.598830206,53318.3692323674,2,184629
126373,131066.598830206,53318.3692323674,3,184628
126374,97475.5352267637,103155.265293488,1,184939
126374,97475.5352267637,103155.265293488,2,184631
126375,97588.2589648415,103471.214257672,1,98704
126375,97588.2589648415,103471.214257672,2,184631
126375,97588.2589648415,103471.214257672,3,184630
126376,98887.7560878977,102996.51333442,1,184887
126376,98887.7560878977,102996.51333442,2,184633
126376,98887.7560878977,102996.51333442,3,184632
126377,103226.109682704,86442.7488469035,1,184634
126377,103226.109682704,86442.7488469035,2,184845
126377,103226.109682704,86442.7488469035,3,185065
126378,95291.2093825758,101440.083515739,1,184635
126378,95291.2093825758,101440.083515739,2,184938
126379,97282.9198185317,66245.1253861086,1,184636
126379,97282.9198185317,66245.1253861086,2,185086
126379,97282.9198185317,66245.1253861086,3,185243
126379,97282.9198185317,66245.1253861086,4,184637
126380,97273.9462245637,66294.9976031312,1,184637
126380,97273.9462245637,66294.9976031312,2,184639
126381,99939.8047773665,66823.2672105816,1,184638
126381,99939.8047773665,66823.2672105816,2,184636
126381,99939.8047773665,66823.2672105816,3,184728
126382,104762.767674481,70680.9787883686,1,184640
126382,104762.767674481,70680.9787883686,2,184697
126382,104762.767674481,70680.9787883686,3,184641
126383,104012.288132356,71839.0620932526,1,184643
126383,104012.288132356,71839.0620932526,2,184699
126384,107680.450713173,72397.5053667047,1,184642
126384,107680.450713173,72397.5053667047,2,184621
126384,107680.450713173,72397.5053667047,3,184702
126385,102622.37162628,61557.7724388271,1,184644
126385,102622.37162628,61557.7724388271,2,184731
126386,72223.2645942626,31916.8004431459,1,184764
126386,72223.2645942626,31916.8004431459,2,184645
126386,72223.2645942626,31916.8004431459,3,40992
126387,71384.8715350809,34761.7068501258,1,184647
126387,71384.8715350809,34761.7068501258,2,184646
126387,71384.8715350809,34761.7068501258,3,42794
126388,113383.07981223,88033.9045040429,1,184683
126388,113383.07981223,88033.9045040429,2,184649
126388,113383.07981223,88033.9045040429,3,184648
126389,112101.245483416,88584.2873003004,1,184667
126389,112101.245483416,88584.2873003004,2,184651
126390,112106.879696283,89371.5660353611,1,184606
126390,112106.879696283,89371.5660353611,2,184651
126390,112106.879696283,89371.5660353611,3,184670
126390,112106.879696283,89371.5660353611,4,184650
126391,107672.73796448,84298.8343763399,1,184652
126391,107672.73796448,84298.8343763399,2,184746
126391,107672.73796448,84298.8343763399,3,184854
126392,100816.959905342,95553.3063785953,1,184859
126392,100816.959905342,95553.3063785953,2,185134
126392,100816.959905342,95553.3063785953,3,184653
126393,101153.909562913,85625.3046761835,1,184654
126393,101153.909562913,85625.3046761835,2,184840
126393,101153.909562913,85625.3046761835,3,185076
126394,104873.9248746,87275.3774359797,1,184658
126394,104873.9248746,87275.3774359797,2,184656
126395,105418.261515105,86433.6373847966,1,184848
126395,105418.261515105,86433.6373847966,2,184655
126395,105418.261515105,86433.6373847966,3,184657
126396,104955.629000473,87018.4175990829,1,184657
126396,104955.629000473,87018.4175990829,2,184634
126396,104955.629000473,87018.4175990829,3,184658
126397,101612.100352963,86807.7323177727,1,184659
126397,101612.100352963,86807.7323177727,2,185073
126398,93763.6094493967,86105.5390497673,1,184660
126398,93763.6094493967,86105.5390497673,2,184878
126398,93763.6094493967,86105.5390497673,3,184875
126398,93763.6094493967,86105.5390497673,4,184906
126399,111036.621280536,89068.9366328907,1,184670
126399,111036.621280536,89068.9366328907,2,184662
126399,111036.621280536,89068.9366328907,3,184661
126399,111036.621280536,89068.9366328907,4,184710
126400,109675.344044744,88097.2008542983,1,185079
126400,109675.344044744,88097.2008542983,2,184706
126400,109675.344044744,88097.2008542983,3,184664
126401,109817.556584985,89952.6074723875,1,184665
126401,109817.556584985,89952.6074723875,2,185342
126401,109817.556584985,89952.6074723875,3,184663
126402,110241.042998868,90042.13168539,1,184715
126402,110241.042998868,90042.13168539,2,184666
126402,110241.042998868,90042.13168539,3,184665
126403,112097.293030294,88321.1543044948,1,184649
126403,112097.293030294,88321.1543044948,2,185346
126403,112097.293030294,88321.1543044948,3,184669
126403,112097.293030294,88321.1543044948,4,184667
126404,111211.898195476,88552.6208977521,1,184669
126404,111211.898195476,88552.6208977521,2,184668
126404,111211.898195476,88552.6208977521,3,184662
126405,98129.2345076885,57669.810229458,1,184671
126405,98129.2345076885,57669.810229458,2,184678
126405,98129.2345076885,57669.810229458,3,184675
126406,98756.2745008748,46423.5659633956,1,184767
126406,98756.2745008748,46423.5659633956,2,184672
126406,98756.2745008748,46423.5659633956,3,184673
126407,97451.1920047496,46691.6815456176,1,184673
126407,97451.1920047496,46691.6815456176,2,184617
126407,97451.1920047496,46691.6815456176,3,184677
126408,96152.9718067643,57591.9616645764,1,184675
126408,96152.9718067643,57591.9616645764,2,184674
126408,96152.9718067643,57591.9616645764,3,185083
126409,75659.8736452663,51399.2103022012,1,185142
126409,75659.8736452663,51399.2103022012,2,184676
126409,75659.8736452663,51399.2103022012,3,184611
126410,98463.1533054917,56719.1275043664,1,184797
126410,98463.1533054917,56719.1275043664,2,184679
126410,98463.1533054917,56719.1275043664,3,184678
126411,112884.870266824,82715.8251005127,1,184680
126411,112884.870266824,82715.8251005127,2,99912
126411,112884.870266824,82715.8251005127,3,184681
126412,111628.22790309,83323.5504448764,1,184681
126412,111628.22790309,83323.5504448764,2,184687
126412,111628.22790309,83323.5504448764,3,184753
126412,111628.22790309,83323.5504448764,4,184686
126413,113154.096260015,86326.6462874109,1,184684
126413,113154.096260015,86326.6462874109,2,184682
126413,113154.096260015,86326.6462874109,3,185345
126414,113744.11115204,86415.4977604218,1,99906
126414,113744.11115204,86415.4977604218,2,184684
126414,113744.11115204,86415.4977604218,3,184683
126415,112080.871826929,86157.6971851061,1,184682
126415,112080.871826929,86157.6971851061,2,184686
126415,112080.871826929,86157.6971851061,3,184685
126416,109507.207588262,81710.4577985775,1,184688
126416,109507.207588262,81710.4577985775,2,185097
126416,109507.207588262,81710.4577985775,3,185095
126417,111290.706752861,80554.2696999185,1,185099
126417,111290.706752861,80554.2696999185,2,184690
126418,113375.095855859,80453.7448532541,1,184691
126418,113375.095855859,80453.7448532541,2,185096
126418,113375.095855859,80453.7448532541,3,184689
126419,114121.462422164,78314.8739427903,1,185222
126419,114121.462422164,78314.8739427903,2,184692
126419,114121.462422164,78314.8739427903,3,184691
126420,102477.288088574,63081.7645634403,1,184694
126420,102477.288088574,63081.7645634403,2,184696
126421,104805.523368109,64492.816947868,1,184695
126421,104805.523368109,64492.816947868,2,184722
126421,104805.523368109,64492.816947868,3,184693
126422,102839.268386914,62144.0592627634,1,184695
126422,102839.268386914,62144.0592627634,2,184644
126422,102839.268386914,62144.0592627634,3,184696
126423,105319.37787369,69448.5254989621,1,184620
126423,105319.37787369,69448.5254989621,2,184698
126423,105319.37787369,69448.5254989621,3,184697
126424,103972.088247123,68412.5088270632,1,184967
126424,103972.088247123,68412.5088270632,2,184700
126425,104612.263085852,70767.6238057686,1,184641
126425,104612.263085852,70767.6238057686,2,185252
126425,104612.263085852,70767.6238057686,3,184699
126426,106750.478292764,74117.3402977594,1,184703
126426,106750.478292764,74117.3402977594,2,184701
126426,106750.478292764,74117.3402977594,3,185018
126427,107641.666992273,72646.1442598118,1,184702
126427,107641.666992273,72646.1442598118,2,184701
126427,107641.666992273,72646.1442598118,3,185088
126428,109027.363933478,67296.0941193439,1,184927
126428,109027.363933478,67296.0941193439,2,184704
126429,108184.644185478,83466.8254680448,1,184705
126429,108184.644185478,83466.8254680448,2,184818
126429,108184.644185478,83466.8254680448,3,184751
126430,108977.526873524,88781.0367538946,1,184708
126430,108977.526873524,88781.0367538946,2,184774
126431,109878.868003367,88888.079960944,1,184664
126431,109878.868003367,88888.079960944,2,184708
126431,109878.868003367,88888.079960944,3,184707
126432,101684.206621387,79244.8172709012,1,184709
126432,101684.206621387,79244.8172709012,2,185145
126432,101684.206621387,79244.8172709012,3,185367
126433,110986.724997526,89185.4836965393,1,184714
126433,110986.724997526,89185.4836965393,2,184710
126433,110986.724997526,89185.4836965393,3,184711
126434,110602.245469273,89877.0937233522,1,184712
126434,110602.245469273,89877.0937233522,2,184711
126434,110602.245469273,89877.0937233522,3,184618
126435,110607.289467218,89889.4300916428,1,184716
126435,110607.289467218,89889.4300916428,2,184712
126436,112112.660122882,90071.8774854826,1,184650
126436,112112.660122882,90071.8774854826,2,184714
126436,112112.660122882,90071.8774854826,3,184713
126437,110689.937755333,90107.8858751192,1,184605
126437,110689.937755333,90107.8858751192,2,184716
126437,110689.937755333,90107.8858751192,3,184715
126438,104323.820782549,98219.6306519861,1,184718
126438,104323.820782549,98219.6306519861,2,185356
126438,104323.820782549,98219.6306519861,3,185361
126439,109822.875887204,99895.234683552,1,184719
126439,109822.875887204,99895.234683552,2,184718
126439,109822.875887204,99895.234683552,3,184717
126440,109827.308954636,96026.492583013,1,99889
126440,109827.308954636,96026.492583013,2,184720
126440,109827.308954636,96026.492583013,3,184719
126441,100043.889310111,64767.7631239339,1,184723
126441,100043.889310111,64767.7631239339,2,184721
126441,100043.889310111,64767.7631239339,3,184638
126442,104153.658053347,64486.3015176978,1,184722
126442,104153.658053347,64486.3015176978,2,184724
126442,104153.658053347,64486.3015176978,3,185255
126443,103473.818918002,64457.1742098593,1,184724
126443,103473.818918002,64457.1742098593,2,184694
126443,103473.818918002,64457.1742098593,3,184726
126444,100064.629999461,64366.2593905168,1,185084
126444,100064.629999461,64366.2593905168,2,184725
126444,100064.629999461,64366.2593905168,3,184721
126445,98425.6149630659,68032.1774199298,1,184729
126445,98425.6149630659,68032.1774199298,2,184727
126445,98425.6149630659,68032.1774199298,3,185020
126446,99905.3418867602,67258.4261882699,1,184728
126446,99905.3418867602,67258.4261882699,2,184727
126446,99905.3418867602,67258.4261882699,3,185260
126447,105668.714978286,81893.7518187195,1,184730
126447,105668.714978286,81893.7518187195,2,185115
126447,105668.714978286,81893.7518187195,3,184972
126448,100996.906519629,59163.3493987609,1,184732
126448,100996.906519629,59163.3493987609,2,184736
126449,102679.33733625,61175.9501233252,1,185015
126449,102679.33733625,61175.9501233252,2,184734
126449,102679.33733625,61175.9501233252,3,184732
126449,102679.33733625,61175.9501233252,4,184731
126450,105869.777960687,55554.7658426401,1,184733
126450,105869.777960687,55554.7658426401,2,184735
126450,105869.777960687,55554.7658426401,3,185014
126451,101292.365156204,57796.4081114741,1,184735
126451,101292.365156204,57796.4081114741,2,185082
126451,101292.365156204,57796.4081114741,3,184736
126452,106617.46730349,82037.29218089,1,184737
