rn,seq,eid,rev,nodea,nodeb
0,1,187771,False,128690,128563
0,2,187958,True,128691,128690
0,3,187957,True,128689,128691
0,4,187954,False,128563,128689
1,1,186545,True,127739,128769
1,2,187998,True,128720,127739
1,3,187772,True,128565,128720
1,4,187769,True,128563,128565
1,5,187954,True,128689,128563
1,6,188073,True,128769,128689
2,1,185411,False,128396,126913
2,2,188002,True,128722,128396
2,3,187999,True,128720,128722
2,4,187998,False,127739,128720
2,5,188076,True,128771,127739
2,6,188001,True,128721,128771
2,7,188000,False,126913,128721
3,1,186574,False,127131,127760
3,2,187773,False,128565,127131
3,3,187772,False,128720,128565
3,4,187999,False,128722,128720
3,5,188002,False,128396,128722
3,6,187517,False,127760,128396
4,1,186575,False,127760,127759
4,2,187517,True,128396,127760
4,3,187516,False,128395,128396
4,4,187785,True,128574,128395
4,5,187781,True,128571,128574
4,6,187515,True,127759,128571
5,1,63248,False,126912,43092
5,2,187514,True,128395,126912
5,3,187516,True,128396,128395
5,4,185411,True,126913,128396
5,5,185410,False,43092,126913
6,1,187344,False,128724,128277
6,2,188776,True,129242,128724
6,3,188007,True,128725,129242
6,4,188006,False,128723,128725
6,5,188004,True,128328,128723
6,6,187416,False,128329,128328
6,7,187415,False,128277,128329
7,1,185762,False,127356,127190
7,2,185994,False,128615,127356
7,3,187848,False,128727,128615
7,4,188010,True,128726,128727
7,5,188008,False,128328,128726
7,6,188004,False,128723,128328
7,7,188003,False,127819,128723
7,8,186660,False,127190,127819
8,1,185386,True,126892,127191
8,2,185999,True,127362,126892
8,3,185993,True,127357,127362
8,4,185992,True,127356,127357
8,5,185762,True,127190,127356
8,6,185764,True,127191,127190
9,1,185992,False,127357,127356
9,2,185998,True,127361,127357
9,3,186588,True,127769,127361
9,4,186584,True,127766,127769
9,5,187846,True,128615,127766
9,6,185994,True,127356,128615
10,1,185993,False,127362,127357
10,2,186004,True,127363,127362
10,3,186000,True,127360,127363
10,4,185997,False,127359,127360
10,5,186003,True,127365,127359
10,6,186002,False,127364,127365
10,7,188023,True,128736,127364
10,8,186005,True,127361,128736
10,9,185998,False,127357,127361
11,1,185999,False,126892,127362
11,2,187099,False,128123,126892
11,3,187110,False,128729,128123
11,4,188018,True,128733,128729
11,5,188013,True,128728,128733
11,6,188011,False,128730,128728
11,7,188015,True,127362,128730
12,1,186000,False,127363,127360
12,2,186004,False,127362,127363
12,3,188015,False,128730,127362
12,4,188014,False,128731,128730
12,5,188016,False,128399,128731
12,6,187523,False,128400,128399
12,7,187522,False,127360,128400
13,1,185412,True,126914,128728
13,2,186580,True,127764,126914
13,3,186582,True,127765,127764
13,4,187521,True,128399,127765
13,5,188016,True,128731,128399
13,6,188014,True,128730,128731
13,7,188011,True,128728,128730
14,1,185412,False,128728,126914
14,2,188013,False,128733,128728
14,3,188019,True,128732,128733
