nid,x,y,nseq,eid
39962,601355.680560394,29950.435560012,1,58636
39962,601355.680560394,29950.435560012,2,58634
39962,601355.680560394,29950.435560012,3,62447
40358,514123.960363315,190285.045189403,1,59212
40358,514123.960363315,190285.045189403,2,59211
40358,514123.960363315,190285.045189403,3,59944
40445,517677.593257756,184162.361234942,1,59338
40445,517677.593257756,184162.361234942,2,59336
40445,517677.593257756,184162.361234942,3,59368
40465,515660.383685284,188806.011716321,1,59369
40465,515660.383685284,188806.011716321,2,59367
40465,515660.383685284,188806.011716321,3,187107
40466,517568.061792624,185057.05793561,1,59368
40466,517568.061792624,185057.05793561,2,59335
40466,517568.061792624,185057.05793561,3,187841
40477,524152.729354258,166814.398349183,1,59386
40477,524152.729354258,166814.398349183,2,59384
40477,524152.729354258,166814.398349183,3,186547
40865,509721.205440217,194013.414552693,1,59944
40865,509721.205440217,194013.414552693,2,58802
40865,509721.205440217,194013.414552693,3,187111
41381,530217.891242391,157141.693735849,1,60713
41381,530217.891242391,157141.693735849,2,60711
41381,530217.891242391,157141.693735849,3,186546
41724,396941.394928167,330241.281904023,1,155272
41724,396941.394928167,330241.281904023,2,61215
41724,396941.394928167,330241.281904023,3,61213
41976,416474.779326591,301720.139984548,1,61587
41976,416474.779326591,301720.139984548,2,61584
41976,416474.779326591,301720.139984548,3,186801
41977,404266.165549527,310726.567148007,1,61589
41977,404266.165549527,310726.567148007,2,61588
41977,404266.165549527,310726.567148007,3,185694
42148,421215.218822413,296925.275188883,1,61843
42148,421215.218822413,296925.275188883,2,61841
42148,421215.218822413,296925.275188883,3,61587
42198,521644.959188015,182095.925401318,1,61915
42198,521644.959188015,182095.925401318,2,59372
42198,521644.959188015,182095.925401318,3,187840
42242,569232.233755142,105442.948254061,1,61978
42242,569232.233755142,105442.948254061,2,61977
42242,569232.233755142,105442.948254061,3,185560
42295,518379.015744332,183547.2686938,1,62058
42295,518379.015744332,183547.2686938,2,62056
42295,518379.015744332,183547.2686938,3,59338
42296,520815.114813637,182533.396273619,1,62057
42296,520815.114813637,182533.396273619,2,61916
42296,520815.114813637,182533.396273619,3,62058
42316,446325.592443347,273699.60593546,1,62089
42316,446325.592443347,273699.60593546,2,62087
42316,446325.592443347,273699.60593546,3,188081
42480,558997.94346219,134577.800830133,1,62332
42480,558997.94346219,134577.800830133,2,61975
42480,558997.94346219,134577.800830133,3,185562
42481,542358.288065622,143667.602780077,1,62334
